parameter,mean,sd,lower,median,upper
alpha0,24.871624682433062,0.3272148647291487,24.412277085572654,24.821096225151717,25.540304201294997
beta0,0.002792617266913379,0.0018893067937872153,0.0,0.0030564305114329574,0.0054603363311731025
initial.level,24.871624682433062,0.3272148647291487,24.412277085572654,24.821096225151717,25.540304201294997
initial.slope,0.002792617266913379,0.0018893067937872153,0.0,0.0030564305114329574,0.0054603363311731025
model_index,12.0375,1.9914840626853694,9.0,12.0,15.0
q_level,0.0037909429510846176,0.0023156658172314502,0.0007763813035262609,0.003304937947545777,0.008471005691116631
q_season,5.391597152039188e-07,1.0783194304078373e-05,0.0,0.0,0.0
q_trend,1.329791528045626e-08,5.8329952187085475e-08,0.0,0.0,5.280059518021653e-08
s_level,-0.002253216432357631,0.0616064473304155,-0.084583674403783,-0.02475172891690896,0.08379872154167622
s_season,-3.671374794283195e-05,0.0007342749588566389,0.0,-0.0,0.0
s_trend,-8.349890379967908e-06,0.00011515792626237852,-0.0001755086276160109,-0.0,0.00013480588892263924
sd.level,0.058699741797282136,0.018605070158589584,0.02786348846304864,0.05748858720899462,0.09203806649532036
sd.seasonal,3.671374794283195e-05,0.0007342749588566389,0.0,0.0,0.0
sd.slope,4.178875620686991e-05,0.00010761304080601872,0.0,0.0,0.0002297831985690716
sigma,1.4895486573512655,0.03562017580291194,1.437434648239833,1.4853750124171325,1.5464054365416324
sigma2,2.2200208275488778,0.10633974942152641,2.0662187050289185,2.2063391900128995,2.3913697741655167
signed_sd.level,-0.002253216432357631,0.0616064473304155,-0.084583674403783,-0.02475172891690896,0.08379872154167622
signed_sd.seasonal,-3.671374794283195e-05,0.0007342749588566389,0.0,-0.0,0.0
signed_sd.slope,-8.349890379967908e-06,0.00011515792626237852,-0.0001755086276160109,-0.0,0.00013480588892263924
state_level,1.9925,0.08638521873004427,2.0,2.0,2.0
state_season,0.0075,0.11169125902844142,0.0,0.0,0.0
state_trend,1.0325,0.6422421173851481,0.0,1.0,2.0
xi,-0.3124856332843903,0.01898902491539512,-0.34561597832194035,-0.31137532960480124,-0.28464640911518985
