parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,25.091207033295877,0.30933242310634834,1.1543663582491392,7.782085879125071,,False,sampled
beta0,2.3259781413719865e-05,0.0016124864202109613,1.060948712096785,15.380171728137022,,False,sampled
initial.level,25.091207033295877,0.30933242310634834,1.1543663582491392,7.782085879125071,,False,sampled
initial.slope,2.3259781413719865e-05,0.0016124864202109613,1.060948712096785,15.380171728137022,,False,sampled
model_index,10.0975,1.746602502217342,1.0134119761507205,20.078116937050304,,False,sampled
q_level,0.0030597946467171683,0.0015384827360624682,1.0589104707093813,14.073481071461643,,False,sampled
q_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
q_trend,2.2025062126903495e-09,1.2884966846296488e-08,1.036132431225778,72.64129660876239,,False,sampled
s_level,0.00019249858269650033,0.05538434938142578,1.0101528917391571,308.73846069923366,,False,sampled
s_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
s_trend,-3.6462586529746626e-07,4.698822185560531e-05,1.036132431225778,400.0,,False,sampled
sd.level,0.05358324962017663,0.013751464059089452,1.0445953934507297,14.073481071461643,,False,sampled
sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
sd.slope,9.516296162963694e-06,4.601346996886402e-05,1.036132431225778,72.64129660876239,,False,sampled
sigma,1.5079958676986058,0.04230191435005155,1.0536799182024597,22.901999348651724,0.398,False,sampled
sigma2,2.275836515323856,0.12824907070553804,1.0535930743334148,22.901999348651724,,False,sampled
signed_sd.level,0.00019249858269650033,0.05538434938142578,1.0101528917391571,308.73846069923366,,False,sampled
signed_sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
signed_sd.slope,-3.6462586529746626e-07,4.698822185560531e-05,1.036132431225778,400.0,,False,sampled
state_level,2.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_season,0.01,0.09962335082737976,1.0076239985475632,400.0,,False,sampled
state_trend,0.3625,0.58046196277238,1.0108481406424072,20.512988137219757,,False,sampled
xi,-0.29409071177796664,0.021442315398775946,1.039962413398958,19.955529001903866,0.294,False,sampled
