parameter,mean,sd,lower,median,upper
alpha0,24.782230881069328,0.3245194705948705,24.25182735023771,24.780878427476978,25.295277212958567
beta0,0.0029196942040713523,0.003761211954695248,-0.003724433638314521,0.003179136230672753,0.008586912700937664
initial.level,24.782230881069328,0.3245194705948705,24.25182735023771,24.780878427476978,25.295277212958567
initial.slope,0.0029196942040713523,0.003761211954695248,-0.003724433638314521,0.003179136230672753,0.008586912700937664
model_index,13.6525,2.4773143656317447,9.0,15.0,16.0
q_level,0.0047386217836071064,0.0024751390278197165,0.000550401431634789,0.004610830568048193,0.008602466485100454
q_season,3.281393718879597e-06,3.3261238276696956e-05,0.0,0.0,0.0
q_trend,2.9460881582660146e-07,4.144839900225143e-07,0.0,9.589905313021988e-08,1.2754416097193552e-06
s_level,0.006470990833608844,0.06861865168915482,-0.0881644472870516,0.03216447180402551,0.08979737348877825
s_season,0.00013642273679424874,0.0018085795408702102,-0.0,0.0,0.0
s_trend,1.865167884215009e-06,0.0005434553304696761,-0.0008840888120129132,0.0,0.0008776951873186765
sd.level,0.06512366289835463,0.02233332168425034,0.023390667515648902,0.06790309261843169,0.09274948166057632
sd.seasonal,0.00021363833537222613,0.0018010724681777942,0.0,0.0,0.0
sd.slope,0.00038654489155961536,0.0003815176955474099,0.0,0.0003096704507229122,0.001129346219333129
sigma,1.5021108139349162,0.0394162665886608,1.4423091779506845,1.5013462990309525,1.574873352069038
sigma2,2.2578866553068253,0.11850610354371872,2.0802558328884713,2.254040722719109,2.4802268127757063
signed_sd.level,0.006470990833608844,0.06861865168915482,-0.0881644472870516,0.03216447180402551,0.08979737348877825
signed_sd.seasonal,0.00013642273679424874,0.0018085795408702102,-0.0,0.0,0.0
signed_sd.slope,1.865167884215009e-06,0.0005434553304696761,-0.0008840888120129132,0.0,0.0008776951873186765
state_level,1.96,0.19620458863518908,2.0,2.0,2.0
state_season,0.34,0.5196875868922836,0.0,0.0,1.0
state_trend,1.5575,0.6540360524426286,0.0,2.0,2.0
xi,-0.31273871439159995,0.018460741200245684,-0.34093256212686235,-0.3139059412704068,-0.27730472741756795
