parameter,mean,sd,lower,median,upper
alpha0,25.00202769101814,0.14648568807113327,24.710290869941975,25.035966162876843,25.15457338992868
beta0,4.5351234110110915e-05,0.0005143658933257265,0.0,0.0,0.0
initial.level,25.00202769101814,0.14648568807113327,24.710290869941975,25.035966162876843,25.15457338992868
initial.slope,4.5351234110110915e-05,0.0005143658933257265,0.0,0.0,0.0
model_index,4.065,4.57910422339586,0.0,0.0,9.0
q_level,0.00010825486234503419,0.0001969641640689903,0.0,0.0,0.0005493011745107118
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,3.713488088171717e-09,1.875590966363963e-08,0.0,0.0,1.6611941459334223e-08
s_level,0.0003089475276662059,0.010412996206432183,-0.019510414903968442,0.0,0.019836295806547367
s_season,0.0,0.0,0.0,-0.0,0.0
s_trend,-4.845125186215515e-06,6.0821550478495184e-05,0.0,0.0,0.0
sd.level,0.005917744030808233,0.008568472134380892,0.0,0.0,0.023437138605234463
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,1.4833256583527674e-05,5.917954150405803e-05,0.0,0.0,0.00012872686811040093
sigma,1.5220299770230696,0.04263397342627023,1.4593674842996334,1.520882433020869,1.5912622362712425
sigma2,2.318388362507731,0.13022812504762316,2.129753454231041,2.313083375071478,2.5321155045829555
signed_sd.level,0.0003089475276662059,0.010412996206432183,-0.019510414903968442,0.0,0.019836295806547367
signed_sd.seasonal,0.0,0.0,0.0,-0.0,0.0
signed_sd.slope,-4.845125186215515e-06,6.0821550478495184e-05,0.0,0.0,0.0
state_level,1.3975,0.489993862168095,1.0,1.0,2.0
state_season,0.0,0.0,0.0,0.0,0.0
state_trend,0.1625,0.5355471752725018,0.0,0.0,2.0
xi,-0.3637877719014548,0.019784313640391894,-0.3970962018019261,-0.3648938113878373,-0.3295729980453389
