parameter,mean,sd,lower,median,upper
alpha0,24.950461246405524,0.08157496373299082,24.80358934385045,24.963539442810323,25.043910000570843
beta0,1.973769863544109e-05,0.00011414305210266396,0.0,0.0,3.5190229227272566e-06
initial.level,24.950461246405524,0.08157496373299082,24.80358934385045,24.963539442810323,25.043910000570843
initial.slope,1.973769863544109e-05,0.00011414305210266396,0.0,0.0,3.5190229227272566e-06
model_index,3.2375,3.182202032309717,2.0,2.0,11.0
q_level,1.5153814012365341e-05,6.70617734727327e-05,0.0,0.0,9.805920092709522e-05
q_season,0.002162846577653475,0.0011861160055965938,0.000719277065760354,0.0018518909637043417,0.004687524981761564
q_trend,2.5460852420303884e-11,2.8352016332359227e-10,0.0,0.0,0.0
s_level,-1.8401423982712974e-05,0.0038976215869486837,-0.0026375316826363817,-0.0,5.519383046115151e-05
s_season,0.002996152861987241,0.0464679224327829,-0.06203599577290748,0.02848774458735473,0.061206703544860575
s_trend,-1.40645224446932e-07,5.050231026864605e-06,0.0,0.0,0.0
sd.level,0.0010884197709446909,0.003742214161650988,0.0,0.0,0.009901135303531587
sd.seasonal,0.044878369294409005,0.012212756678668125,0.026819318951275355,0.04303355321226348,0.0684655014888171
sd.slope,4.956931744832328e-07,5.027756610897218e-06,0.0,0.0,0.0
sigma,1.4745680148397002,0.03228253187199131,1.424364461200168,1.4705896676006285,1.5403819775912757
sigma2,2.1753903868477007,0.09570991634703853,2.028814118330045,2.162633970453727,2.3727766368880094
signed_sd.level,-1.8401423982712974e-05,0.0038976215869486837,-0.0026375316826363817,-0.0,5.519383046115151e-05
signed_sd.seasonal,0.002996152861987241,0.0464679224327829,-0.06203599577290748,0.02848774458735473,0.061206703544860575
signed_sd.slope,-1.40645224446932e-07,5.050231026864605e-06,0.0,0.0,0.0
state_level,1.115,0.3194214695163272,1.0,1.0,2.0
state_season,2.0,0.0,2.0,2.0,2.0
state_trend,0.0675,0.2969245028639477,0.0,0.0,1.0
xi,-0.29081049414068455,0.015726714050493282,-0.31546933699208535,-0.29143501342037925,-0.26453996748800557
