scenario,engine,process,truth_state,probability_true_state
stationary,laplace,level,fixed,0.625
stationary,laplace,slope,zero,0.925
stationary,laplace,seasonal,zero,0.9925
stationary,pgas,level,fixed,0.7675
stationary,pgas,slope,zero,0.8675
stationary,pgas,seasonal,zero,1.0
linear_trend,laplace,level,fixed,0.81
linear_trend,laplace,slope,fixed,0.8125
linear_trend,laplace,seasonal,zero,0.97
linear_trend,pgas,level,fixed,0.325
linear_trend,pgas,slope,fixed,0.92
linear_trend,pgas,seasonal,zero,0.9825
random_walk,laplace,level,dynamic,0.9825
random_walk,laplace,slope,zero,0.1975
random_walk,laplace,seasonal,zero,0.9925
random_walk,pgas,level,dynamic,1.0
random_walk,pgas,slope,zero,0.0
random_walk,pgas,seasonal,zero,0.9975
local_linear_trend,laplace,level,dynamic,0.78
local_linear_trend,laplace,slope,dynamic,0.6025
local_linear_trend,laplace,seasonal,zero,1.0
local_linear_trend,pgas,level,dynamic,1.0
local_linear_trend,pgas,slope,dynamic,0.98
local_linear_trend,pgas,seasonal,zero,0.9925
stationary_dynamic_season,laplace,level,fixed,0.855
stationary_dynamic_season,laplace,slope,zero,0.9725
stationary_dynamic_season,laplace,seasonal,dynamic,1.0
stationary_dynamic_season,pgas,level,fixed,0.82
stationary_dynamic_season,pgas,slope,zero,0.9675
stationary_dynamic_season,pgas,seasonal,dynamic,1.0
local_linear_trend_fixed_season,laplace,level,dynamic,0.94
local_linear_trend_fixed_season,laplace,slope,dynamic,0.68
local_linear_trend_fixed_season,laplace,seasonal,fixed,0.25
local_linear_trend_fixed_season,pgas,level,dynamic,1.0
local_linear_trend_fixed_season,pgas,slope,dynamic,0.81
local_linear_trend_fixed_season,pgas,seasonal,fixed,0.2075
