time,observed,lower,median,upper,truth
1,25.628837710387035,24.740686370968856,24.97751116156693,25.286096924684273,25.006
2,23.55498176627935,24.74724239283184,25.00084375844916,25.337193692438674,25.012
3,24.915389632474955,24.75441695454517,24.993919981139857,25.317047596012273,25.018
4,25.7096657666877,24.761019029844647,24.995925526671805,25.284644240028364,25.024
5,25.571029970800275,24.766910458420774,25.003945370902535,25.318507905756793,25.03
6,28.08238022308695,24.77346648028376,25.02836635010831,25.37133115235977,25.036
7,27.81834651076377,24.780825255743075,25.043988230122388,25.418778522755982,25.042
8,28.25295539640473,24.787427331042547,25.057723162705983,25.428882870142473,25.048
9,26.549099234558728,24.793134545872697,25.063293718742887,25.44140167450133,25.054
10,24.79651258227552,24.799690567735677,25.04840736180258,25.36707134521434,25.06
11,23.988056218894197,24.80659291418365,25.037291908269893,25.31614879290427,25.066000000000003
12,25.133696333175223,24.813835632240448,25.046662125394022,25.327783669150325,25.072000000000003
13,26.954776043369144,24.819358633324615,25.03638548843106,25.293900673478735,25.078000000000003
14,25.76592114517313,24.825914655187596,25.04714112594312,25.30571299834328,25.084000000000003
15,27.368668740342716,24.83277815473181,25.043314598677327,25.290014410203348,25.090000000000003
16,26.605921409641887,24.83930660322311,25.042216532102493,25.27021561319538,25.096000000000004
17,25.72442195691143,24.845582720776534,25.04517173090216,25.279216621792063,25.102000000000004
18,29.07627383453162,24.852138742639518,25.06573330237505,25.312845337020406,25.108000000000004
19,24.443008328334887,24.857283047737937,25.057131653336135,25.285314491617402,25.114000000000004
20,23.84644285077905,24.85764570638627,25.055031324265855,25.268489183209645,25.120000000000005
21,25.16883921624408,24.87088239646925,25.0694157811443,25.298616304878912,25.126000000000005
22,26.435082089395472,24.878362830091437,25.09113883876804,25.335467838856662,25.132000000000005
23,26.727669658606327,24.88159330202124,25.079429160521308,25.295194394553945,25.138000000000005
24,26.072012190143347,24.89028380536891,25.08886022580583,25.309250578004395,25.144000000000005
25,24.204362712587297,24.89804003864648,25.09849973349204,25.328695684904236,25.15000000000001
26,26.4466380296987,24.896003490933168,25.077579336358582,25.27489184530357,25.15600000000001
27,25.36286148825081,24.90273317336809,25.072297550157046,25.25739996099169,25.16200000000001
28,23.969693468385405,24.909299803920884,25.075792739321532,25.252593671809237,25.168000000000006
29,25.140102576167266,24.913594076656693,25.083692904809254,25.26594797016605,25.174000000000007
30,25.923999054092768,24.919545133276973,25.087560422012924,25.257912077845795,25.180000000000007
31,26.44186990696117,24.928888475839155,25.08751017481581,25.248409867784623,25.186000000000007
32,26.42138385354543,24.929986221275758,25.090095328163336,25.244169536723682,25.192000000000007
33,24.35658004305616,24.938973907983105,25.096686779335425,25.244464457111786,25.198000000000008
34,23.7616276684018,24.930686835389842,25.07931416871519,25.21391434112915,25.204000000000008
35,26.726222429876398,24.92401168686574,25.07130668145834,25.205017489342048,25.210000000000008
36,26.857868539238147,24.909816534880946,25.056050393549114,25.200124946448444,25.216000000000008
37,26.37200868564091,24.92582549692883,25.077216902610473,25.213161418346612,25.22200000000001
38,25.89252775430414,24.94408163369695,25.09583074215042,25.2240657947395,25.22800000000001
39,24.985095334717343,24.965246567933722,25.10923253419503,25.240380197374137,25.23400000000001
40,27.565766967871312,24.97706970156264,25.124492962213278,25.27101896029617,25.24000000000001
41,27.39952297786184,24.979808883722857,25.125585799607737,25.261181070628204,25.24600000000001
42,23.9187193813875,24.991800887569667,25.14307106063106,25.28393141066976,25.25200000000001
43,28.60859427286649,24.994544394786466,25.139318998164896,25.272926588957947,25.25800000000001
44,25.33305323140208,25.00571577650576,25.15151254545156,25.297056577440983,25.26400000000001
45,24.61111953002435,25.01895749122115,25.175114334758263,25.325581652765848,25.27000000000001
46,24.47937805547748,25.02558498175076,25.181529840470713,25.331551632865672,25.27600000000001
47,22.919765531047062,25.032745932511382,25.19506593515431,25.35809181936336,25.28200000000001
48,25.34370991334276,25.037357452831053,25.193201464534226,25.34288931077875,25.28800000000001
49,26.942258375638275,25.03696540557617,25.18305507833,25.31601154593136,25.29400000000001
50,26.070723711356557,25.05209494386921,25.209163645407244,25.363798536050794,25.30000000000001
51,26.23556192335556,25.058745256671294,25.21268028256486,25.357145040061997,25.30600000000001
52,26.993333238449647,25.0683538027058,25.242741745586,25.42420656172878,25.31200000000001
53,24.80650307075084,25.0768715346905,25.276741812693114,25.486960953623864,25.31800000000001
54,27.16497551574689,25.078683222017624,25.259716854274195,25.446395859185937,25.32400000000001
55,25.03412517863362,25.085307484157436,25.26115330251003,25.441202371597118,25.330000000000013
56,26.829346601615,25.093412988639336,25.263269730129345,25.432825247560174,25.336000000000013
57,26.79635234325365,25.09766222116792,25.260542645900927,25.4219045366611,25.342000000000013
58,23.57236286669031,25.104174560932258,25.263309778803198,25.41949266990968,25.348000000000013
59,23.59917600144937,25.1114992602851,25.276255411647714,25.438108031780615,25.354000000000013
60,24.769418359125392,25.118450199891292,25.275461448772703,25.43305091191007,25.360000000000014
61,26.73381748650828,25.122503156098567,25.267662305590378,25.405435267948192,25.36600000000001
62,24.32690536316033,25.131491704923437,25.282225635310873,25.42574286065516,25.37200000000001
63,27.840350199008707,25.13853267435449,25.316371746586462,25.498254571938453,25.37800000000001
64,25.879167127772966,25.148908811967676,25.336899334462252,25.533070730644997,25.38400000000001
65,26.81448626398381,25.151550105555526,25.310796669214575,25.46616516639099,25.39000000000001
66,25.65580908978236,25.154119656647836,25.2927717808332,25.423567628100162,25.39600000000001
67,25.75785960522917,25.16182985278573,25.30050128847663,25.435294351097404,25.40200000000001
68,27.6981111189941,25.156898177963622,25.29198613526774,25.419441225752433,25.408000000000012
69,25.431614819608438,25.157034211412302,25.285002311840863,25.41122755898739,25.414000000000016
