parameter,mean,sd,lower,median,upper
alpha0,24.617251045821696,0.11227267656547182,24.441554064639888,24.61466825172405,24.788835855340995
beta0,0.001959234444704412,0.00023821209756094027,0.0015295267207152627,0.0019492705913773795,0.00235423633181561
initial.level,24.617251045821696,0.11227267656547182,24.441554064639888,24.61466825172405,24.788835855340995
initial.slope,0.001959234444704412,0.00023821209756094027,0.0015295267207152627,0.0019492705913773795,0.00235423633181561
model_index,14.7025,1.2238211042624225,12.0,15.0,16.0
q_level,0.010359039730279107,0.0017348693657824414,0.007531965813596931,0.01059006098267334,0.013255636740805684
q_season,5.243690541833086e-06,3.395506775608109e-05,0.0,0.0,0.0
q_trend,4.127839395130774e-07,3.273937938197923e-07,0.0,3.879911306281306e-07,1.0184150138283942e-06
s_level,0.011423210483972853,0.10126295204149618,-0.10937862919806031,0.08856042926263927,0.11303092824029742
s_season,-6.997632417682188e-05,0.0022917075871608083,-0.0,-0.0,0.0
s_trend,-1.5068531495720398e-05,0.0006431102984804932,-0.0009477055586811422,0.0,0.0009270463885937189
sd.level,0.10140693776757191,0.008709900044194282,0.08678685197913616,0.10290800140839967,0.1151331224776031
sd.seasonal,0.00037332972728345285,0.0022621026119801395,0.0,0.0,0.0
sd.slope,0.0005557207011663854,0.00032282965985395745,0.0,0.0006228893360638252,0.001009162571390149
sigma,1.5086819140177627,0.03618368181095689,1.4556411306760493,1.5060163227835024,1.5738758021732453
sigma2,2.277427103366623,0.10941252544058905,2.118891115908309,2.2680851644903424,2.477085040666476
signed_sd.level,0.011423210483972853,0.10126295204149618,-0.10937862919806031,0.08856042926263927,0.11303092824029742
signed_sd.seasonal,-6.997632417682188e-05,0.0022917075871608083,-0.0,-0.0,0.0
signed_sd.slope,-1.5068531495720398e-05,0.0006431102984804932,-0.0009477055586811422,0.0,0.0009270463885937189
state_level,2.0,0.0,2.0,2.0,2.0
state_season,0.2725,0.5137153966662181,0.0,0.0,1.0
state_trend,1.81,0.39279220242478635,1.0,2.0,2.0
xi,-0.3388014680993088,0.02056532072631441,-0.3814929111248069,-0.33652215205843933,-0.30734700008941623
