parameter,mean,sd,lower,median,upper
alpha0,24.993171559298926,0.05621565849420199,24.90535023253878,24.99396249337663,25.07961606322157
beta0,1.1807212065903546e-05,7.22403845521869e-05,0.0,0.0,0.0
initial.level,24.993171559298926,0.05621565849420199,24.90535023253878,24.99396249337663,25.07961606322157
initial.slope,1.1807212065903546e-05,7.22403845521869e-05,0.0,0.0,0.0
model_index,3.7625,3.7724889572178775,2.0,2.0,11.0
q_level,7.33093321704284e-05,0.0002829429723357689,0.0,0.0,0.0003460193005814669
q_season,0.004388812098065113,0.0010293177133905913,0.002665631568634028,0.004327408751748181,0.0060780433669131405
q_trend,1.1141028121811527e-09,9.935339795132474e-09,0.0,0.0,0.0
s_level,-0.00036840548352655184,0.008564870231084896,-0.014728809869489788,0.0,0.01101447567629764
s_season,-0.0003055552842397377,0.06633037033747174,-0.07593225488466745,-0.044169802791006865,0.07522779361933161
s_trend,6.744787298789752e-07,3.3413155913417234e-05,0.0,0.0,0.0
sd.level,0.0029175864355773227,0.00805974069754373,0.0,0.0,0.018588653576143716
sd.seasonal,0.06578928663396313,0.007793182693906521,0.0516297409204676,0.06578304303129001,0.07796179937117076
sd.slope,3.8093052613709263e-06,3.32016245881897e-05,0.0,0.0,0.0
sigma,1.4734694956414882,0.03160581002559836,1.4249244692897745,1.472753719842042,1.5350887188511388
sigma2,2.1721087844952875,0.09350117612388965,2.0304097431807455,2.169003645586126,2.356497374744031
signed_sd.level,-0.00036840548352655184,0.008564870231084896,-0.014728809869489788,0.0,0.01101447567629764
signed_sd.seasonal,-0.0003055552842397377,0.06633037033747174,-0.07593225488466745,-0.044169802791006865,0.07522779361933161
signed_sd.slope,6.744787298789752e-07,3.3413155913417234e-05,0.0,0.0,0.0
state_level,1.18,0.3846685908831524,1.0,1.0,2.0
state_season,2.0,0.0,2.0,2.0,2.0
state_trend,0.0475,0.2746494690092585,0.0,0.0,0.0
xi,-0.31005487459618686,0.016382924030478047,-0.3407603617591249,-0.3096041879371478,-0.2804739125364463
