parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,19.005492233383883,0.39461851010044263,1.0505651173551573,39.42969601570616,,False,sampled
beta0,0.0012624322555881164,0.0019788627197076343,1.1604242995908225,10.865863305817827,,False,sampled
initial.level,19.005492233383883,0.39461851010044263,1.0505651173551573,39.42969601570616,,False,sampled
initial.slope,0.0012624322555881164,0.0019788627197076343,1.1604242995908225,10.865863305817827,,False,sampled
model_index,14.148,2.3565233724301606,1.1235639208919508,54.53952284284555,,False,sampled
q_level,0.0031453273578520395,0.001852179310930951,1.2282326197239215,8.787126188101759,,False,sampled
q_season,0.00032670176947652133,0.000654497285050416,1.0155060392917918,108.03984190327535,,False,sampled
q_trend,4.449111990576307e-09,1.0131797375687563e-08,1.0091098519678772,68.78633665601026,,False,sampled
s_level,0.0001008351908884384,0.05613929489206535,1.0870615371711807,441.73279330400345,,False,sampled
s_season,-0.0009584199758835583,0.01806754196817853,1.0155060392917918,361.70807331824506,,False,sampled
s_trend,3.4355806591922214e-06,6.667984087014175e-05,1.0091098519678772,500.0,,False,sampled
sd.level,0.05385549120988274,0.015665383265659423,1.2282326197239215,8.787126188101759,,False,sampled
sd.seasonal,0.009758454542282486,0.01522951774825508,1.0155060392917918,108.03984190327535,,False,sampled
sd.slope,3.699967290661464e-05,5.555455708585791e-05,1.0091098519678772,68.78633665601026,,False,sampled
sigma,2.6316691360148403,0.04821025766139556,1.044886752236103,50.952561267245194,0.317,False,sampled
sigma2,6.928002021938987,0.2546236678926279,1.044345185022574,50.952561267245194,,False,sampled
signed_sd.level,0.0001008351908884384,0.05613929489206535,1.0870615371711807,441.73279330400345,,False,sampled
signed_sd.seasonal,-0.0009584199758835583,0.01806754196817853,1.0155060392917918,361.70807331824506,,False,sampled
signed_sd.slope,3.4355806591922214e-06,6.667984087014175e-05,1.0091098519678772,500.0,,False,sampled
state_level,2.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_season,1.38,0.48587255971970383,1.0112386803840308,158.28637708770077,,False,sampled
state_trend,1.256,0.7507271024578303,1.069303451339573,39.80033760598884,,False,sampled
xi,-0.28014200815789086,0.012441383045870627,1.1521650406222492,14.267261496880048,0.179,False,sampled
