date,time,y,eta,level,slope,seasonal
1961-01-01,1,27.040722240637848,25.0,25.0,0.0,0.0
1961-02-01,2,24.080378034862342,25.0,25.0,0.0,0.0
1961-03-01,3,30.037507593827613,25.0,25.0,0.0,0.0
1961-04-01,4,26.894721255782965,25.0,25.0,0.0,0.0
1961-05-01,5,27.21640725722703,25.0,25.0,0.0,0.0
1961-06-01,6,27.352375879535906,25.0,25.0,0.0,0.0
1961-07-01,7,23.343083452808646,25.0,25.0,0.0,0.0
1961-08-01,8,24.438770094133343,25.0,25.0,0.0,0.0
1961-09-01,9,26.51234274416016,25.0,25.0,0.0,0.0
1961-10-01,10,27.341154739959862,25.0,25.0,0.0,0.0
1961-11-01,11,25.98582886304636,25.0,25.0,0.0,0.0
1961-12-01,12,24.30693289321174,25.0,25.0,0.0,0.0
1962-01-01,13,26.30199286906823,25.0,25.0,0.0,0.0
1962-02-01,14,27.494632816493812,25.0,25.0,0.0,0.0
1962-03-01,15,26.6768763910809,25.0,25.0,0.0,0.0
1962-04-01,16,27.307480036866032,25.0,25.0,0.0,0.0
1962-05-01,17,25.410191093605103,25.0,25.0,0.0,0.0
1962-06-01,18,23.53744042901972,25.0,25.0,0.0,0.0
1962-07-01,19,24.657304125308364,25.0,25.0,0.0,0.0
1962-08-01,20,25.1113299794102,25.0,25.0,0.0,0.0
1962-09-01,21,25.3825120412907,25.0,25.0,0.0,0.0
1962-10-01,22,23.5199633534501,25.0,25.0,0.0,0.0
1962-11-01,23,24.342058539707114,25.0,25.0,0.0,0.0
1962-12-01,24,29.730028451763538,25.0,25.0,0.0,0.0
1963-01-01,25,26.079430287745684,25.0,25.0,0.0,0.0
1963-02-01,26,25.25015750533539,25.0,25.0,0.0,0.0
1963-03-01,27,25.340861626546637,25.0,25.0,0.0,0.0
1963-04-01,28,25.04750436595868,25.0,25.0,0.0,0.0
1963-05-01,29,25.867567740274282,25.0,25.0,0.0,0.0
1963-06-01,30,28.197486074597926,25.0,25.0,0.0,0.0
1963-07-01,31,25.52839319532526,25.0,25.0,0.0,0.0
1963-08-01,32,25.129092799894856,25.0,25.0,0.0,0.0
1963-09-01,33,26.13865428833586,25.0,25.0,0.0,0.0
1963-10-01,34,26.533811120487396,25.0,25.0,0.0,0.0
1963-11-01,35,26.544356569509873,25.0,25.0,0.0,0.0
1963-12-01,36,26.441974342811164,25.0,25.0,0.0,0.0
1964-01-01,37,23.624582190402247,25.0,25.0,0.0,0.0
1964-02-01,38,26.98991455797063,25.0,25.0,0.0,0.0
1964-03-01,39,23.88616782558286,25.0,25.0,0.0,0.0
1964-04-01,40,26.310676177861183,25.0,25.0,0.0,0.0
1964-05-01,41,23.871566379620244,25.0,25.0,0.0,0.0
1964-06-01,42,27.74138312643988,25.0,25.0,0.0,0.0
1964-07-01,43,24.310181537339997,25.0,25.0,0.0,0.0
1964-08-01,44,27.433666165514467,25.0,25.0,0.0,0.0
1964-09-01,45,26.50573372067131,25.0,25.0,0.0,0.0
1964-10-01,46,25.639568696473432,25.0,25.0,0.0,0.0
1964-11-01,47,27.533449973695134,25.0,25.0,0.0,0.0
1964-12-01,48,28.348132072040194,25.0,25.0,0.0,0.0
1965-01-01,49,27.60173294186333,25.0,25.0,0.0,0.0
1965-02-01,50,25.312032433330096,25.0,25.0,0.0,0.0
1965-03-01,51,25.3851998293334,25.0,25.0,0.0,0.0
1965-04-01,52,27.84389138389949,25.0,25.0,0.0,0.0
1965-05-01,53,25.51503663857031,25.0,25.0,0.0,0.0
1965-06-01,54,24.6535779701758,25.0,25.0,0.0,0.0
1965-07-01,55,25.052408873373434,25.0,25.0,0.0,0.0
1965-08-01,56,25.86237758532324,25.0,25.0,0.0,0.0
1965-09-01,57,24.11603996242071,25.0,25.0,0.0,0.0
1965-10-01,58,25.024631737339337,25.0,25.0,0.0,0.0
1965-11-01,59,27.52092725927092,25.0,25.0,0.0,0.0
1965-12-01,60,25.55260303372718,25.0,25.0,0.0,0.0
1966-01-01,61,26.098729906513434,25.0,25.0,0.0,0.0
1966-02-01,62,25.46623131277571,25.0,25.0,0.0,0.0
1966-03-01,63,25.37025517923443,25.0,25.0,0.0,0.0
1966-04-01,64,27.295279799876134,25.0,25.0,0.0,0.0
1966-05-01,65,24.178584366043854,25.0,25.0,0.0,0.0
1966-06-01,66,24.304359543668713,25.0,25.0,0.0,0.0
1966-07-01,67,25.183289237898794,25.0,25.0,0.0,0.0
1966-08-01,68,26.004496628071593,25.0,25.0,0.0,0.0
1966-09-01,69,29.30452718272351,25.0,25.0,0.0,0.0
1966-10-01,70,27.092989902924838,25.0,25.0,0.0,0.0
1966-11-01,71,23.26801046444613,25.0,25.0,0.0,0.0
1966-12-01,72,26.736772941272154,25.0,25.0,0.0,0.0
1967-01-01,73,26.18239008701256,25.0,25.0,0.0,0.0
1967-02-01,74,26.934869043817336,25.0,25.0,0.0,0.0
1967-03-01,75,21.933665459570506,25.0,25.0,0.0,0.0
1967-04-01,76,23.91657687998604,25.0,25.0,0.0,0.0
1967-05-01,77,25.10589904451345,25.0,25.0,0.0,0.0
1967-06-01,78,25.671788983855805,25.0,25.0,0.0,0.0
1967-07-01,79,27.005197023801742,25.0,25.0,0.0,0.0
1967-08-01,80,25.882186540212953,25.0,25.0,0.0,0.0
1967-09-01,81,26.043521653737688,25.0,25.0,0.0,0.0
1967-10-01,82,25.864740908744874,25.0,25.0,0.0,0.0
1967-11-01,83,24.139554584193714,25.0,25.0,0.0,0.0
1967-12-01,84,26.159449326205696,25.0,25.0,0.0,0.0
1968-01-01,85,27.006151077662764,25.0,25.0,0.0,0.0
1968-02-01,86,25.076984196012212,25.0,25.0,0.0,0.0
1968-03-01,87,27.863056783026607,25.0,25.0,0.0,0.0
1968-04-01,88,28.44044782928131,25.0,25.0,0.0,0.0
1968-05-01,89,26.732377237251082,25.0,25.0,0.0,0.0
1968-06-01,90,24.95044082919304,25.0,25.0,0.0,0.0
1968-07-01,91,24.913189442250683,25.0,25.0,0.0,0.0
1968-08-01,92,23.208701990243295,25.0,25.0,0.0,0.0
1968-09-01,93,26.071452527450614,25.0,25.0,0.0,0.0
1968-10-01,94,26.025522685120514,25.0,25.0,0.0,0.0
1968-11-01,95,26.836906604199662,25.0,25.0,0.0,0.0
1968-12-01,96,26.03562128190399,25.0,25.0,0.0,0.0
1969-01-01,97,27.91667909645571,25.0,25.0,0.0,0.0
1969-02-01,98,25.961557701127493,25.0,25.0,0.0,0.0
1969-03-01,99,26.48929737343866,25.0,25.0,0.0,0.0
1969-04-01,100,26.310932755698445,25.0,25.0,0.0,0.0
1969-05-01,101,26.239943328877352,25.0,25.0,0.0,0.0
1969-06-01,102,25.65212998814318,25.0,25.0,0.0,0.0
1969-07-01,103,25.931400404014525,25.0,25.0,0.0,0.0
1969-08-01,104,23.682449261704587,25.0,25.0,0.0,0.0
1969-09-01,105,23.552927306265328,25.0,25.0,0.0,0.0
1969-10-01,106,25.441284837840985,25.0,25.0,0.0,0.0
1969-11-01,107,26.32151424289787,25.0,25.0,0.0,0.0
1969-12-01,108,24.23860650887206,25.0,25.0,0.0,0.0
1970-01-01,109,25.673292850206234,25.0,25.0,0.0,0.0
1970-02-01,110,27.278853045322272,25.0,25.0,0.0,0.0
1970-03-01,111,25.53210487904993,25.0,25.0,0.0,0.0
1970-04-01,112,26.985073796587216,25.0,25.0,0.0,0.0
1970-05-01,113,27.595556248867315,25.0,25.0,0.0,0.0
1970-06-01,114,24.757142154711385,25.0,25.0,0.0,0.0
1970-07-01,115,24.99150060414359,25.0,25.0,0.0,0.0
1970-08-01,116,24.516451287876304,25.0,25.0,0.0,0.0
1970-09-01,117,24.64640159846343,25.0,25.0,0.0,0.0
1970-10-01,118,27.725414477581793,25.0,25.0,0.0,0.0
1970-11-01,119,24.3707758079009,25.0,25.0,0.0,0.0
1970-12-01,120,25.003373575195305,25.0,25.0,0.0,0.0
1971-01-01,121,26.27811990955648,25.0,25.0,0.0,0.0
1971-02-01,122,26.130478369656778,25.0,25.0,0.0,0.0
1971-03-01,123,24.26462467674451,25.0,25.0,0.0,0.0
1971-04-01,124,27.28723292860876,25.0,25.0,0.0,0.0
1971-05-01,125,24.061727411943735,25.0,25.0,0.0,0.0
1971-06-01,126,26.734056625343847,25.0,25.0,0.0,0.0
1971-07-01,127,23.792079658919747,25.0,25.0,0.0,0.0
1971-08-01,128,23.973469135232488,25.0,25.0,0.0,0.0
