parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,25.14417213353153,0.31375648862036803,1.011062149456581,149.02615069718695,,False,sampled
beta0,0.0036023743188547137,0.0035907410297686313,1.0139280387712226,171.66589611922942,,False,sampled
initial.level,25.14417213353153,0.31375648862036803,1.011062149456581,149.02615069718695,,False,sampled
initial.slope,0.0036023743188547137,0.0035907410297686313,1.0139280387712226,171.66589611922942,,False,sampled
model_index,9.108,4.299454222715537,1.001727333486865,287.6989190118424,,False,sampled
q_level,0.0028121040547337377,0.005506050159758149,1.0148131684607182,103.55615599132393,,False,sampled
q_season,0.0022748187523779473,0.004684202783844619,0.9965990477444857,208.16209694763674,,False,sampled
q_trend,2.709323816133698e-07,1.1261800296409638e-06,0.9985405753985771,303.2088033089347,,False,sampled
s_level,-0.002564194271258935,0.053020291068636975,1.0148131684607182,500.0,,False,sampled
s_season,-0.0027697109930767045,0.047662257972770274,0.9979065049016703,500.0,,False,sampled
s_trend,6.587080393338898e-05,0.0005168439553200178,0.9985405753985771,450.49932730032265,,False,sampled
sd.level,0.0313355051338956,0.042823566975607824,1.0148131684607182,103.55615599132393,,False,sampled
sd.seasonal,0.027322236063632148,0.03913281133149673,0.9965990477444857,208.16209694763674,,False,sampled
sd.slope,0.000189795874886253,0.0004851604567843365,0.9985405753985771,303.2088033089347,,False,sampled
sigma,1.4658723438437273,0.07215100812657374,1.1430052909142727,15.791897443609205,0.667,False,sampled
sigma2,2.1539770848836364,0.21269891476615432,1.1430052909142727,15.791897443609205,,False,sampled
signed_sd.level,-0.002564194271258935,0.053020291068636975,1.0148131684607182,500.0,,False,sampled
signed_sd.seasonal,-0.0027697109930767045,0.047662257972770274,0.9979065049016703,500.0,,False,sampled
signed_sd.slope,6.587080393338898e-05,0.0005168439553200178,0.9985405753985771,450.49932730032265,,False,sampled
state_level,1.498,0.5004967472301652,1.0058090562454471,184.5103907382599,,False,sampled
state_season,1.458,0.4987318587516419,0.9964522550846211,258.61900921666484,,False,sampled
state_trend,1.056,0.6555329487476488,1.0041676002947013,181.97718389084542,,False,sampled
xi,-0.21847777425422701,0.04113097178647519,1.057625656653418,51.2764355007547,0.581,False,sampled
