parameter,mean,sd,lower,median,upper
alpha0,25.14417213353153,0.31375648862036803,24.648105045944178,25.154773909699028,25.58548033632341
beta0,0.0036023743188547137,0.0035907410297686313,-0.0010910021899471836,0.003868166221161546,0.009317738105345133
initial.level,25.14417213353153,0.31375648862036803,24.648105045944178,25.154773909699028,25.58548033632341
initial.slope,0.0036023743188547137,0.0035907410297686313,-0.0010910021899471836,0.003868166221161546,0.009317738105345133
model_index,9.108,4.299454222715537,4.0,8.0,16.0
q_level,0.0028121040547337377,0.005506050159758149,0.0,0.0,0.015280294104872607
q_season,0.0022748187523779473,0.004684202783844619,0.0,0.0,0.01206881725642608
q_trend,2.709323816133698e-07,1.1261800296409638e-06,0.0,0.0,1.3422052528250866e-06
s_level,-0.002564194271258935,0.053020291068636975,-0.09823745616506578,0.0,0.09707526774529084
s_season,-0.0027697109930767045,0.047662257972770274,-0.0857393082502338,-0.0,0.08218640384406153
s_trend,6.587080393338898e-05,0.0005168439553200178,-0.0004358104114529556,0.0,0.0009196861321611068
sd.level,0.0313355051338956,0.042823566975607824,0.0,0.0,0.12361348510749301
sd.seasonal,0.027322236063632148,0.03913281133149673,0.0,0.0,0.10985800797670094
sd.slope,0.000189795874886253,0.0004851604567843365,0.0,0.0,0.0011585190198861231
sigma,1.4658723438437273,0.07215100812657374,1.3554231310658806,1.4637609052955838,1.5904821183348232
sigma2,2.1539770848836364,0.21269891476615432,1.8371719561288122,2.142595987871747,2.5296333687428265
signed_sd.level,-0.002564194271258935,0.053020291068636975,-0.09823745616506578,0.0,0.09707526774529084
signed_sd.seasonal,-0.0027697109930767045,0.047662257972770274,-0.0857393082502338,-0.0,0.08218640384406153
signed_sd.slope,6.587080393338898e-05,0.0005168439553200178,-0.0004358104114529556,0.0,0.0009196861321611068
state_level,1.498,0.5004967472301652,1.0,1.0,2.0
state_season,1.458,0.4987318587516419,1.0,1.0,2.0
state_trend,1.056,0.6555329487476488,0.0,1.0,2.0
xi,-0.21847777425422701,0.04113097178647519,-0.2900896928661706,-0.21523557920661185,-0.15637080143642526
