parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,24.823267476078065,0.2724991384594375,1.0006921696455362,263.8178576115308,,False,sampled
beta0,0.00893850618644289,0.006418975481730427,1.011627712601962,144.58251357469877,,False,sampled
initial.level,24.823267476078065,0.2724991384594375,1.0006921696455362,263.8178576115308,,False,sampled
initial.slope,0.00893850618644289,0.006418975481730427,1.011627712601962,144.58251357469877,,False,sampled
model_index,9.06,4.3884983577154655,1.0164939749892323,212.7641857308471,,False,sampled
q_level,0.0020376552643124298,0.0036762200569290604,1.0257704107911039,124.88467169486805,,False,sampled
q_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
q_trend,1.405475577624151e-06,2.288782698668261e-06,0.9982022305603973,230.1175775207533,,False,sampled
s_level,0.0019166524232493648,0.04514485378697972,1.0257704107911039,384.80434222551423,,False,sampled
s_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
s_trend,3.444742223081378e-05,0.0011862137914574636,0.9993001090030619,500.0,,False,sampled
sd.level,0.02745198214974199,0.0358694462560004,1.0257704107911039,124.88467169486805,,False,sampled
sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
sd.slope,0.0007608838618442527,0.0009100481865334124,0.9983031741958311,230.1175775207533,,False,sampled
sigma,1.554070530897364,0.06788669905546639,1.0181687694780264,83.5419285822026,0.655,False,sampled
sigma2,2.4197346017044445,0.21220879851932353,1.0181687694780264,83.5419285822026,,False,sampled
signed_sd.level,0.0019166524232493648,0.04514485378697972,1.0257704107911039,384.80434222551423,,False,sampled
signed_sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
signed_sd.slope,3.444742223081378e-05,0.0011862137914574636,0.9993001090030619,500.0,,False,sampled
state_level,1.494,0.5004647139007099,1.0226492695714078,133.85693182137365,,False,sampled
state_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_trend,1.538,0.5524186208531812,0.9988225510225324,265.2795329351601,,False,sampled
xi,-0.24320627589968907,0.03646258956879699,1.054501977008749,36.845646273079865,0.544,False,sampled
