parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,24.975363503385577,0.3484515170231948,1.0528176442448456,65.66437243798954,,False,sampled
beta0,0.0018958448012664018,0.003885948102446046,1.0164384646943851,134.55413595813854,,False,sampled
initial.level,24.975363503385577,0.3484515170231948,1.0528176442448456,65.66437243798954,,False,sampled
initial.slope,0.0018958448012664018,0.003885948102446046,1.0164384646943851,134.55413595813854,,False,sampled
model_index,9.42,3.5739538738748675,1.0137580044028196,178.62178761615783,,False,sampled
q_level,0.005039871005270298,0.005973389654411913,1.0030477883259945,84.74429844901242,,False,sampled
q_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
q_trend,3.416652694217988e-07,1.3509283479985617e-06,1.0060499463660655,185.75718549091172,,False,sampled
s_level,0.003507175139440643,0.07097637649141643,1.0055188180677468,376.98598374199594,,False,sampled
s_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
s_trend,1.3550059300252853e-06,0.000585105229544232,1.0060499463660655,500.0,,False,sampled
sd.level,0.05641539990730962,0.04313809742521757,1.0030477883259945,84.74429844901242,,False,sampled
sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
sd.slope,0.00021017684708899914,0.0005459735677144195,1.0060499463660655,185.75718549091172,,False,sampled
sigma,1.5071989444219356,0.07169160979025241,1.0086782001602925,51.86049942480975,0.619,False,sampled
sigma2,2.2767780656070857,0.2167541556652858,1.0081844012850276,51.86049942480975,,False,sampled
signed_sd.level,0.003507175139440643,0.07097637649141643,1.0055188180677468,376.98598374199594,,False,sampled
signed_sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
signed_sd.slope,1.3550059300252853e-06,0.000585105229544232,1.0060499463660655,500.0,,False,sampled
state_level,1.772,0.41996278105916707,0.998472799766463,142.5211296335387,,False,sampled
state_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_trend,0.824,0.7760337988218218,1.0196240830261278,112.60921636966101,,False,sampled
xi,-0.25149265872115517,0.02934136561409596,1.0029055175494903,74.07456084043108,0.476,False,sampled
