parameter,mean,sd,lower,median,upper
alpha0,24.975363503385577,0.3484515170231948,24.39492180476418,24.963568842360143,25.561559038716688
beta0,0.0018958448012664018,0.003885948102446046,-0.0029666305892846736,0.0,0.008517536872244321
initial.level,24.975363503385577,0.3484515170231948,24.39492180476418,24.963568842360143,25.561559038716688
initial.slope,0.0018958448012664018,0.003885948102446046,-0.0029666305892846736,0.0,0.008517536872244321
model_index,9.42,3.5739538738748675,3.0,9.0,15.0
q_level,0.005039871005270298,0.005973389654411913,0.0,0.003383090338058195,0.016637953853605756
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,3.416652694217988e-07,1.3509283479985617e-06,0.0,0.0,2.0048859820920948e-06
s_level,0.003507175139440643,0.07097637649141643,-0.10847695104988457,0.0,0.11897044308047275
s_season,0.0,0.0,0.0,0.0,0.0
s_trend,1.3550059300252853e-06,0.000585105229544232,-0.0008753705566517432,0.0,0.0006794970509958166
sd.level,0.05641539990730962,0.04313809742521757,0.0,0.05816405166426268,0.12898777174235246
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,0.00021017684708899914,0.0005459735677144195,0.0,0.0,0.001415920785491391
sigma,1.5071989444219356,0.07169160979025241,1.3956629947311212,1.5072849057734514,1.6176479455630812
sigma2,2.2767780656070857,0.2167541556652858,1.9478752573755216,2.2719079151347246,2.6167848757844574
signed_sd.level,0.003507175139440643,0.07097637649141643,-0.10847695104988457,0.0,0.11897044308047275
signed_sd.seasonal,0.0,0.0,0.0,0.0,0.0
signed_sd.slope,1.3550059300252853e-06,0.000585105229544232,-0.0008753705566517432,0.0,0.0006794970509958166
state_level,1.772,0.41996278105916707,1.0,2.0,2.0
state_season,0.0,0.0,0.0,0.0,0.0
state_trend,0.824,0.7760337988218218,0.0,1.0,2.0
xi,-0.25149265872115517,0.02934136561409596,-0.2951190945874521,-0.25214465594674,-0.20343185009248285
