parameter,mean,sd,lower,median,upper
alpha0,25.030606525147764,0.25111979047377553,24.60461567509036,25.053305078787353,25.414592426751234
beta0,0.0005476545108171194,0.002756545657730661,-0.0032582470520178784,0.0,0.0044403380127313865
initial.level,25.030606525147764,0.25111979047377553,24.60461567509036,25.053305078787353,25.414592426751234
initial.slope,0.0005476545108171194,0.002756545657730661,-0.0032582470520178784,0.0,0.0044403380127313865
model_index,7.364,4.792644665085399,1.0,7.0,16.0
q_level,0.000964825384435072,0.002276107326428555,0.0,0.0,0.005963508692074508
q_season,0.009549005972772768,0.014086771697421714,0.0,0.0021776187572659015,0.04092818175586414
q_trend,1.1427362179510981e-07,5.125518648319165e-07,0.0,0.0,5.796587070192597e-07
s_level,-8.086645266944526e-05,0.031092641408400915,-0.05655932798701122,0.0,0.05577682659564903
s_season,-0.0051990606641221,0.09767833872817933,-0.171774501852277,-0.0,0.16602900376796165
s_trend,-9.78324453820018e-07,0.00033838095101881496,-0.0003996501251411569,-0.0,0.0003788988572747251
sd.level,0.016287511505859567,0.026475351590966544,0.0,0.0,0.07722361164513429
sd.seasonal,0.06818540769001527,0.07006836163006966,0.0,0.046664643445706505,0.2023071443639888
sd.slope,0.0001096369749889349,0.0003200910371355225,0.0,0.0,0.0007613436448702107
sigma,1.4560939712877248,0.091824983101132,1.323862957390602,1.457043398031817,1.6233994792396969
sigma2,2.1286246170869383,0.26979175865548977,1.752613167301168,2.122975474740861,2.635426906563278
signed_sd.level,-8.086645266944526e-05,0.031092641408400915,-0.05655932798701122,0.0,0.05577682659564903
signed_sd.seasonal,-0.0051990606641221,0.09767833872817933,-0.171774501852277,-0.0,0.16602900376796165
signed_sd.slope,-9.78324453820018e-07,0.00033838095101881496,-0.0003996501251411569,-0.0,0.0003788988572747251
state_level,1.42,0.494052807251113,1.0,1.0,2.0
state_season,1.676,0.4684687031720512,1.0,2.0,2.0
state_trend,0.636,0.7620139963683886,0.0,0.0,2.0
xi,-0.2180146469378736,0.05155582177191489,-0.30860725434717845,-0.2170203880271162,-0.13141169006281517
