parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,24.903226104845707,0.3351492502249388,1.0207387419306475,146.08184932511512,,False,sampled
beta0,0.0014160468722500355,0.003597852181951821,1.0057932202476974,262.8320297043264,,False,sampled
initial.level,24.903226104845707,0.3351492502249388,1.0207387419306475,146.08184932511512,,False,sampled
initial.slope,0.0014160468722500355,0.003597852181951821,1.0057932202476974,262.8320297043264,,False,sampled
model_index,7.256,5.17803902808319,1.018369018242789,174.03004329472176,,False,sampled
q_level,0.0026670418548624363,0.006091424319038304,1.0376376679913728,87.3327834042437,,False,sampled
q_season,0.0018472337709092028,0.0037819088255132897,1.0113145540927835,214.86678864255407,,False,sampled
q_trend,2.4117894788693724e-07,9.642892701459305e-07,0.9997201155036766,359.6574215191531,,False,sampled
s_level,0.00047664950368258874,0.05169292967195044,1.0376376679913728,500.0,,False,sampled
s_season,-0.0011134793375612447,0.04300806112017445,1.0113145540927835,276.9767189587405,,False,sampled
s_trend,2.2067702804673837e-05,0.0004910950142343877,0.9997201155036766,500.0,,False,sampled
sd.level,0.027939096206075743,0.04347676639865305,1.0376376679913728,87.3327834042437,,False,sampled
sd.seasonal,0.02370208379145014,0.03588900997417081,1.0113145540927835,214.86678864255407,,False,sampled
sd.slope,0.00017427240217272403,0.0004595982362950238,0.9997201155036766,359.6574215191531,,False,sampled
sigma,1.4672134094811773,0.1075561646725066,1.0636367304758352,34.53921233769247,0.635,False,sampled
sigma2,2.164260380863322,0.32655058981129853,1.0636367304758352,34.53921233769247,,False,sampled
signed_sd.level,0.00047664950368258874,0.05169292967195044,1.0376376679913728,500.0,,False,sampled
signed_sd.seasonal,-0.0011134793375612447,0.04300806112017445,1.0113145540927835,276.9767189587405,,False,sampled
signed_sd.slope,2.2067702804673837e-05,0.0004910950142343877,0.9997201155036766,500.0,,False,sampled
state_level,1.438,0.4966379955230917,1.0293080957549596,117.992794770238,,False,sampled
state_season,1.424,0.49468517953715513,1.00450337451811,318.2306466103604,,False,sampled
state_trend,0.63,0.8014890950843176,0.9981651947120493,349.20782157043516,,False,sampled
xi,-0.25217657377842423,0.05350497240454181,1.1256855040295868,21.262079383432695,0.565,False,sampled
