parameter,mean,sd,lower,median,upper
alpha0,24.903226104845707,0.3351492502249388,24.279783699044668,24.991912908826386,25.29466814994144
beta0,0.0014160468722500355,0.003597852181951821,-0.0009313906598802907,0.0,0.008898935306540208
initial.level,24.903226104845707,0.3351492502249388,24.279783699044668,24.991912908826386,25.29466814994144
initial.slope,0.0014160468722500355,0.003597852181951821,-0.0009313906598802907,0.0,0.008898935306540208
model_index,7.256,5.17803902808319,1.0,7.0,16.0
q_level,0.0026670418548624363,0.006091424319038304,0.0,0.0,0.014627274023891986
q_season,0.0018472337709092028,0.0037819088255132897,0.0,0.0,0.009832490021588517
q_trend,2.4117894788693724e-07,9.642892701459305e-07,0.0,0.0,1.2449401182679375e-06
s_level,0.00047664950368258874,0.05169292967195044,-0.09668460393142277,-0.0,0.09241378879820913
s_season,-0.0011134793375612447,0.04300806112017445,-0.08090321421156328,0.0,0.080005046505559
s_trend,2.2067702804673837e-05,0.0004910950142343877,-0.0005554455643459217,0.0,0.0008540138106442741
sd.level,0.027939096206075743,0.04347676639865305,0.0,0.0,0.12094233018542336
sd.seasonal,0.02370208379145014,0.03588900997417081,0.0,0.0,0.09915841197929827
sd.slope,0.00017427240217272403,0.0004595982362950238,0.0,0.0,0.0011157594924572323
sigma,1.4672134094811773,0.1075561646725066,1.3117391749753786,1.4517793711020055,1.650723946136611
sigma2,2.164260380863322,0.32655058981129853,1.7206598077469364,2.1076634909382133,2.724889546348825
signed_sd.level,0.00047664950368258874,0.05169292967195044,-0.09668460393142277,-0.0,0.09241378879820913
signed_sd.seasonal,-0.0011134793375612447,0.04300806112017445,-0.08090321421156328,0.0,0.080005046505559
signed_sd.slope,2.2067702804673837e-05,0.0004910950142343877,-0.0005554455643459217,0.0,0.0008540138106442741
state_level,1.438,0.4966379955230917,1.0,1.0,2.0
state_season,1.424,0.49468517953715513,1.0,1.0,2.0
state_trend,0.63,0.8014890950843176,0.0,0.0,2.0
xi,-0.25217657377842423,0.05350497240454181,-0.3386492264683151,-0.24883449052333764,-0.16916855103974476
