date,time,phase,y,eta,level,slope,seasonal
1901-01-01,1,1,25.628837710387035,25.006,25.006,0.006,0.0
1901-04-01,2,2,23.55498176627935,25.012,25.012,0.006,0.0
1901-07-01,3,3,24.915389632474955,25.018,25.018,0.006,0.0
1901-10-01,4,4,25.7096657666877,25.024,25.024,0.006,0.0
1902-01-01,5,1,25.571029970800275,25.03,25.03,0.006,0.0
1902-04-01,6,2,28.08238022308695,25.036,25.036,0.006,0.0
1902-07-01,7,3,27.818346510763774,25.042,25.042,0.006,0.0
1902-10-01,8,4,28.25295539640473,25.048000000000002,25.048000000000002,0.006,0.0
1903-01-01,9,1,26.549099234558728,25.054000000000002,25.054000000000002,0.006,0.0
1903-04-01,10,2,24.796512582275522,25.060000000000002,25.060000000000002,0.006,0.0
1903-07-01,11,3,23.988056218894194,25.066000000000003,25.066000000000003,0.006,0.0
1903-10-01,12,4,25.133696333175223,25.072000000000003,25.072000000000003,0.006,0.0
1904-01-01,13,1,26.954776043369144,25.078000000000003,25.078000000000003,0.006,0.0
1904-04-01,14,2,25.76592114517313,25.084000000000003,25.084000000000003,0.006,0.0
1904-07-01,15,3,27.368668740342713,25.090000000000003,25.090000000000003,0.006,0.0
1904-10-01,16,4,26.605921409641887,25.096000000000004,25.096000000000004,0.006,0.0
1905-01-01,17,1,25.72442195691143,25.102000000000004,25.102000000000004,0.006,0.0
1905-04-01,18,2,29.07627383453162,25.108000000000004,25.108000000000004,0.006,0.0
1905-07-01,19,3,24.443008328334887,25.114000000000004,25.114000000000004,0.006,0.0
1905-10-01,20,4,23.84644285077905,25.120000000000005,25.120000000000005,0.006,0.0
1906-01-01,21,1,25.168839216244077,25.126000000000005,25.126000000000005,0.006,0.0
1906-04-01,22,2,26.435082089395472,25.132000000000005,25.132000000000005,0.006,0.0
1906-07-01,23,3,26.727669658606327,25.138000000000005,25.138000000000005,0.006,0.0
1906-10-01,24,4,26.072012190143347,25.144000000000005,25.144000000000005,0.006,0.0
1907-01-01,25,1,24.204362712587297,25.150000000000006,25.150000000000006,0.006,0.0
