date,time,phase,y,eta,level,slope,seasonal
1901-01-01,1,1,26.344237657446598,24.754711397382263,25.004711397382263,0.00205375670346255,-0.25
1901-04-01,2,2,23.228469282514745,24.952208611958586,24.952208611958586,0.0014664459009633612,0.0
1901-07-01,3,3,25.81488485068129,25.20157728721571,24.95157728721571,0.0006342150124817366,0.25
1901-10-01,4,4,26.059046547842208,24.90631627805942,24.90631627805942,0.0006861510766307372,0.0
1902-01-01,5,1,25.309742138615686,24.62734652561655,24.87734652561655,3.53763702470014e-05,-0.25
1902-04-01,6,2,25.322510624258534,24.836546020193044,24.836546020193044,-0.00010376513086899128,0.0
1902-07-01,7,3,23.373774190947515,25.009684603924217,24.759684603924217,4.386954629285997e-05,0.25
1902-10-01,8,4,24.775079915599413,24.795689132870475,24.795689132870475,0.0005519885774529483,0.0
1903-01-01,9,1,24.11276555468199,24.44712977971826,24.69712977971826,0.001108073610641669,-0.25
1903-04-01,10,2,26.476234922454374,24.7097426854059,24.7097426854059,0.0007584313742818053,0.0
1903-07-01,11,3,26.513458304937704,25.01712583952542,24.76712583952542,-0.0003530728056105769,0.25
1903-10-01,12,4,24.142758542531816,24.783909511003376,24.783909511003376,0.0006561123596240801,0.0
1904-01-01,13,1,27.416079087538396,24.568747502947247,24.818747502947247,0.0005616492409955957,-0.25
1904-04-01,14,2,26.496641652705048,24.824323981927773,24.824323981927773,0.000600856958901643,0.0
1904-07-01,15,3,27.9935289098178,25.072966396395717,24.822966396395717,0.0005810420666955065,0.25
1904-10-01,16,4,21.988388338737796,24.89268710010872,24.89268710010872,0.0016519643468925033,0.0
1905-01-01,17,1,24.501179793720198,24.646460278168192,24.896460278168192,0.0017288075137761136,-0.25
1905-04-01,18,2,22.859579900082565,24.85772471842089,24.85772471842089,0.0018616797737365924,0.0
1905-07-01,19,3,27.61735482749675,25.145707057142094,24.895707057142094,0.0011071539703630317,0.25
1905-10-01,20,4,27.07718397462663,24.88162217984541,24.88162217984541,0.00019842374875610918,0.0
1906-01-01,21,1,23.62299217623506,24.645286577704447,24.895286577704447,-0.00011401379413016711,-0.25
1906-04-01,22,2,26.522251821113784,24.843010889119093,24.843010889119093,0.0002284665657692918,0.0
1906-07-01,23,3,28.09875983120178,25.04534247054646,24.79534247054646,0.0010390496916004403,0.25
1906-10-01,24,4,24.67059647432528,24.759822471720035,24.759822471720035,0.0010690963099507917,0.0
1907-01-01,25,1,26.24387092715349,24.537000947460157,24.787000947460157,0.0008557575970419596,-0.25
1907-04-01,26,2,21.848711752500044,24.69600127238314,24.69600127238314,0.0005108360798528437,0.0
1907-07-01,27,3,25.391957310992794,24.99302199516608,24.74302199516608,0.0003923618818973771,0.25
1907-10-01,28,4,23.552651204350706,24.743525292288282,24.743525292288282,0.00026107098710334163,0.0
1908-01-01,29,1,26.583874112829303,24.49223694353852,24.74223694353852,0.00044931425926708905,-0.25
1908-04-01,30,2,23.396502151082785,24.80514090240767,24.80514090240767,0.0017310923816317844,0.0
