date,time,phase,y,eta,level,slope,seasonal
1901-01-01,1,1,23.352234346989366,24.755839262442418,25.0,0.0,-0.24416073755758286
1901-04-01,2,2,24.646353841450612,24.9061750719408,25.0,0.0,-0.09382492805919962
1901-07-01,3,3,24.155364152142955,25.280064339210405,25.0,0.0,0.28006433921040363
1901-10-01,4,4,25.169389419188178,25.100681266901525,25.0,0.0,0.10068126690152548
1902-01-01,5,1,24.992848108802242,24.70060047513165,25.0,0.0,-0.2993995248683478
1902-04-01,6,2,23.781033730208105,24.94401933778417,25.0,0.0,-0.055980662215828814
1902-07-01,7,3,26.129761806955486,25.349763059713595,25.0,0.0,0.34976305971359484
1902-10-01,8,4,22.780687964481466,25.001026626559828,25.0,0.0,0.0010266265598271153
1903-01-01,9,1,22.757364953129425,24.645849760035347,25.0,0.0,-0.35415023996465145
1903-04-01,10,2,23.615158648853875,25.031643333562634,25.0,0.0,0.03164333356263414
1903-07-01,11,3,25.241896270442435,25.274930040850442,25.0,0.0,0.2749300408504425
1903-10-01,12,4,28.67007279273771,25.09820037263932,25.0,0.0,0.09820037263931959
1904-01-01,13,1,23.824948459336845,24.57048379693926,25.0,0.0,-0.4295162030607409
1904-04-01,14,2,22.92864467450116,25.09226673987187,25.0,0.0,0.09226673987187128
1904-07-01,15,3,24.932323657441565,25.243443516915637,25.0,0.0,0.24344351691563754
1904-10-01,16,4,25.336713894530927,25.11616576480794,25.0,0.0,0.11616576480793925
1905-01-01,17,1,24.610430314067816,24.594521063772834,25.0,0.0,-0.405478936227165
1905-04-01,18,2,27.340969869017492,25.07464391037234,25.0,0.0,0.07464391037234103
1905-07-01,19,3,29.52903610053989,25.274987032245722,25.0,0.0,0.2749870322457222
1905-10-01,20,4,26.49503675114633,25.06232509731466,25.0,0.0,0.06232509731465772
1906-01-01,21,1,26.278142405266262,24.598843972611768,25.0,0.0,-0.4011560273882313
1906-04-01,22,2,21.686673163014238,24.988382524424487,25.0,0.0,-0.011617475575512709
1906-07-01,23,3,25.424446530081223,25.36219048902421,25.0,0.0,0.3621904890242118
1906-10-01,24,4,26.56413079479658,25.070690154686414,25.0,0.0,0.07069015468641301
1907-01-01,25,1,24.64314295976259,24.522679952488332,25.0,0.0,-0.4773200475116683
1907-04-01,26,2,26.93773109969398,25.12336294076239,25.0,0.0,0.12336294076239071
1907-07-01,27,3,25.230320994149533,25.30433233946268,25.0,0.0,0.30433233946267746
1907-10-01,28,4,26.830010518442954,25.084692336117932,25.0,0.0,0.08469233611793206
1908-01-01,29,1,23.71616797508828,24.443426776444262,25.0,0.0,-0.5565732235557379
1908-04-01,30,2,26.656244641192153,25.054599034265802,25.0,0.0,0.05459903426580057
1908-07-01,31,3,25.625381284509558,25.37086124935522,25.0,0.0,0.37086124935522025
1908-10-01,32,4,24.69177750784111,25.130860337439085,25.0,0.0,0.1308603374390832
1909-01-01,33,1,23.46329426431529,24.42620069188783,25.0,0.0,-0.5737993081121716
