parameter,mean,sd,lower,median,upper
alpha0,24.91923140373954,0.17163842468280976,24.709783325466027,24.878125385757265,25.275946228830495
beta0,0.00596191015493761,0.001375233563174074,0.0029573059641989927,0.006369673888761603,0.006770164618448019
initial.level,24.91923140373954,0.17163842468280976,24.709783325466027,24.878125385757265,25.275946228830495
initial.slope,0.00596191015493761,0.001375233563174074,0.0029573059641989927,0.006369673888761603,0.006770164618448019
model_index,5.5825,3.913628107320114,3.0,3.0,12.0
q_level,8.87467754985172e-05,0.0002753034411177876,0.0,0.0,0.0006592356340874362
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,9.475629725222137e-09,3.287040446656067e-08,0.0,0.0,6.209511907369976e-08
s_level,-0.0008620758949781833,0.00939277174493482,-0.020844244851860604,0.0,0.008766967163612152
s_season,0.0,0.0,0.0,0.0,0.0
s_trend,3.3393879686543322e-06,9.740738529491449e-05,-0.00014508422608679482,-0.0,0.00018162748772984364
sd.level,0.0036973330353267282,0.008675521055727418,0.0,0.0,0.025675577055908883
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,3.654999009951487e-05,9.033342830658847e-05,0.0,0.0,0.0002491739641151315
sigma,1.3945627178409503,0.02978054218528794,1.3458083882576806,1.3936340426821434,1.445990660581798
sigma2,1.945689837483056,0.08308135923868742,1.811200217904736,1.9422158449225744,2.0908889904897845
signed_sd.level,-0.0008620758949781833,0.00939277174493482,-0.020844244851860604,0.0,0.008766967163612152
signed_sd.seasonal,0.0,0.0,0.0,0.0,0.0
signed_sd.slope,3.3393879686543322e-06,9.740738529491449e-05,-0.00014508422608679482,-0.0,0.00018162748772984364
state_level,1.2175,0.4130621027786012,1.0,1.0,2.0
state_season,0.01,0.09962335082737976,0.0,0.0,0.0
state_trend,1.205,0.4042071976679987,1.0,1.0,2.0
xi,-0.2750747269054401,0.014987850438479819,-0.3009042233985171,-0.27598280923472895,-0.2519408810331987
