parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,24.672921342587127,0.27093214213623273,1.1007689026992682,14.887385583785054,,False,sampled
beta0,0.0015519420439030175,0.0030799614147846415,1.642233793846675,9.244021931118986,,False,sampled
initial.level,24.672921342587127,0.27093214213623273,1.1007689026992682,14.887385583785054,,False,sampled
initial.slope,0.0015519420439030175,0.0030799614147846415,1.642233793846675,9.244021931118986,,False,sampled
model_index,11.74,2.5036114266072915,1.4898291046431422,2.343744473865937,,False,sampled
q_level,0.005993132157634311,0.0022952309777474994,1.1023756654600856,13.997186149950057,,False,sampled
q_season,7.537185494769881e-07,1.0663653156582676e-05,0.9975119351722572,400.0,,False,sampled
q_trend,1.623170745567375e-07,3.482240645684339e-07,1.3532314157058043,3.3928887500474434,,False,sampled
s_level,0.010308823270889772,0.07682196532434334,1.0033309460139541,289.36234310718856,,False,sampled
s_season,6.136324281372192e-05,0.0008670828585650944,0.9975119351722572,400.0,,False,sampled
s_trend,-9.129844653257722e-06,0.00040328689700582437,1.3532314157058043,371.38024145577145,,False,sampled
sd.level,0.07556752408719776,0.01683418949057569,1.1023756654600856,13.997186149950057,,False,sampled
sd.seasonal,6.136324281372192e-05,0.0008670828585650944,0.9975119351722572,400.0,,False,sampled
sd.slope,0.00019160965957434225,0.00035484870991997686,1.3532314157058043,3.3928887500474434,,False,sampled
sigma,1.484858888180847,0.03917607422343831,1.0519971125251433,31.573118265777623,0.388,False,sampled
sigma2,2.206336845689242,0.11749303005135242,1.0534649414672217,31.573118265777623,,False,sampled
signed_sd.level,0.010308823270889772,0.07682196532434334,1.0033309460139541,289.36234310718856,,False,sampled
signed_sd.seasonal,6.136324281372192e-05,0.0008670828585650944,0.9975119351722572,400.0,,False,sampled
signed_sd.slope,-9.129844653257722e-06,0.00040328689700582437,1.3532314157058043,371.38024145577145,,False,sampled
state_level,1.995,0.07062201265667244,1.00252207210141,169.39704648277612,,False,sampled
state_season,0.0175,0.16511179473891247,0.9979368410513786,400.0,,False,sampled
state_trend,0.9225,0.8265601940487849,1.6011123341344518,2.0011991948183954,,False,sampled
xi,-0.3107743335253879,0.01879065423023949,1.0451358445550947,24.117359762764295,0.318,False,sampled
