parameter,mean,sd,lower,median,upper
alpha0,24.76363785781603,0.19192929265606606,24.47427401750644,24.758825356419713,25.07367832216147
beta0,-0.0006817414494651483,0.0016873255959494262,-0.0038518486149908757,-0.000533843438665125,0.001662821193917233
initial.level,24.76363785781603,0.19192929265606606,24.47427401750644,24.758825356419713,25.07367832216147
initial.slope,-0.0006817414494651483,0.0016873255959494262,-0.0038518486149908757,-0.000533843438665125,0.001662821193917233
model_index,7.9275,3.473818112783361,6.0,6.0,16.0
q_level,5.444568710458617e-05,0.0002482660352916311,0.0,0.0,0.00028202000384697993
q_season,4.586036837233248e-06,3.40473578646922e-05,0.0,0.0,1.560585507337256e-08
q_trend,1.40413237019148e-06,8.72362906773162e-07,5.858225528421188e-07,1.1847660834500932e-06,3.1466617654613907e-06
s_level,0.00022788671392795043,0.007384448520375539,-0.010119700849127708,0.0,0.013344350935520891
s_season,3.333782573469807e-05,0.0021439254809293108,-0.0,0.0,0.0
s_trend,1.7836820771544476e-05,0.001186310477653181,-0.0015552017996803666,0.0007254377515464358,0.0015635490033870443
sd.level,0.0024396269004845986,0.006972477773846615,0.0,0.0,0.01679251502293506
sd.seasonal,0.0003763506379687212,0.002110814031178335,0.0,0.0,2.7933720727248605e-05
sd.slope,0.0011422663393479274,0.0003156089394977475,0.0007653891640145969,0.001088466888512772,0.0017738824500573586
sigma,1.5078948504827663,0.030893706684411406,1.4618361916275797,1.5050291498960853,1.5700296646449026
sigma2,2.274698915172364,0.09368183767979427,2.136965051152226,2.265112742036933,2.4649931478649854
signed_sd.level,0.00022788671392795043,0.007384448520375539,-0.010119700849127708,0.0,0.013344350935520891
signed_sd.seasonal,3.333782573469807e-05,0.0021439254809293108,-0.0,0.0,0.0
signed_sd.slope,1.7836820771544476e-05,0.001186310477653181,-0.0015552017996803666,0.0007254377515464358,0.0015635490033870443
state_level,1.175,0.38044295512634113,1.0,1.0,2.0
state_season,0.3525,0.5736431085963644,0.0,0.0,1.0499999999999545
state_trend,2.0,0.0,2.0,2.0,2.0
xi,-0.31229441329841373,0.018805547056099672,-0.3380352087082651,-0.3127054454385766,-0.28024627473392605
