parameter,mean,sd,lower,median,upper
alpha0,25.02014098044433,0.2585008603503384,24.60227670920177,25.018559103321778,25.42135858438592
beta0,-0.0001603672946146465,0.0009138703652069224,-0.0014153771761936352,0.0,0.0003024867871435094
initial.level,25.02014098044433,0.2585008603503384,24.60227670920177,25.018559103321778,25.42135858438592
initial.slope,-0.0001603672946146465,0.0009138703652069224,-0.0014153771761936352,0.0,0.0003024867871435094
model_index,9.565,1.4632593138432002,9.0,9.0,12.0
q_level,0.0034401738980085546,0.0017830996279268904,0.0010859212378150189,0.0031457596507964893,0.00702862019472128
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,2.416516712784315e-09,1.5885496439909786e-08,0.0,0.0,0.0
s_level,-0.003939181143122895,0.058593855049434186,-0.07439922948110995,-0.03382033215675051,0.0779869413449
s_season,0.0,0.0,0.0,0.0,0.0
s_trend,-1.7329709117134162e-07,4.9219336022530355e-05,-0.0,0.0,0.0
sd.level,0.056695297186814174,0.0150460337876539,0.032953248099577996,0.056087068508122825,0.08383671855754238
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,8.915844075686996e-06,4.840332262671248e-05,0.0,0.0,0.0
sigma,1.501826000165592,0.041936726699536936,1.441178578898209,1.4978364660062073,1.5703757320511944
sigma2,2.257235627097037,0.12666430837972323,2.076995724029332,2.2435140971244225,2.466079939815325
signed_sd.level,-0.003939181143122895,0.058593855049434186,-0.07439922948110995,-0.03382033215675051,0.0779869413449
signed_sd.seasonal,0.0,0.0,0.0,0.0,0.0
signed_sd.slope,-1.7329709117134162e-07,4.9219336022530355e-05,-0.0,0.0,0.0
state_level,2.0,0.0,2.0,2.0,2.0
state_season,0.0025,0.05,0.0,0.0,0.0
state_trend,0.1875,0.4877895001855084,0.0,0.0,1.0
xi,-0.2945093701453626,0.01745037227222013,-0.3279662329296452,-0.2914041851730118,-0.26738820481890746
