parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,25.004677628801936,0.12543779993286178,0.9980039349005314,98.23457092613623,,False,sampled
beta0,-2.9524788451408536e-05,0.0004134985464225668,0.9977155902661284,171.3754287030326,,False,sampled
initial.level,25.004677628801936,0.12543779993286178,0.9980039349005314,98.23457092613623,,False,sampled
initial.slope,-2.9524788451408536e-05,0.0004134985464225668,0.9977155902661284,171.3754287030326,,False,sampled
model_index,3.7,4.485007047993501,0.9980345786993591,114.4315882588687,,False,sampled
q_level,9.982601344656639e-05,0.00020276887731888167,0.998225739049121,83.61301887125713,,False,sampled
q_season,2.002011237923567e-06,3.249534978812107e-05,0.9975119351722572,400.0,,False,sampled
q_trend,2.7081305587601475e-09,1.5510087080449524e-08,0.9975847199071601,113.46499903815395,,False,sampled
s_level,-0.00031279116018449347,0.00999890596204261,1.0013321289796675,400.0,,False,sampled
s_season,-9.557898080286342e-05,0.0014134604956574533,0.9975119351722572,400.0,,False,sampled
s_trend,-1.1268753204163876e-07,5.2104751444450726e-05,1.0003248698609284,400.0,,False,sampled
sd.level,0.005451377835102389,0.008383567477789955,0.998225739049121,83.61301887125713,,False,sampled
sd.seasonal,9.557898080286342e-05,0.0014134604956574533,0.9975119351722572,400.0,,False,sampled
sd.slope,1.0100781319777124e-05,5.111395471303511e-05,0.9975847199071601,113.46499903815395,,False,sampled
sigma,1.5297292285724842,0.04036103844720325,1.0077729517061609,33.61500461501701,0.396,False,sampled
sigma2,2.3416964536399423,0.12331298581820715,1.0077729517061609,33.61500461501701,,False,sampled
signed_sd.level,-0.00031279116018449347,0.00999890596204261,1.0013321289796675,400.0,,False,sampled
signed_sd.seasonal,-9.557898080286342e-05,0.0014134604956574533,0.9975119351722572,400.0,,False,sampled
signed_sd.slope,-1.1268753204163876e-07,5.2104751444450726e-05,1.0003248698609284,400.0,,False,sampled
state_level,1.3675,0.48272799358383356,0.9981676157003828,91.89928775417818,,False,sampled
state_season,0.0175,0.16511179473891244,1.0014636462251294,307.8124629354832,,False,sampled
state_trend,0.125,0.44707346903701634,0.9974968671630002,182.63079871892964,,False,sampled
xi,-0.3663730725372541,0.019026429776951046,1.0165700946993108,24.788591652303253,0.27,False,sampled
