parameter,mean,sd,lower,median,upper
alpha0,25.004677628801936,0.12543779993286178,24.749838533026395,25.03906271422542,25.153072525914983
beta0,-2.9524788451408536e-05,0.0004134985464225668,-0.00012237605995682086,0.0,0.0
initial.level,25.004677628801936,0.12543779993286178,24.749838533026395,25.03906271422542,25.153072525914983
initial.slope,-2.9524788451408536e-05,0.0004134985464225668,-0.00012237605995682086,0.0,0.0
model_index,3.7,4.485007047993501,0.0,0.0,9.0
q_level,9.982601344656639e-05,0.00020276887731888167,0.0,0.0,0.0005065073707986003
q_season,2.002011237923567e-06,3.249534978812107e-05,0.0,0.0,0.0
q_trend,2.7081305587601475e-09,1.5510087080449524e-08,0.0,0.0,0.0
s_level,-0.00031279116018449347,0.00999890596204261,-0.018941808878447652,0.0,0.016553268415420357
s_season,-9.557898080286342e-05,0.0014134604956574533,0.0,0.0,0.0
s_trend,-1.1268753204163876e-07,5.2104751444450726e-05,0.0,0.0,0.0
sd.level,0.005451377835102389,0.008383567477789955,0.0,0.0,0.022505696685687342
sd.seasonal,9.557898080286342e-05,0.0014134604956574533,0.0,0.0,0.0
sd.slope,1.0100781319777124e-05,5.111395471303511e-05,0.0,0.0,0.0
sigma,1.5297292285724842,0.04036103844720325,1.4645994210790056,1.530177930708177,1.5911287537145982
sigma2,2.3416964536399423,0.12331298581820715,2.1450514874027413,2.341444499626359,2.5316907108973705
signed_sd.level,-0.00031279116018449347,0.00999890596204261,-0.018941808878447652,0.0,0.016553268415420357
signed_sd.seasonal,-9.557898080286342e-05,0.0014134604956574533,0.0,0.0,0.0
signed_sd.slope,-1.1268753204163876e-07,5.2104751444450726e-05,0.0,0.0,0.0
state_level,1.3675,0.48272799358383356,1.0,1.0,2.0
state_season,0.0175,0.16511179473891244,0.0,0.0,0.0
state_trend,0.125,0.44707346903701634,0.0,0.0,1.0
xi,-0.3663730725372541,0.019026429776951046,-0.39655368959967663,-0.36988966475710255,-0.3270267821335528
