parameter,mean,sd,lower,median,upper
alpha0,24.968899881061443,0.06343973058642247,24.859859797242095,24.970966423089706,25.058932558373442
beta0,6.779099690704617e-06,5.618711317500639e-05,0.0,0.0,0.0
initial.level,24.968899881061443,0.06343973058642247,24.859859797242095,24.970966423089706,25.058932558373442
initial.slope,6.779099690704617e-06,5.618711317500639e-05,0.0,0.0,0.0
model_index,2.7275,2.3241661128888254,2.0,2.0,11.0
q_level,1.2342318174641265e-05,8.821553106670489e-05,0.0,0.0,2.526094069966423e-06
q_season,0.0020404948065784016,0.0010266104955825818,0.0006914557057391125,0.001867249863787447,0.003831198048253331
q_trend,3.6453424500293646e-11,7.212070052353391e-10,0.0,0.0,0.0
s_level,-6.936297441160161e-05,0.003516877595606398,0.0,0.0,0.0
s_season,0.0004958888385138218,0.04522568193631525,-0.05819061259079236,0.023945076066628358,0.058593592452437906
s_trend,2.688521766281766e-07,6.039232055233374e-06,0.0,-0.0,0.0
sd.level,0.0006606697372749992,0.0034548043150123297,0.0,0.0,0.0015835931490492026
sd.seasonal,0.043796148323694765,0.011076955626534293,0.02629554351116839,0.04321156543401836,0.061896640000481555
sd.slope,3.3164081417063247e-07,6.03610182018403e-06,0.0,0.0,0.0
sigma,1.4919356624661435,0.04338321704373326,1.4264542694640912,1.4867941823560553,1.5717029955096549
sigma2,2.227749419200552,0.13017897825380367,2.0347717859809253,2.210556940687811,2.470250306094022
signed_sd.level,-6.936297441160161e-05,0.003516877595606398,0.0,0.0,0.0
signed_sd.seasonal,0.0004958888385138218,0.04522568193631525,-0.05819061259079236,0.023945076066628358,0.058593592452437906
signed_sd.slope,2.688521766281766e-07,6.039232055233374e-06,0.0,-0.0,0.0
state_level,1.0625,0.2423646044779629,1.0,1.0,2.0
state_season,2.0,0.0,2.0,2.0,2.0
state_trend,0.055,0.2492595551118078,0.0,0.0,0.049999999999954525
xi,-0.3015728472052344,0.021734047415700213,-0.3367660362955802,-0.300374474689432,-0.270253514875233
