parameter,mean,sd,lower,median,upper
alpha0,-0.39699203113520504,0.30527510545397973,-0.8852300770719035,-0.4224125612506916,0.0911430712193017
beta0,4.661822810007919e-05,0.00027839305366718765,0.0,0.0,0.0002454211771282445
initial.level,-0.39699203113520504,0.30527510545397973,-0.8852300770719035,-0.4224125612506916,0.0911430712193017
initial.slope,4.661822810007919e-05,0.00027839305366718765,0.0,0.0,0.0002454211771282445
model_index,10.438,1.0316416864097129,10.0,10.0,13.0
q_level,0.0016905662414055844,0.0014405370399806093,0.0004707858313464139,0.001257572804776918,0.004654368317001607
q_season,3.4498837936753595e-05,0.000129728038523437,0.0,0.0,0.00029023200876790797
q_trend,4.5797388249885845e-11,6.051543142656509e-10,0.0,0.0,0.0
s_level,-0.0005309954589959569,0.04115424192577334,-0.0542857356213718,-0.02030727926206189,0.05801788305587843
s_season,5.0434169021791306e-05,0.005879236785647615,-0.00542500948912868,-0.0,0.007186668009347104
s_trend,2.2732382749129426e-07,6.770331373067556e-06,0.0,0.0,0.0
sd.level,0.03853019089233351,0.01436674765150721,0.021697599373720653,0.03546227221862626,0.06822280246756414
sd.seasonal,0.0018878484545385575,0.005567482363617182,0.0,0.0,0.017035564441108236
sd.slope,5.206343353335347e-07,6.754077528818293e-06,0.0,0.0,0.0
sigma,2.083427228299509,0.05039380072348485,2.0056933774733663,2.081971244686304,2.172949348589526
sigma2,4.34320347170083,0.21072034129908124,4.02280592444052,4.334604263700638,4.7217090846762595
signed_sd.level,-0.0005309954589959569,0.04115424192577334,-0.0542857356213718,-0.02030727926206189,0.05801788305587843
signed_sd.seasonal,5.0434169021791306e-05,0.005879236785647615,-0.00542500948912868,-0.0,0.007186668009347104
signed_sd.slope,2.2732382749129426e-07,6.770331373067556e-06,0.0,0.0,0.0
state_level,2.0,0.0,2.0,2.0,2.0
state_season,1.156,0.36321874361247225,1.0,1.0,2.0
state_trend,0.094,0.31202358474139374,0.0,0.0,1.0
xi,-0.018826463257040953,0.019400585333612955,-0.0492345218943566,-0.02161084608666503,0.014900477212402587
