parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,10.85658538649572,0.2319546104281769,1.0870197883192756,27.81300667380594,,False,sampled
beta0,0.0004887884586029658,0.0017982343455986494,1.6138230473398667,3.994055318937211,,False,sampled
initial.level,10.85658538649572,0.2319546104281769,1.0870197883192756,27.81300667380594,,False,sampled
initial.slope,0.0004887884586029658,0.0017982343455986494,1.6138230473398667,3.994055318937211,,False,sampled
model_index,10.804,2.9771312737671622,1.4651399624138335,35.897686205881186,,False,sampled
q_level,0.0005940127371209657,0.0006586420939735167,1.2300396814294783,8.729742354466925,,False,sampled
q_season,0.000892484989734992,0.0008219800934710355,1.0908042540581269,20.080071696056716,,False,sampled
q_trend,1.8678479748274184e-08,3.8960844167379134e-08,1.365305588273257,5.944167717340285,,False,sampled
s_level,0.0002374420539973592,0.02439562771677232,1.2300396814294783,500.0,,False,sampled
s_season,0.0013563344569869327,0.029873570375664196,1.0908042540581269,439.64531224389987,,False,sampled
s_trend,1.0528314257651156e-06,0.0001368020500433207,1.365305588273257,320.4701385088044,,False,sampled
sd.level,0.018568921323576744,0.015802130002788628,1.2300396814294783,8.729742354466925,,False,sampled
sd.seasonal,0.024523302412416556,0.017078523955105916,1.0908042540581269,20.080071696056716,,False,sampled
sd.slope,7.858963377228051e-05,0.00011192499103886993,1.365305588273257,5.944167717340285,,False,sampled
sigma,1.9323554537522718,0.039083756443618126,1.0252082934773603,65.12631698469153,0.304,False,sampled
sigma2,3.7355220845838564,0.15088442337507282,1.0252082934773603,65.12631698469153,,False,sampled
signed_sd.level,0.0002374420539973592,0.02439562771677232,1.2300396814294783,500.0,,False,sampled
signed_sd.seasonal,0.0013563344569869327,0.029873570375664196,1.0908042540581269,439.64531224389987,,False,sampled
signed_sd.slope,1.0528314257651156e-06,0.0001368020500433207,1.365305588273257,320.4701385088044,,False,sampled
state_level,1.656,0.47551680565983145,1.2203780834916147,10.579329566845415,,False,sampled
state_season,1.756,0.42992286207489516,1.128934787481529,15.363427171390954,,False,sampled
state_trend,1.048,0.9248820539005256,1.676439494367571,3.7797767113391214,,False,sampled
xi,-0.280598284984979,0.012473277306871639,1.0412700290345733,26.78213665327897,0.189,False,sampled
