parameter,mean,sd,lower,median,upper
alpha0,10.85658538649572,0.2319546104281769,10.468980145735802,10.870929157640111,11.202456317027146
beta0,0.0004887884586029658,0.0017982343455986494,-0.0015716883024851256,0.0,0.004222798135041274
initial.level,10.85658538649572,0.2319546104281769,10.468980145735802,10.870929157640111,11.202456317027146
initial.slope,0.0004887884586029658,0.0017982343455986494,-0.0015716883024851256,0.0,0.004222798135041274
model_index,10.804,2.9771312737671622,7.0,11.0,17.0
q_level,0.0005940127371209657,0.0006586420939735167,0.0,0.0004965879658798047,0.0019342928584100913
q_season,0.000892484989734992,0.0008219800934710355,0.0,0.0008147581596938662,0.002556952574279129
q_trend,1.8678479748274184e-08,3.8960844167379134e-08,0.0,0.0,1.0213024857342168e-07
s_level,0.0002374420539973592,0.02439562771677232,-0.039274088522101805,0.0,0.03746267537058598
s_season,0.0013563344569869327,0.029873570375664196,-0.04338797432284455,0.0,0.04639726573629955
s_trend,1.0528314257651156e-06,0.0001368020500433207,-0.00025244188463123985,0.0,0.00023959034766403645
sd.level,0.018568921323576744,0.015802130002788628,0.0,0.02228348537150092,0.043980585524093285
sd.seasonal,0.024523302412416556,0.017078523955105916,0.0,0.02854396004480913,0.05056631370056247
sd.slope,7.858963377228051e-05,0.00011192499103886993,0.0,0.0,0.00031957820060687903
sigma,1.9323554537522718,0.039083756443618126,1.8722792179722403,1.9347180410646243,1.9921482796292695
sigma2,3.7355220845838564,0.15088442337507282,3.5054309106369237,3.7431338984209375,3.9686552223153972
signed_sd.level,0.0002374420539973592,0.02439562771677232,-0.039274088522101805,0.0,0.03746267537058598
signed_sd.seasonal,0.0013563344569869327,0.029873570375664196,-0.04338797432284455,0.0,0.04639726573629955
signed_sd.slope,1.0528314257651156e-06,0.0001368020500433207,-0.00025244188463123985,0.0,0.00023959034766403645
state_level,1.656,0.47551680565983145,1.0,2.0,2.0
state_season,1.756,0.42992286207489516,1.0,2.0,2.0
state_trend,1.048,0.9248820539005256,0.0,1.0,2.0
xi,-0.280598284984979,0.012473277306871639,-0.2981864826625015,-0.2795618867020005,-0.2563510578047699
