parameter,mean,sd,lower,median,upper
alpha0,-6.561988808079841,0.4230847440819654,-7.182672338174934,-6.602859744560398,-5.740586121711003
beta0,0.00010859923985907694,0.0006192860819950907,-0.0002718153608056126,0.0,0.001323245653615642
initial.level,-6.561988808079841,0.4230847440819654,-7.182672338174934,-6.602859744560398,-5.740586121711003
initial.slope,0.00010859923985907694,0.0006192860819950907,-0.0002718153608056126,0.0,0.001323245653615642
model_index,10.596,1.4632382349653554,10.0,10.0,13.0
q_level,0.0029750583821537054,0.0029198011381289636,0.0005863976866152991,0.00177378345703782,0.009013818736535058
q_season,3.284286391230966e-05,0.00014436155286427158,0.0,0.0,0.00018671513981157508
q_trend,4.0736582828055635e-10,2.399919935304841e-09,0.0,0.0,0.0
s_level,-0.0018412687871957152,0.05456760355855157,-0.08339494877672919,0.0,0.08126572731225852
s_season,-0.00023541399647575382,0.00573176678376746,-0.005645870699443837,0.0,0.003501585186406769
s_trend,1.3657138844007436e-06,2.0157214103823128e-05,0.0,0.0,0.0
sd.level,0.04930766093573364,0.023343152330434627,0.024215567790948685,0.042116213292000965,0.0949410188414318
sd.seasonal,0.0016886060205862233,0.005481931846812382,0.0,0.0,0.013664338882479518
sd.slope,3.932358930935515e-06,1.981635074964394e-05,0.0,0.0,0.0
sigma,2.267919611180273,0.04108942169736828,2.1989868478515833,2.2685885650151096,2.3339124223550183
sigma2,5.145144326670356,0.18601361157365437,4.835543157024242,5.146494077317314,5.447147195223069
signed_sd.level,-0.0018412687871957152,0.05456760355855157,-0.08339494877672919,0.0,0.08126572731225852
signed_sd.seasonal,-0.00023541399647575382,0.00573176678376746,-0.005645870699443837,0.0,0.003501585186406769
signed_sd.slope,1.3657138844007436e-06,2.0157214103823128e-05,0.0,0.0,0.0
state_level,1.976,0.15320229072624056,2.0,2.0,2.0
state_season,1.134,0.34099347956553716,1.0,1.0,2.0
state_trend,0.226,0.517164304487144,0.0,0.0,1.0
xi,-0.13913784609045216,0.012586474178922037,-0.15781998526827665,-0.13888924524710994,-0.11613347972765183
