parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,18.957835532117453,0.3555166649292277,1.0569115556899724,25.23616895858331,,False,sampled
beta0,-0.00033924973045705906,0.0015846551367594568,1.3426840894089906,19.70071520320405,,False,sampled
initial.level,18.957835532117453,0.3555166649292277,1.0569115556899724,25.23616895858331,,False,sampled
initial.slope,-0.00033924973045705906,0.0015846551367594568,1.3426840894089906,19.70071520320405,,False,sampled
model_index,11.288,1.974043996317913,1.2164120293878071,11.665013328690225,,False,sampled
q_level,0.003223810347697812,0.002279915057930467,1.100479103515958,17.150213104156453,,False,sampled
q_season,0.00037411559847569305,0.0007545009381913442,1.0343009821349762,84.23154634564513,,False,sampled
q_trend,4.063820091137853e-09,1.710591062893903e-08,1.2456127644168316,14.255343337705126,,False,sampled
s_level,0.0033878191702542146,0.05673420987471038,1.0448129551699654,496.38856011750613,,False,sampled
s_season,0.0008272617983046132,0.01934372238179422,1.0343009821349762,422.5273489332568,,False,sampled
s_trend,-4.020348867878139e-06,6.368491519162394e-05,1.2456127644168316,500.0,,False,sampled
sd.level,0.054002977680276176,0.01755291882508336,1.100479103515958,17.150213104156453,,False,sampled
sd.seasonal,0.010622875716628124,0.016180040092024638,1.0343009821349762,84.23154634564513,,False,sampled
sd.slope,1.789452998526817e-05,6.124629053217914e-05,1.2456127644168316,14.255343337705126,,False,sampled
sigma,2.6249364162749647,0.05397689833898746,1.0798929942810565,52.785069532350974,0.33099999999999996,False,sampled
sigma2,6.893198868029645,0.283876937493583,1.0798929942810565,52.785069532350974,,False,sampled
signed_sd.level,0.0033878191702542146,0.05673420987471038,1.0448129551699654,496.38856011750613,,False,sampled
signed_sd.seasonal,0.0008272617983046132,0.01934372238179422,1.0343009821349762,422.5273489332568,,False,sampled
signed_sd.slope,-4.020348867878139e-06,6.368491519162394e-05,1.2456127644168316,500.0,,False,sampled
state_level,2.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_season,1.394,0.48912420198753187,1.0217754514226511,124.42262899664993,,False,sampled
state_trend,0.298,0.630866058658996,1.3523943357745787,6.797541200460161,,False,sampled
xi,-0.27593286804919276,0.01170187800155539,1.0758498775338046,30.433391633255162,0.201,False,sampled
