date,Prec
1892-01-09,17.09
1892-02-14,9.71
1892-03-28,15.15
1892-04-20,9.13
1892-05-01,4.37
1892-06-22,11.65
1892-07-19,11.36
1892-08-07,19.04
1892-09-08,30.59
1892-10-22,8.64
1892-11-01,9.13
1892-12-03,15.54
1893-01-22,14.37
1893-02-22,13.4
1893-03-18,3.69
1893-04-12,0.29
1893-05-21,4.86
1893-06-28,8.06
1893-07-12,25.25
1893-08-27,7.38
1893-09-16,12.14
1893-10-17,19.42
1893-11-19,20.88
1893-12-20,13.4
1894-01-17,17.77
1894-02-05,9.61
1894-03-05,6.22
1894-04-18,9.13
1894-05-12,11.75
1894-06-18,17.09
1894-07-23,22.05
1894-08-26,13.4
1894-09-02,20.49
1894-10-30,35.84
1894-11-14,15.05
1894-12-30,11.46
1895-01-25,12.72
1895-02-27,2.91
1895-03-27,14.86
1895-04-17,17.29
1895-05-18,16.22
1895-06-10,61.87
1895-07-20,13.4
1895-08-10,20.98
1895-09-07,0.78
1895-10-06,20.3
1895-11-22,17.19
1895-12-12,16.32
1896-01-14,7.48
1896-02-29,4.18
1896-03-01,10.39
1896-04-12,14.86
1896-05-20,6.02
1896-06-15,32.92
1896-07-15,26.81
1896-08-24,22.24
1896-09-18,20.88
1896-10-21,21.27
1896-11-08,23.5
1896-12-13,14.37
1897-01-08,6.31
1897-02-02,21.27
1897-03-14,11.65
1897-04-01,12.14
1897-05-12,10.0
1897-06-02,26.22
1897-07-21,11.36
1897-08-08,18.26
1897-09-18,29.72
1897-10-03,8.45
1897-11-27,11.75
1897-12-10,15.44
1898-01-21,5.44
1898-02-27,17.09
1898-03-26,12.53
1898-04-12,18.94
1898-05-05,14.08
1898-06-06,19.81
1898-07-28,6.22
1898-08-08,37.2
1898-09-27,4.66
1898-10-15,10.29
1898-11-21,16.12
1898-12-09,7.67
1899-01-02,17.58
1899-02-12,6.41
1899-03-31,8.74
1899-04-07,12.82
1899-05-25,18.84
1899-06-21,15.83
1899-07-04,27.19
1899-08-06,10.49
1899-09-06,31.37
1899-10-01,15.05
1899-11-08,8.45
1899-12-06,17.77
1900-01-21,10.1
1900-02-13,10.78
1900-03-16,4.37
1900-04-04,10.39
1900-05-24,23.21
1900-06-19,12.72
1900-07-29,17.29
1900-08-20,11.17
1900-09-23,12.63
1900-10-29,20.49
1900-11-01,7.19
1900-12-06,51.67
1901-01-27,13.2
1901-02-05,17.5
1901-03-31,19.8
1901-04-03,15.6
1901-05-07,4.2
1901-06-30,13.1
1901-07-23,23.7
1901-08-06,18.5
1901-09-14,24.0
1901-10-06,28.6
1901-11-18,6.4
1901-12-08,23.9
1902-01-24,8.6
1902-02-06,14.6
1902-03-24,7.4
1902-04-15,11.3
1902-05-16,13.5
1902-06-06,11.7
1902-07-20,15.7
1902-08-26,19.6
1902-09-10,28.2
1902-10-20,29.8
1902-11-30,12.3
1902-12-17,19.3
1903-01-04,24.9
1903-02-27,7.2
1903-03-02,16.1
1903-04-24,36.6
1903-05-17,12.5
1903-06-14,18.3
1903-07-28,41.6
1903-08-14,8.2
1903-09-06,16.3
1903-10-12,30.4
1903-11-27,18.5
1903-12-05,12.9
1904-01-08,22.3
1904-02-09,12.1
1904-03-29,22.7
1904-04-06,4.5
1904-05-02,9.4
1904-06-09,9.9
1904-07-26,15.3
1904-08-22,20.8
1904-09-13,29.0
1904-10-08,14.1
1904-11-09,20.3
1904-12-07,19.5
1905-01-05,7.7
1905-02-19,4.6
1905-03-30,15.3
1905-04-14,13.4
1905-05-07,21.9
1905-06-07,28.5
1905-07-04,39.8
1905-08-29,28.5
1905-09-19,32.5
1905-10-22,16.9
1905-11-05,19.3
1905-12-29,10.7
1906-01-05,18.5
1906-02-26,11.7
1906-03-18,15.3
1906-04-18,10.7
1906-05-20,25.0
1906-06-24,6.7
1906-07-11,24.8
1906-08-18,9.9
1906-09-16,23.0
1906-10-02,17.3
1906-11-30,15.2
1906-12-24,7.4
1907-01-30,14.6
1907-02-19,19.8
1907-03-09,9.2
1907-04-11,9.9
1907-05-03,18.5
1907-06-28,11.2
1907-07-04,14.9
1907-08-05,11.3
1907-09-05,5.9
1907-10-03,12.6
1907-11-25,11.4
1907-12-13,12.3
1908-01-08,8.6
1908-02-24,12.3
1908-03-06,7.9
1908-04-28,10.1
1908-05-21,30.4
1908-06-04,16.8
1908-07-16,17.7
1908-08-23,30.6
1908-09-01,11.4
1908-10-10,5.8
1908-11-14,16.8
1908-12-10,12.7
1909-01-07,6.3
1909-02-05,5.5
1909-03-19,10.8
1909-04-24,15.4
1909-05-01,8.6
1909-06-03,12.0
1909-07-08,21.6
1909-08-21,20.5
1909-09-04,18.5
1909-10-27,10.0
1909-11-29,12.6
1909-12-22,30.1
1910-01-24,9.8
1910-02-25,16.3
1910-03-10,12.0
1910-04-15,9.6
1910-05-20,16.4
1910-06-04,11.4
1910-07-18,26.5
1910-08-05,13.4
1910-09-04,15.9
1910-10-31,16.9
1910-11-01,14.7
1910-12-02,17.1
1911-01-09,12.6
1911-02-18,6.9
1911-03-13,20.1
1911-04-26,10.1
1911-05-16,10.5
1911-06-19,16.3
1911-07-03,4.5
1911-08-20,10.3
1911-09-30,40.7
1911-10-22,12.8
1911-11-11,19.5
1911-12-22,17.5
1912-01-06,20.4
1912-02-23,16.8
1912-03-21,14.6
1912-04-10,11.5
1912-05-20,8.4
1912-06-16,13.1
