date,Prec
1892-01-09,17.09
1892-03-28,15.15
1892-08-07,19.04
1892-09-08,30.59
1892-12-03,15.54
1893-05-21,4.86
1893-07-12,25.25
1893-11-19,20.88
1894-01-17,17.77
1894-05-12,11.75
1894-07-23,22.05
1894-10-30,35.84
1895-01-25,12.72
1895-04-17,17.29
1895-06-10,61.87
1895-10-06,20.3
1895-12-12,16.32
1896-04-12,14.86
1896-06-15,32.92
1896-11-08,23.5
1897-02-02,21.27
1897-04-01,12.14
1897-06-02,26.22
1897-09-18,29.72
1898-02-27,17.09
1898-04-12,18.94
1898-08-08,37.2
1898-11-21,16.12
1899-01-02,17.58
1899-05-25,18.84
1899-07-04,27.19
1899-09-06,31.37
1899-12-06,17.77
1900-05-24,23.21
1900-07-29,17.29
1900-10-29,20.49
1900-12-06,51.67
1901-03-31,19.8
1901-07-23,23.7
1901-10-06,28.6
1901-12-08,23.9
1902-05-16,13.5
1902-08-26,19.6
1902-10-20,29.8
1903-01-04,24.9
1903-04-24,36.6
1903-07-28,41.6
1903-10-12,30.4
1904-01-08,22.3
1904-03-29,22.7
1904-08-22,20.8
1904-09-13,29.0
1904-12-07,19.5
1905-05-07,21.9
1905-07-04,39.8
1905-09-19,32.5
1906-01-05,18.5
1906-05-20,25.0
1906-07-11,24.8
1906-09-16,23.0
1907-02-19,19.8
1907-05-03,18.5
1907-07-04,14.9
1907-10-03,12.6
1907-12-13,12.3
1908-05-21,30.4
1908-08-23,30.6
1908-11-14,16.8
1908-12-10,12.7
1909-04-24,15.4
1909-07-08,21.6
1909-09-04,18.5
1909-12-22,30.1
1910-05-20,16.4
1910-07-18,26.5
1910-10-31,16.9
1910-12-02,17.1
1911-03-13,20.1
1911-06-19,16.3
1911-09-30,40.7
1912-01-06,20.4
1912-03-21,14.6
1912-08-23,33.6
1912-10-01,22.1
1912-12-15,17.6
1913-05-30,34.1
1913-07-22,27.5
1913-11-13,18.3
1914-01-09,25.0
1914-03-05,18.2
1914-07-28,32.5
1914-09-19,25.0
1915-01-07,20.1
1915-04-05,16.0
1915-06-10,26.5
1915-11-01,14.2
1915-12-09,19.0
1916-04-18,22.2
1916-07-04,40.6
1916-09-18,26.5
1916-12-29,33.2
1917-05-18,32.3
1917-07-31,36.8
1917-11-20,15.1
1918-01-15,37.2
1918-04-06,11.8
1918-08-23,28.0
1918-10-15,18.6
1918-12-12,21.6
1919-03-04,19.8
1919-07-19,33.3
1919-10-15,26.6
1919-12-03,18.2
1920-04-27,22.6
1920-07-12,28.0
1920-09-05,20.8
1920-12-04,17.2
1921-03-19,11.4
1921-08-10,6.0
1921-11-06,21.5
1922-01-04,18.0
1922-04-03,29.2
1922-06-09,40.7
1922-09-19,18.5
1923-02-02,17.5
1923-05-08,28.1
1923-07-15,39.2
1923-10-10,24.7
1923-12-08,14.2
1924-05-22,27.0
1924-08-07,33.3
1924-11-01,35.4
1925-01-03,32.7
1925-04-30,19.5
1925-08-19,32.4
1925-11-28,34.0
1926-02-17,23.3
1926-05-16,15.3
1926-07-04,46.8
1926-10-31,26.1
1927-02-01,13.5
1927-05-31,13.2
1927-08-20,19.1
1927-09-10,17.7
1927-12-23,21.8
1928-04-29,25.5
1928-08-29,20.1
1928-10-18,20.2
1928-12-27,13.0
1929-04-10,21.5
1929-06-12,21.1
1929-10-03,28.5
1930-01-11,13.6
1930-05-25,24.6
1930-07-04,32.9
1930-11-02,21.3
1931-02-28,17.1
1931-05-26,26.5
1931-07-07,23.0
1931-09-05,20.2
1931-12-10,13.1
1932-04-29,13.5
1932-08-26,19.8
1932-09-23,33.9
1933-02-01,11.8
1933-05-25,37.9
1933-06-12,30.1
1933-10-26,33.3
1934-01-18,7.9
1934-04-17,18.0
