date,TNn_seasonal
1891-12-01,-10.5
1892-03-01,-8.9
1892-06-01,3.2
1892-09-01,-2.3
1892-12-01,-15.4
1893-03-01,-1.3
1893-06-01,3.5
1893-09-01,-3.5
1893-12-01,-13.8
1894-03-01,-1.3
1894-06-01,6.6
1894-09-01,-1.9
1894-12-01,-18.1
1895-03-01,-8.3
1895-06-01,3.7
1895-09-01,-3.8
1895-12-01,-11.4
1896-03-01,-1.2
1896-06-01,6.1
1896-09-01,-7.1
1896-12-01,-6.5
1897-03-01,-1.0
1897-06-01,6.2
1897-09-01,-6.9
1897-12-01,-6.0
1898-03-01,-3.7
1898-06-01,5.0
1898-09-01,-2.2
1898-12-01,-7.2
1899-03-01,-7.3
1899-06-01,5.8
1899-09-01,-1.2
1899-12-01,-15.5
1900-03-01,-4.5
1900-06-01,7.1
1900-09-01,-1.6
1900-12-01,-14.8
1901-03-01,-6.0
1901-06-01,5.5
1901-09-01,-4.5
1901-12-01,-11.4
1902-03-01,-1.0
1902-06-01,2.9
1902-09-01,-8.6
1902-12-01,-11.8
1903-03-01,-2.6
1903-06-01,4.1
1903-09-01,-3.9
1903-12-01,-9.5
1904-03-01,-6.8
1904-06-01,6.1
1904-09-01,-3.3
1904-12-01,-11.0
1905-03-01,-1.8
1905-06-01,8.1
1905-09-01,-3.0
1905-12-01,-6.6
1906-03-01,-3.5
1906-06-01,4.9
1906-09-01,-2.1
1906-12-01,-13.3
1907-03-01,-2.5
1907-06-01,5.3
1907-09-01,-2.5
1907-12-01,-13.0
1908-03-01,-2.9
1908-06-01,4.4
1908-09-01,-6.0
1908-12-01,-14.8
1909-03-01,-8.3
1909-06-01,5.3
1909-09-01,-6.4
1909-12-01,-6.0
1910-03-01,-2.5
1910-06-01,8.3
1910-09-01,-4.2
1910-12-01,-9.6
1911-03-01,-4.6
1911-06-01,3.8
1911-09-01,-1.7
1911-12-01,-14.4
1912-03-01,-1.1
1912-06-01,8.2
1912-09-01,-1.5
1912-12-01,-6.8
1913-03-01,-2.2
1913-06-01,5.4
1913-09-01,0.4
1913-12-01,-11.6
1914-03-01,-0.5
1914-06-01,4.0
1914-09-01,-7.6
1914-12-01,-7.9
1915-03-01,-4.7
1915-06-01,6.5
1915-09-01,-10.4
1915-12-01,-5.2
1916-03-01,-3.1
1916-06-01,2.8
1916-09-01,-3.7
1916-12-01,-16.2
1917-03-01,-6.7
1917-06-01,7.3
1917-09-01,-0.8
1917-12-01,-9.2
1918-03-01,-4.7
1918-06-01,4.7
1918-09-01,-5.6
1918-12-01,-13.8
1919-03-01,-2.8
1919-06-01,5.2
1919-09-01,-4.8
1919-12-01,-4.9
1920-03-01,-0.8
1920-06-01,5.2
1920-09-01,-5.8
1920-12-01,-10.8
1921-03-01,-2.8
1921-06-01,4.9
1921-09-01,-10.7
1921-12-01,-12.1
1922-03-01,-3.8
1922-06-01,4.7
1922-09-01,-5.2
1922-12-01,-4.7
1923-03-01,-1.4
1923-06-01,3.3
1923-09-01,-4.9
1923-12-01,-10.6
1924-03-01,-2.9
1924-06-01,5.2
1924-09-01,-5.4
1924-12-01,-5.7
1925-03-01,-7.5
1925-06-01,4.5
1925-09-01,-6.4
1925-12-01,-9.5
1926-03-01,-3.8
1926-06-01,4.1
1926-09-01,-0.9
1926-12-01,-5.6
1927-03-01,-1.8
1927-06-01,6.1
1927-09-01,-4.2
1927-12-01,-14.5
1928-03-01,-5.2
1928-06-01,3.4
1928-09-01,-4.7
1928-12-01,-17.5
1929-03-01,-8.9
1929-06-01,4.9
1929-09-01,-0.7
1929-12-01,-6.5
1930-03-01,-1.2
1930-06-01,7.0
1930-09-01,-2.0
1930-12-01,-8.9
1931-03-01,-9.1
1931-06-01,5.2
1931-09-01,-6.4
1931-12-01,-9.6
1932-03-01,-6.8
1932-06-01,6.1
1932-09-01,-1.9
1932-12-01,-11.1
1933-03-01,-2.2
1933-06-01,5.7
1933-09-01,-2.8
1933-12-01,-12.2
1934-03-01,-3.8
1934-06-01,6.7
1934-09-01,-3.4
1934-12-01,-8.0
1935-03-01,-5.6
1935-06-01,6.9
1935-09-01,-2.8
1935-12-01,-8.7
1936-03-01,-1.9
1936-06-01,0.9
1936-09-01,-3.7
1936-12-01,-5.3
1937-03-01,-1.9
1937-06-01,5.4
1937-09-01,-2.4
1937-12-01,-8.5
1938-03-01,-3.4
1938-06-01,5.4
1938-09-01,-1.6
1938-12-01,-14.8
1939-03-01,-4.6
1939-06-01,2.7
1939-09-01,-2.9
1939-12-01,-18.4
1940-03-01,-3.8
1940-06-01,5.7
1940-09-01,-5.3
1940-12-01,-10.2
1941-03-01,-2.8
1941-06-01,3.9
1941-09-01,-4.7
1941-12-01,-17.6
1942-03-01,-3.5
1942-06-01,5.8
1942-09-01,-2.6
1942-12-01,-6.9
1943-03-01,-1.3
1943-06-01,6.7
1943-09-01,-2.4
1943-12-01,-7.0
1944-03-01,-6.2
1944-06-01,5.7
1944-09-01,-1.4
1944-12-01,-13.6
1945-03-01,-0.8
1945-06-01,4.8
1945-09-01,-2.5
1945-12-01,-10.4
1946-03-01,-4.1
1946-06-01,6.9
1946-09-01,-2.6
1946-12-01,-14.2
1947-03-01,-7.2
1947-06-01,6.9
1947-09-01,-2.4
1947-12-01,-10.6
1948-03-01,-1.5
1948-06-01,5.2
1948-09-01,-3.6
1948-12-01,-8.6
1949-03-01,-7.0
1949-06-01,2.9
1949-09-01,-3.7
1949-12-01,-9.9
1950-03-01,-4.2
1950-06-01,6.6
1950-09-01,-4.8
1950-12-01,-16.4
1951-03-01,-4.5
1951-06-01,7.0
1951-09-01,-0.3
1951-12-01,-8.2
1952-03-01,-2.0
1952-06-01,4.6
1952-09-01,-4.3
1952-12-01,-8.4
1953-03-01,-3.2
1953-06-01,5.3
1953-09-01,-2.4
1953-12-01,-14.6
1954-03-01,-2.6
1954-06-01,4.8
1954-09-01,-2.9
1954-12-01,-10.9
1955-03-01,-8.3
1955-06-01,2.5
1955-09-01,-3.7
1955-12-01,-16.4
1956-03-01,-4.6
1956-06-01,4.6
1956-09-01,-6.2
1956-12-01,-5.7
1957-03-01,-1.2
1957-06-01,5.6
1957-09-01,-1.9
1957-12-01,-6.9
1958-03-01,-6.3
1958-06-01,6.3
1958-09-01,-2.4
1958-12-01,-6.0
1959-03-01,-1.5
1959-06-01,6.3
1959-09-01,-1.5
1959-12-01,-11.6
1960-03-01,-2.4
1960-06-01,5.6
1960-09-01,-0.2
1960-12-01,-6.9
1961-03-01,-1.5
1961-06-01,6.3
1961-09-01,-2.9
1961-12-01,-10.5
1962-03-01,-4.5
1962-06-01,1.6
1962-09-01,-5.0
1962-12-01,-16.6
1963-03-01,-4.6
1963-06-01,5.9
1963-09-01,-1.5
1963-12-01,-12.1
1964-03-01,-6.2
1964-06-01,5.1
1964-09-01,-0.9
1964-12-01,-10.8
1965-03-01,-6.5
1965-06-01,5.2
1965-09-01,-6.5
1965-12-01,-13.9
1966-03-01,-2.1
1966-06-01,6.7
1966-09-01,-3.6
1966-12-01,-8.8
1967-03-01,-1.0
1967-06-01,5.6
1967-09-01,-2.6
1967-12-01,-10.8
1968-03-01,-2.2
1968-06-01,5.9
1968-09-01,-4.5
1968-12-01,-11.8
1969-03-01,-2.9
1969-06-01,5.8
1969-09-01,-3.4
1969-12-01,-9.6
1970-03-01,-5.7
1970-06-01,7.9
1970-09-01,-0.1
1970-12-01,-10.2
1971-03-01,-10.1
1971-06-01,5.6
1971-09-01,-3.6
1971-12-01,-10.2
1972-03-01,-4.3
1972-06-01,5.7
1972-09-01,-0.5
1972-12-01,-4.8
1973-03-01,-2.0
1973-06-01,6.5
1973-09-01,-4.4
1973-12-01,-10.4
1974-03-01,-1.5
1974-06-01,5.6
1974-09-01,-0.1
1974-12-01,-3.3
1975-03-01,-1.5
1975-06-01,1.8
1975-09-01,-4.5
1975-12-01,-9.7
1976-03-01,-5.9
1976-06-01,4.1
1976-09-01,-1.4
1976-12-01,-10.6
1977-03-01,-2.7
1977-06-01,6.4
1977-09-01,-3.1
1977-12-01,-8.3
1978-03-01,-2.0
1978-06-01,5.6
1978-09-01,-4.9
1978-12-01,-14.3
1979-03-01,-2.0
1979-06-01,6.9
1979-09-01,-1.0
1979-12-01,-8.2
1980-03-01,-2.2
1980-06-01,6.7
1980-09-01,-5.8
1980-12-01,-6.2
1981-03-01,-1.4
1981-06-01,6.9
1981-09-01,-3.6
1981-12-01,-12.0
1982-03-01,-2.0
1982-06-01,5.3
1982-09-01,0.2
1982-12-01,-6.1
1983-03-01,-0.6
1983-06-01,6.2
1983-09-01,-6.6
1983-12-01,-5.1
1984-03-01,-2.4
1984-06-01,4.4
1984-09-01,1.6
1984-12-01,-16.8
1985-03-01,-3.4
1985-06-01,4.9
1985-09-01,-4.4
1985-12-01,-10.7
1986-03-01,-5.4
1986-06-01,7.0
1986-09-01,-1.2
1986-12-01,-13.5
1987-03-01,-7.0
1987-06-01,5.9
1987-09-01,-1.4
1987-12-01,-8.5
1988-03-01,-1.8
1988-06-01,6.8
1988-09-01,-5.9
1988-12-01,-1.6
1989-03-01,-1.3
1989-06-01,4.3
1989-09-01,-4.8
1989-12-01,-3.4
1990-03-01,-2.0
1990-06-01,7.7
1990-09-01,-0.9
1990-12-01,-13.1
1991-03-01,-2.4
1991-06-01,3.6
1991-09-01,-1.0
1991-12-01,-6.2
1992-03-01,-0.4
1992-06-01,8.0
1992-09-01,-0.6
1992-12-01,-8.4
1993-03-01,-3.5
1993-06-01,6.8
1993-09-01,-5.1
1993-12-01,-8.0
1994-03-01,-0.5
1994-06-01,6.8
1994-09-01,0.1
1994-12-01,-5.2
1995-03-01,-2.0
1995-06-01,4.4
1995-09-01,-3.0
1995-12-01,-8.3
1996-03-01,-5.0
1996-06-01,6.8
1996-09-01,-2.7
1996-12-01,-14.1
1997-03-01,-0.5
1997-06-01,8.1
1997-09-01,-2.5
1997-12-01,-9.4
1998-03-01,-2.7
1998-06-01,6.0
1998-09-01,-7.4
1998-12-01,-7.3
1999-03-01,-0.6
1999-06-01,6.3
1999-09-01,-3.1
1999-12-01,-4.4
2000-03-01,-1.7
2000-06-01,6.2
2000-09-01,2.0
2000-12-01,-5.8
2001-03-01,-1.9
2001-06-01,4.9
2001-09-01,-1.8
2001-12-01,-7.0
2002-03-01,-1.2
2002-06-01,9.0
2002-09-01,2.3
2002-12-01,-8.6
2003-03-01,-1.9
2003-06-01,9.3
2003-09-01,-3.5
2003-12-01,-6.8
2004-03-01,-2.7
2004-06-01,8.0
2004-09-01,-2.1
2004-12-01,-6.6
2005-03-01,-6.6
2005-06-01,5.2
2005-09-01,-1.5
2005-12-01,-7.2
2006-03-01,-5.7
2006-06-01,3.7
2006-09-01,1.4
2006-12-01,-4.4
2007-03-01,-1.1
2007-06-01,7.5
2007-09-01,-2.6
2007-12-01,-6.8
2008-03-01,-2.4
2008-06-01,6.4
2008-09-01,-2.0
2008-12-01,-12.8
2009-03-01,-1.4
2009-06-01,6.8
2009-09-01,-0.2
2009-12-01,-10.9
2010-03-01,-4.5
2010-06-01,7.3
2010-09-01,-4.5
2010-12-01,-8.0
2011-03-01,-2.1
2011-06-01,6.7
2011-09-01,-1.9
2011-12-01,-13.0
2012-03-01,-0.1
2012-06-01,4.2
2012-09-01,-2.1
2012-12-01,-9.3
2013-03-01,-10.1
2013-06-01,6.9
2013-09-01,0.4
2013-12-01,-0.5
2014-03-01,0.4
2014-06-01,8.0
2014-09-01,0.8
2014-12-01,-5.7
2015-03-01,-1.0
2015-06-01,7.4
2015-09-01,-1.8
2015-12-01,-7.2
