date,TNx_seasonal
1891-12-01,7.1
1892-03-01,19.7
1892-06-01,18.9
1892-09-01,15.4
1892-12-01,7.8
1893-03-01,13.0
1893-06-01,19.6
1893-09-01,14.6
1893-12-01,7.9
1894-03-01,14.7
1894-06-01,17.0
1894-09-01,13.2
1894-12-01,5.0
1895-03-01,15.0
1895-06-01,19.2
1895-09-01,16.4
1895-12-01,7.7
1896-03-01,9.7
1896-06-01,17.6
1896-09-01,15.5
1896-12-01,6.1
1897-03-01,15.2
1897-06-01,17.7
1897-09-01,14.0
1897-12-01,8.1
1898-03-01,11.1
1898-06-01,20.1
1898-09-01,17.3
1898-12-01,11.7
1899-03-01,11.5
1899-06-01,18.3
1899-09-01,16.9
1899-12-01,9.6
1900-03-01,12.4
1900-06-01,18.3
1900-09-01,14.2
1900-12-01,8.7
1901-03-01,15.2
1901-06-01,18.6
1901-09-01,17.0
1901-12-01,8.6
1902-03-01,15.2
1902-06-01,17.1
1902-09-01,15.7
1902-12-01,8.2
1903-03-01,16.2
1903-06-01,17.3
1903-09-01,19.0
1903-12-01,7.4
1904-03-01,16.3
1904-06-01,19.3
1904-09-01,12.9
1904-12-01,7.8
1905-03-01,13.4
1905-06-01,17.4
1905-09-01,16.6
1905-12-01,8.4
1906-03-01,13.6
1906-06-01,17.5
1906-09-01,16.9
1906-12-01,7.8
1907-03-01,17.0
1907-06-01,17.8
1907-09-01,15.9
1907-12-01,7.2
1908-03-01,13.3
1908-06-01,17.3
1908-09-01,15.4
1908-12-01,7.8
1909-03-01,14.1
1909-06-01,16.9
1909-09-01,14.9
1909-12-01,10.0
1910-03-01,13.5
1910-06-01,16.8
1910-09-01,15.0
1910-12-01,7.6
1911-03-01,15.8
1911-06-01,20.9
1911-09-01,16.0
1911-12-01,9.9
1912-03-01,12.1
1912-06-01,21.1
1912-09-01,11.8
1912-12-01,10.6
1913-03-01,16.0
1913-06-01,17.1
1913-09-01,13.1
1913-12-01,7.7
1914-03-01,14.0
1914-06-01,17.7
1914-09-01,17.2
1914-12-01,9.7
1915-03-01,14.4
1915-06-01,17.2
1915-09-01,16.4
1915-12-01,9.2
1916-03-01,15.3
1916-06-01,16.8
1916-09-01,14.7
1916-12-01,8.8
1917-03-01,17.3
1917-06-01,18.1
1917-09-01,14.5
1917-12-01,9.1
1918-03-01,15.5
1918-06-01,18.1
1918-09-01,15.2
1918-12-01,10.5
1919-03-01,13.2
1919-06-01,18.4
1919-09-01,18.2
1919-12-01,8.4
1920-03-01,15.8
