DATE,TMAX,DAY,year,month
1892-01-29,-10.379008438241197,29,1892,1
1892-02-23,-8.24040999552707,23,1892,2
1892-03-21,-7.904814889854101,21,1892,3
1892-04-04,-0.9553525242627021,4,1892,4
1892-05-28,4.2822818843394455,28,1892,5
1892-06-28,5.411314142403965,28,1892,6
1892-07-03,6.714539948855576,3,1892,7
1892-08-18,8.033894787565254,18,1892,8
1892-09-20,4.587980809070631,20,1892,9
1892-10-31,-2.201589083402487,31,1892,10
1892-11-15,-4.2286858575960355,15,1892,11
1892-12-15,-11.017718115660552,15,1892,12
1893-01-30,-13.275782631789584,30,1893,1
1893-02-16,-6.474400143310322,16,1893,2
1893-03-30,-2.2209439221121645,30,1893,3
1893-04-20,3.237980809070633,20,1893,4
1893-05-15,4.5467980133717045,15,1893,5
1893-06-19,7.2713141424039645,19,1893,6
1893-07-08,8.062927045629772,8,1893,7
1893-08-18,8.791959303694286,18,1893,8
1893-09-06,3.7846474757373,6,1893,9
1893-10-09,0.04357220692009278,9,1893,10
1893-11-04,-7.072019190929369,4,1893,11
1893-12-13,-8.688685857596036,13,1893,12
1894-01-17,-9.240298760821842,17,1894,1
1894-02-27,-7.417257286167465,27,1894,2
1894-03-30,-3.0661052124347457,30,1894,3
1894-04-08,2.494647475737297,8,1894,4
1894-05-16,1.4822818843394483,16,1894,5
1894-06-30,4.62798080907063,30,1894,6
1894-07-02,7.814539948855577,2,1894,7
1894-08-06,5.453249626274934,6,1894,8
1894-09-01,2.62798080907063,1,1894,9
1894-10-08,-1.3854600511444222,8,1894,10
1894-11-03,-4.205352524262702,3,1894,11
1894-12-15,-7.6725568253379715,15,1894,12
1895-01-20,-12.101589083402487,20,1895,1
1895-02-28,-15.57797157188175,28,1895,2
1895-03-24,-6.488685857596035,24,1895,3
1895-04-17,-0.3153525242627033,17,1895,4
1895-05-30,3.253249626274931,30,1895,5
1895-06-29,6.681314142403965,29,1895,6
1895-07-09,6.51776575530719,9,1895,7
1895-08-22,7.01776575530719,22,1895,8
1895-09-10,9.227980809070631,10,1895,9
1895-10-01,-1.6822342446928111,1,1895,10
1895-11-16,-3.285352524262704,16,1895,11
1895-12-05,-9.23707295437023,5,1895,12
1896-01-17,-9.837072954370228,17,1896,1
1896-02-20,-8.099030685182242,20,1896,2
1896-03-24,-3.1177181156605513,24,1896,3
1896-04-27,-2.4886858575960353,27,1896,4
1896-05-11,2.108088335952351,11,1896,5
1896-06-02,7.424647475737297,2,1896,6
1896-07-21,8.830668981113645,21,1896,7
1896-08-21,5.211314142403966,21,1896,8
1896-09-09,3.8613141424039643,9,1896,9
1896-10-08,-2.182234244692811,8,1896,10
1896-11-13,-8.685352524262703,13,1896,11
1896-12-04,-9.275782631789584,4,1896,12
1897-01-10,-11.330621341467003,10,1897,1
1897-02-26,-6.3708287147388925,26,1897,2
1897-03-28,-3.6402987608218442,28,1897,3
1897-04-28,-1.54201919092937,28,1897,4
1897-05-30,1.9338947875652543,30,1897,5
1897-06-24,7.644647475737296,24,1897,6
1897-07-24,7.269378658532995,24,1897,7
1897-08-05,7.859701239178159,5,1897,8
1897-09-26,3.031314142403966,26,1897,9
1897-10-18,0.5338947875652558,18,1897,10
1897-11-14,-5.378685857596036,14,1897,11
1897-12-17,-7.446750373725068,17,1897,12
1898-01-31,-7.308040696305713,31,1898,1
1898-02-02,-7.331543000453179,2,1898,2
1898-03-18,-7.598363276950875,18,1898,3
1898-04-27,-0.5420191909293699,27,1898,4
1898-05-02,1.2242173682104163,2,1898,5
1898-06-06,4.5979808090706324,6,1898,6
1898-07-22,5.424217368210416,22,1898,7
1898-08-22,9.788733497242672,22,1898,8
1898-09-09,7.394647475737296,9,1898,9
1898-10-04,1.1145399488555778,4,1898,10
1898-11-11,-3.4686858575960358,11,1898,11
1898-12-03,-5.556427793079906,3,1898,12
1899-01-21,-6.3015890834024875,21,1899,1
1899-02-10,-5.185114429024608,10,1899,2
1899-03-15,-5.433847147918616,15,1899,3
1899-04-28,-2.262019190929367,28,1899,4
1899-05-18,1.5177657553071917,18,1899,5
1899-06-06,6.364647475737295,6,1899,6
1899-07-21,8.524217368210413,21,1899,7
1899-08-05,9.837120594016868,5,1899,8
1899-09-06,4.311314142403964,6,1899,9
1899-10-28,0.7467980133717038,28,1899,10
1899-11-02,-2.4786858575960355,2,1899,11
1899-12-05,-11.985460051144422,5,1899,12
1900-01-02,-8.024169728563777,2,1900,1
1900-02-25,-7.395828714738893,25,1900,2
1900-03-11,-7.201589083402487,11,1900,3
1900-04-21,-1.7720191909293685,21,1900,4
1900-05-06,1.8177657553071906,6,1900,5
1900-06-12,6.2279808090706315,12,1900,6
1900-07-20,10.172604464984607,20,1900,7
1900-08-19,6.5951851101459,19,1900,8
1900-09-16,5.604647475737293,16,1900,9
1900-10-08,0.29841091659751307,8,1900,10
1900-11-01,-4.832019190929369,1,1900,11
1900-12-05,-5.669331018886359,5,1900,12
1901-01-27,-9.288685857596036,27,1901,1
1901-02-28,-12.288685857596036,28,1901,2
1901-03-17,-7.466105212434745,17,1901,3
1901-04-22,-0.5620191909293695,22,1901,4
1901-05-29,4.233894787565253,29,1901,5
1901-06-22,6.821314142403965,22,1901,6
1901-07-13,10.65324962627493,13,1901,7
1901-08-10,7.843572206920095,10,1901,8
1901-09-21,5.051314142403966,21,1901,9
1901-10-01,0.18873349724267285,1,1901,10
1901-11-21,-5.982019190929369,21,1901,11
1901-12-31,-8.620943922112165,31,1901,12
1902-01-02,-7.340298760821842,2,1902,1
1902-02-28,-10.067257286167465,28,1902,2
1902-03-06,-3.8499761801766805,6,1902,3
1902-04-19,-0.5953525242627045,19,1902,4
1902-05-31,-0.4725568253379713,31,1902,5
1902-06-28,5.937980809070629,28,1902,6
1902-07-14,6.640346400468479,14,1902,7
1902-08-29,5.688733497242675,29,1902,8
1902-09-03,3.9913141424039633,3,1902,9
1902-10-10,-1.9532019866282937,10,1902,10
1902-11-07,-5.918685857596036,7,1902,11
1902-12-17,-9.337072954370228,17,1902,12
1903-01-05,-8.09191166404765,5,1903,1
1903-02-21,-5.0672572861674645,21,1903,2
1903-03-25,-2.272556825337972,25,1903,3
1903-04-30,-4.912019190929369,30,1903,4
1903-05-30,4.201636723049125,30,1903,5
1903-06-28,5.147980809070633,28,1903,6
1903-07-02,7.008088335952349,2,1903,7
1903-08-08,5.543572206920091,8,1903,8
1903-09-02,5.757980809070629,2,1903,9
1903-10-01,0.7629270456297679,1,1903,10
1903-11-02,-5.035352524262702,2,1903,11
1903-12-13,-10.595137470499262,13,1903,12
1904-01-13,-10.243524567273456,13,1904,1
1904-02-08,-7.716272064492587,8,1904,2
1904-03-08,-6.595137470499262,8,1904,3
1904-04-15,0.537980809070632,15,1904,4
1904-05-26,3.4984109165975124,26,1904,5
1904-06-14,5.631314142403964,14,1904,6
1904-07-15,11.22744317466203,15,1904,7
1904-08-04,8.379056077887833,4,1904,8
1904-09-06,3.7646474757372967,6,1904,9
1904-10-19,-0.27578263178958373,19,1904,10
1904-11-10,-5.965352524262703,10,1904,11
1904-12-06,-6.595137470499262,6,1904,12
1905-01-06,-9.775782631789584,6,1905,1
1905-02-05,-7.15297157188175,5,1905,2
1905-03-22,-3.604814889854099,22,1905,3
1905-04-14,-2.1620191909293673,14,1905,4
1905-05-29,2.9371205940168696,29,1905,5
1905-06-30,8.344647475737295,30,1905,6
1905-07-27,9.162927045629774,27,1905,7
1905-08-15,6.608088335952347,15,1905,8
