DATE,DAY,TMIN,year,month
1892-01-11,11,-16.514288167776073,1892,1
1892-02-17,17,-16.41428816777607,1892,2
1892-03-07,7,-14.914288167776071,1892,3
1892-04-15,15,-8.514288167776073,1892,4
1892-05-07,7,-7.214288167776072,1892,5
1892-06-16,16,-2.8142881677760716,1892,6
1892-07-19,19,1.1857118322239284,1892,7
1892-08-05,5,1.5857118322239279,1892,8
1892-09-18,18,-0.714288167776072,1892,9
1892-10-19,19,-6.714288167776072,1892,10
1892-11-23,23,-8.314288167776072,1892,11
1892-12-29,29,-15.514288167776073,1892,12
1893-01-16,16,-21.41428816777607,1893,1
1893-02-05,5,-11.514288167776073,1893,2
1893-03-20,20,-7.314288167776072,1893,3
1893-04-12,12,-6.814288167776072,1893,4
1893-05-07,7,-4.814288167776072,1893,5
1893-06-01,1,-2.514288167776072,1893,6
1893-07-31,31,3.3857118322239286,1893,7
1893-08-28,28,0.6857118322239284,1893,8
1893-09-24,24,-2.014288167776072,1893,9
1893-10-31,31,-5.814288167776072,1893,10
1893-11-12,12,-9.514288167776073,1893,11
1893-12-30,30,-12.814288167776072,1893,12
1894-01-04,4,-19.814288167776073,1894,1
1894-02-19,19,-14.014288167776073,1894,2
1894-03-19,19,-7.314288167776072,1894,3
1894-04-30,30,-3.714288167776072,1894,4
1894-05-05,5,-4.514288167776072,1894,5
1894-06-15,15,0.5857118322239279,1894,6
1894-07-15,15,2.8857118322239286,1894,7
1894-08-21,21,2.6857118322239275,1894,8
1894-09-11,11,-1.5142881677760718,1894,9
1894-10-17,17,-6.214288167776072,1894,10
1894-11-27,27,-7.914288167776071,1894,11
1894-12-12,12,-7.914288167776071,1894,12
1895-01-27,27,-21.314288167776073,1895,1
1895-02-07,7,-24.114288167776074,1895,2
1895-03-06,6,-14.314288167776073,1895,3
1895-04-05,5,-7.414288167776071,1895,4
1895-05-03,3,-4.414288167776071,1895,5
1895-06-16,16,-2.3142881677760716,1895,6
1895-07-06,6,-0.21428816777607196,1895,7
1895-08-26,26,2.1857118322239275,1895,8
1895-09-21,21,-0.3142881677760716,1895,9
1895-10-24,24,-8.314288167776072,1895,10
1895-11-26,26,-9.814288167776072,1895,11
1895-12-28,28,-17.41428816777607,1895,12
1896-01-10,10,-12.014288167776073,1896,1
1896-02-26,26,-13.714288167776072,1896,2
1896-03-13,13,-7.214288167776072,1896,3
1896-04-03,3,-6.914288167776072,1896,4
1896-05-01,1,-5.214288167776072,1896,5
1896-06-28,28,1.3857118322239286,1896,6
1896-07-02,2,1.0857118322239279,1896,7
1896-08-28,28,0.08571183222392786,1896,8
1896-09-29,29,-1.0142881677760718,1896,9
1896-10-24,24,-4.814288167776072,1896,10
1896-11-30,30,-13.11428816777607,1896,11
1896-12-22,22,-11.714288167776072,1896,12
1897-01-21,21,-12.514288167776073,1897,1
1897-02-17,17,-9.014288167776073,1897,2
1897-03-07,7,-5.714288167776072,1897,3
1897-04-06,6,-7.014288167776072,1897,4
1897-05-14,14,-6.114288167776071,1897,5
1897-06-19,19,0.1857118322239284,1897,6
