date,y,mu,alpha_mu,beta_mu,gamma_mu,sigma,eta,alpha_sig,beta_sig,gamma_sig
2000-01-01T00:00:00,5.532917754257455,6.503025403784438,5.512,0.012,0.9910254037844387,1.0969818274483387,0.09256261547524143,-0.10564246528164632,-0.10564246528164632,0.19820508075688775
2000-02-01T00:00:00,9.722468796686531,5.899,5.524,0.012,0.37500000000000017,0.7145172020570116,-0.3361482062449097,-0.4111482062449097,-0.20557410312245486,0.07500000000000004
2000-03-01T00:00:00,5.080588541454822,5.286,5.536,0.012,-0.24999999999999994,0.40175937702076514,-0.9119019341994001,-0.8619019341994001,-0.2873006447331334,-0.04999999999999999
2000-04-01T00:00:00,5.119924816908042,4.923,5.548,0.012,-0.6249999999999999,0.14714957228755016,-1.9163057109494201,-1.7913057109494201,-0.44782642773735504,-0.12499999999999999
2000-05-01T00:00:00,4.783580228998077,4.818974596215561,5.56,0.012,-0.7410254037844387,0.06614150947640385,-2.715958749245558,-2.5677536684886704,-0.5135507336977341,-0.14820508075688774
2000-06-01T00:00:00,4.849711025020502,4.822,5.572,0.012,-0.75,0.030696594983738827,-3.483603543122038,-3.333603543122038,-0.5556005905203397,-0.15000000000000002
2000-07-01T00:00:00,4.832327568000929,4.842974596215561,5.584,0.012,-0.7410254037844387,0.02415859052945985,-3.7231152466297326,-3.574910165872845,-0.5107014522675493,-0.14820508075688774
2000-08-01T00:00:00,4.969735912624862,4.971,5.596,0.012,-0.6250000000000002,0.010383948821233484,-4.567494047650279,-4.442494047650279,-0.5553117559562849,-0.12500000000000006
2000-09-01T00:00:00,5.371928992628628,5.358,5.608,0.012,-0.25000000000000017,0.0036472123595034595,-5.613792140305852,-5.563792140305853,-0.6181991267006502,-0.05000000000000004
2000-10-01T00:00:00,5.99794674110583,5.995,5.62,0.012,0.37500000000000017,0.0032136715402240664,-5.740341213459227,-5.815341213459227,-0.5815341213459227,0.07500000000000004
2000-11-01T00:00:00,6.624176552675806,6.623025403784438,5.632,0.012,0.9910254037844386,0.0016031773090694832,-6.4357678006984145,-6.6339728814553025,-0.6030884437686639,0.19820508075688767
2000-12-01T00:00:00,6.8936473537799365,6.894,5.644,0.012,1.25,0.0004537579203286422,-7.69794671726782,-7.94794671726782,-0.6623288931056517,0.25
2001-01-01T00:00:00,6.646877723110258,6.647025403784438,5.656,0.012,0.9910254037844387,0.00017841305080799669,-8.631409185740699,-8.829614266497586,-0.6792010974228913,0.19820508075688775
2001-02-01T00:00:00,6.043006048211216,6.043,5.668,0.012,0.37500000000000017,6.2894623003159066e-06,-11.9766349757524,-12.0516349757524,-0.8608310696966,0.07500000000000004
2001-03-01T00:00:00,5.430000148618924,5.43,5.68,0.012,-0.24999999999999994,3.458089738765483e-07,-14.877379312973943,-14.827379312973942,-0.9884919541982629,-0.04999999999999999
2001-04-01T00:00:00,5.067000449284368,5.067,5.692,0.012,-0.6249999999999999,1.0817325201106903e-07,-16.03953170986531,-15.914531709865312,-0.994658231866582,-0.12499999999999999
2001-05-01T00:00:00,4.962974591976502,4.962974596215561,5.704,0.012,-0.7410254037844387,7.54486344321051e-09,-18.70239884386845,-18.554193763111563,-1.0914231625359743,-0.14820508075688774
