date,y,mu,alpha_mu,beta_mu,gamma_mu,sigma,eta,alpha_sig,beta_sig,gamma_sig
2000-01-01T00:00:00,5.503403251857635,5.512,5.512,0.012,0.0,0.06506240614704818,-2.7324083751125325,0.004,0.004,-2.7364083751125325
2000-02-01T00:00:00,5.3912396069356685,5.524,5.524,0.012,0.0,0.6476639101051594,-0.43438337442418096,0.008,0.004,-0.44238337442418096
2000-03-01T00:00:00,6.828331679549347,5.536,5.536,0.012,0.0,0.8405707061103512,-0.17367420580451698,0.012,0.004,-0.185674205804517
2000-04-01T00:00:00,3.7614206639487553,5.548,5.548,0.012,0.0,1.6789132630057282,0.5181467168477791,0.016,0.004,0.5021467168477791
2000-05-01T00:00:00,5.015241964076395,5.56,5.56,0.012,0.0,2.0889494311276042,0.7366612750663046,0.02,0.004,0.7166612750663046
2000-06-01T00:00:00,0.35232914322354336,5.572,5.572,0.012,0.0,4.942196842394919,1.5978099372861383,0.024,0.004,1.5738099372861383
2000-07-01T00:00:00,5.634949420858366,5.584,5.584,0.012,0.0,2.0476801774122118,0.7167075316095488,0.028,0.004,0.6887075316095488
2000-08-01T00:00:00,5.153015052576031,5.596,5.596,0.012,0.0,0.6189214850983099,-0.4797768558639157,0.032,0.004,-0.5117768558639157
2000-09-01T00:00:00,6.01338294302,5.608,5.608,0.012,0.0,0.5997734469863992,-0.5112032834264251,0.036000000000000004,0.004,-0.5472032834264251
2000-10-01T00:00:00,15.157134341245285,5.62,5.62,0.012,0.0,4.935790968337766,1.5965129373145057,0.04,0.004,1.5565129373145057
2000-11-01T00:00:00,5.4227937131813215,5.632,5.632,0.012,0.0,0.5863913874817648,-0.5337678156223186,0.044,0.004,-0.5777678156223186
2000-12-01T00:00:00,6.61632168346609,5.644,5.644,0.012,0.0,1.6532049497905936,0.5027157977173708,0.048,0.004,0.4547157977173708
2001-01-01T00:00:00,5.811012553340527,5.656,5.656,0.012,0.0,0.05614835152470878,-2.879757956648798,0.052000000000000005,0.004,-2.931757956648798
2001-02-01T00:00:00,6.39128690640369,5.668,5.668,0.012,0.0,0.5561531498415971,-0.5867115733053729,0.056,0.004,-0.642711573305373
2001-03-01T00:00:00,6.021970667595752,5.68,5.68,0.012,0.0,1.125531263806615,0.11825515868353464,0.06,0.004,0.05825515868353465
2001-04-01T00:00:00,5.9542855659992915,5.692,5.692,0.012,0.0,2.0939473841125045,0.7390509851567759,0.064,0.004,0.675050985156776
2001-05-01T00:00:00,7.524726176076604,5.704,5.704,0.012,0.0,1.8335811432821947,0.6062709634988162,0.068,0.004,0.5382709634988161
2001-06-01T00:00:00,13.937300799035732,5.716,5.716,0.012,0.0,4.364031339361946,1.4733962492837065,0.07200000000000001,0.004,1.4013962492837064
2001-07-01T00:00:00,6.022369138206855,5.728,5.728,0.012,0.0,2.7811868668055237,1.022877767099232,0.076,0.004,0.9468777670992319
2001-08-01T00:00:00,5.838362690938099,5.74,5.74,0.012,0.0,0.2533383213313679,-1.373029445097779,0.08,0.004,-1.453029445097779
2001-09-01T00:00:00,5.72633078728522,5.752,5.752,0.012,0.0,1.2380692072844823,0.21355307519142258,0.084,0.004,0.1295530751914226
2001-10-01T00:00:00,4.334143695661064,5.764,5.764,0.012,0.0,2.9135143850674323,1.0693600449725107,0.088,0.004,0.9813600449725107
2001-11-01T00:00:00,6.403785965411317,5.776,5.776,0.012,0.0,1.2627866028875634,0.23332086859217901,0.092,0.004,0.14132086859217902
2001-12-01T00:00:00,7.5930809520304585,5.788,5.788,0.012,0.0,1.591432912634192,0.4646348133071905,0.096,0.004,0.3686348133071905
2002-01-01T00:00:00,5.793380414037249,5.8,5.8,0.012,0.0,0.044637601525730125,-3.109178691614868,0.1,0.004,-3.209178691614868
2002-02-01T00:00:00,7.272969176809452,5.812,5.812,0.012,0.0,0.47155469376697684,-0.751720184130264,0.10400000000000001,0.004,-0.855720184130264
2002-03-01T00:00:00,7.846553027605607,5.824,5.824,0.012,0.0,1.5930235681527962,0.4656338256413168,0.108,0.004,0.3576338256413168
2002-04-01T00:00:00,18.286956248328682,5.836,5.836,0.012,0.0,1.752999128944253,0.5613281090446517,0.112,0.004,0.4493281090446517
2002-05-01T00:00:00,5.69408945861923,5.848,5.848,0.012,0.0,1.0461066594181903,0.04507532929530346,0.116,0.004,-0.07092467070469655
2002-06-01T00:00:00,-2.9540587414627515,5.86,5.86,0.012,0.0,11.246225969185357,2.4200326029622343,0.12,0.004,2.300032602962234
2002-07-01T00:00:00,2.960509096214139,5.872,5.872,0.012,0.0,2.29906750288438,0.8325036071961792,0.124,0.004,0.7085036071961792
2002-08-01T00:00:00,6.2180651413021115,5.884,5.884,0.012,0.0,0.1713704392101555,-1.7639277543777538,0.128,0.004,-1.8919277543777537
2002-09-01T00:00:00,6.26494127730082,5.896,5.896,0.012,0.0,1.3926590857027499,0.331214930963715,0.132,0.004,0.199214930963715
2002-10-01T00:00:00,4.070676238340507,5.908,5.908,0.012,0.0,2.8699123491118517,1.054281488926017,0.136,0.004,0.918281488926017
2002-11-01T00:00:00,6.974662125918429,5.92,5.92,0.012,0.0,1.6248573548034824,0.48542003026927,0.14,0.004,0.34542003026927
2002-12-01T00:00:00,5.650959240280359,5.932,5.932,0.012,0.0,1.9502066482054616,0.6679353403995655,0.14400000000000002,0.004,0.5239353403995655
2003-01-01T00:00:00,5.989626176876152,5.944,5.944,0.012,0.0,0.10685019845101182,-2.23632743993268,0.148,0.004,-2.38432743993268
2003-02-01T00:00:00,7.134106571998403,5.956,5.956,0.012,0.0,0.3095283470700429,-1.172705601164531,0.152,0.004,-1.3247056011645308
2003-03-01T00:00:00,20.50383175101664,5.968,5.968,0.012,0.0,2.794102503270523,1.0275109470875632,0.156,0.004,0.8715109470875632
2003-04-01T00:00:00,6.967446067870523,5.98,5.98,0.012,0.0,1.3079078041501933,0.2684287644270379,0.16,0.004,0.10842876442703792
2003-05-01T00:00:00,5.359041527982641,5.992,5.992,0.012,0.0,0.5588472495544965,-0.5818790997793468,0.164,0.004,-0.7458790997793469
2003-06-01T00:00:00,7.035108834460232,6.004,6.004,0.012,0.0,13.978278424022777,2.6375045835876234,0.168,0.004,2.4695045835876233
2003-07-01T00:00:00,8.149942647685235,6.016,6.016,0.012,0.0,4.1245224028957646,1.4169502319673153,0.17200000000000001,0.004,1.2449502319673154
2003-08-01T00:00:00,5.94429856641893,6.0280000000000005,6.0280000000000005,0.012,0.0,0.11293381753479875,-2.1809533173833207,0.176,0.004,-2.356953317383321
2003-09-01T00:00:00,6.615921112275758,6.04,6.04,0.012,0.0,1.514347135144138,0.41498441218437737,0.18,0.004,0.23498441218437738
2003-10-01T00:00:00,10.969493991129074,6.052,6.052,0.012,0.0,2.783198499431534,1.0236008057032273,0.184,0.004,0.8396008057032274
2003-11-01T00:00:00,6.978377422531115,6.064,6.064,0.012,0.0,0.7645747449911777,-0.2684354886195401,0.188,0.004,-0.4564354886195401
2003-12-01T00:00:00,8.90043406998176,6.0760000000000005,6.0760000000000005,0.012,0.0,3.1866562251915806,1.1589721617763113,0.192,0.004,0.9669721617763114
2004-01-01T00:00:00,6.405463580290484,6.088,6.088,0.012,0.0,0.20453042281584063,-1.5870385477383409,0.196,0.004,-1.7830385477383408
2004-02-01T00:00:00,6.156173606737377,6.1,6.1,0.012,0.0,0.33028922557812257,-1.1077865672260612,0.2,0.004,-1.3077865672260611
2004-03-01T00:00:00,7.141960347244165,6.112,6.112,0.012,0.0,2.4949189796431837,0.9142562555873155,0.20400000000000001,0.004,0.7102562555873155
2004-04-01T00:00:00,14.210157366478338,6.124,6.124,0.012,0.0,2.2732221820785106,0.8211982884780826,0.20800000000000002,0.004,0.6131982884780826
2004-05-01T00:00:00,6.735571847475947,6.136,6.136,0.012,0.0,0.4969665109554583,-0.6992326375391869,0.212,0.004,-0.9112326375391868
2004-06-01T00:00:00,-5.741740161790906,6.148,6.148,0.012,0.0,7.829019014129524,2.0578372166020364,0.216,0.004,1.8418372166020363
2004-07-01T00:00:00,3.7305110356494824,6.16,6.16,0.012,0.0,5.145061692518215,1.6380373599854003,0.22,0.004,1.4180373599854004
2004-08-01T00:00:00,6.142585957946162,6.172,6.172,0.012,0.0,0.16798914343834656,-1.7838559240577891,0.224,0.004,-2.007855924057789
2004-09-01T00:00:00,9.505137202134225,6.184,6.184,0.012,0.0,1.6593954939643247,0.5064533757835467,0.228,0.004,0.2784533757835467
