date,y,mu,alpha_mu,beta_mu,gamma_mu,sigma,eta,alpha_sig,beta_sig,gamma_sig
2000-01-01T00:00:00,5.463630002644926,5.512,5.512,0.012,0.0,1.004008010677342,0.004,0.004,0.004,0.0
2000-02-01T00:00:00,6.623180373797836,5.524,5.524,0.012,0.0,1.0080320855042735,0.008,0.008,0.004,0.0
2000-03-01T00:00:00,4.661996271235021,5.536,5.536,0.012,0.0,1.0120722888660778,0.012,0.012,0.004,0.0
2000-04-01T00:00:00,5.540031502094468,5.548,5.548,0.012,0.0,1.016128685406095,0.016,0.016,0.004,0.0
2000-05-01T00:00:00,7.648608261863526,5.56,5.56,0.012,0.0,1.0202013400267558,0.02,0.02,0.004,0.0
2000-06-01T00:00:00,5.025949815838747,5.572,5.572,0.012,0.0,1.0242903178906215,0.024,0.024,0.004,0.0
2000-07-01T00:00:00,7.187309010955155,5.584,5.584,0.012,0.0,1.028395684421425,0.028,0.028,0.004,0.0
2000-08-01T00:00:00,4.954325810688846,5.596,5.596,0.012,0.0,1.0325175053051183,0.032,0.032,0.004,0.0
2000-09-01T00:00:00,7.349156612303858,5.608,5.608,0.012,0.0,1.0366558464909237,0.036000000000000004,0.036000000000000004,0.004,0.0
2000-10-01T00:00:00,6.4835525712798425,5.62,5.62,0.012,0.0,1.0408107741923882,0.04,0.04,0.004,0.0
2000-11-01T00:00:00,7.874726766976991,5.632,5.632,0.012,0.0,1.0449823548884438,0.044,0.044,0.004,0.0
2000-12-01T00:00:00,5.568464671234166,5.644,5.644,0.012,0.0,1.0491706553244706,0.048,0.048,0.004,0.0
2001-01-01T00:00:00,6.943539517592909,5.656,5.656,0.012,0.0,1.0533757425133647,0.052000000000000005,0.052000000000000005,0.004,0.0
2001-02-01T00:00:00,4.322075231494437,5.668,5.668,0.012,0.0,1.0575976837366112,0.056,0.056,0.004,0.0
2001-03-01T00:00:00,4.9646422228055345,5.68,5.68,0.012,0.0,1.0618365465453596,0.06,0.06,0.004,0.0
2001-04-01T00:00:00,8.221688448798194,5.692,5.692,0.012,0.0,1.0660923987615052,0.064,0.064,0.004,0.0
2001-05-01T00:00:00,6.39183228427551,5.704,5.704,0.012,0.0,1.0703653084787743,0.068,0.068,0.004,0.0
2001-06-01T00:00:00,5.8054276664802815,5.716,5.716,0.012,0.0,1.0746553440638136,0.07200000000000001,0.07200000000000001,0.004,0.0
2001-07-01T00:00:00,6.812749962068076,5.728,5.728,0.012,0.0,1.078962574157284,0.076,0.076,0.004,0.0
2001-08-01T00:00:00,7.822399668904408,5.74,5.74,0.012,0.0,1.0832870676749586,0.08,0.08,0.004,0.0
2001-09-01T00:00:00,5.079512407773,5.752,5.752,0.012,0.0,1.087628893808826,0.084,0.084,0.004,0.0
2001-10-01T00:00:00,10.197295662692603,5.764,5.764,0.012,0.0,1.0919881220281975,0.088,0.088,0.004,0.0
2001-11-01T00:00:00,6.552274464305342,5.776,5.776,0.012,0.0,1.0963648220808169,0.092,0.092,0.004,0.0
2001-12-01T00:00:00,5.787161024675105,5.788,5.788,0.012,0.0,1.1007590639939788,0.096,0.096,0.004,0.0
2002-01-01T00:00:00,5.78498477187307,5.8,5.8,0.012,0.0,1.1051709180756477,0.1,0.1,0.004,0.0
2002-02-01T00:00:00,5.114573164501389,5.812,5.812,0.012,0.0,1.1096004549155825,0.10400000000000001,0.10400000000000001,0.004,0.0
2002-03-01T00:00:00,6.719737416499969,5.824,5.824,0.012,0.0,1.1140477453864677,0.108,0.108,0.004,0.0
2002-04-01T00:00:00,6.313827066522043,5.836,5.836,0.012,0.0,1.1185128606450452,0.112,0.112,0.004,0.0
2002-05-01T00:00:00,6.466601825698487,5.848,5.848,0.012,0.0,1.1229958721332547,0.116,0.116,0.004,0.0
2002-06-01T00:00:00,5.323201382766382,5.86,5.86,0.012,0.0,1.1274968515793757,0.12,0.12,0.004,0.0
2002-07-01T00:00:00,7.0601305885011865,5.872,5.872,0.012,0.0,1.1320158709991752,0.124,0.124,0.004,0.0
2002-08-01T00:00:00,5.2379544765225035,5.884,5.884,0.012,0.0,1.1365530026970603,0.128,0.128,0.004,0.0
2002-09-01T00:00:00,8.802150298752023,5.896,5.896,0.012,0.0,1.141108319267235,0.132,0.132,0.004,0.0
2002-10-01T00:00:00,5.875967414239703,5.908,5.908,0.012,0.0,1.1456818935948618,0.136,0.136,0.004,0.0
2002-11-01T00:00:00,11.643268085381962,5.92,5.92,0.012,0.0,1.1502737988572274,0.14,0.14,0.004,0.0
2002-12-01T00:00:00,4.939643874192797,5.932,5.932,0.012,0.0,1.1548841085249137,0.14400000000000002,0.14400000000000002,0.004,0.0
2003-01-01T00:00:00,12.261193494709566,5.944,5.944,0.012,0.0,1.159512896362974,0.148,0.148,0.004,0.0
2003-02-01T00:00:00,7.538987189612855,5.956,5.956,0.012,0.0,1.1641602364321124,0.152,0.152,0.004,0.0
2003-03-01T00:00:00,7.060302683376447,5.968,5.968,0.012,0.0,1.168826203089869,0.156,0.156,0.004,0.0
2003-04-01T00:00:00,7.120894308075019,5.98,5.98,0.012,0.0,1.1735108709918103,0.16,0.16,0.004,0.0
2003-05-01T00:00:00,5.8928621317897765,5.992,5.992,0.012,0.0,1.1782143150927222,0.164,0.164,0.004,0.0
2003-06-01T00:00:00,6.429012045634121,6.004,6.004,0.012,0.0,1.1829366106478107,0.168,0.168,0.004,0.0
2003-07-01T00:00:00,14.406762465511717,6.016,6.016,0.012,0.0,1.187677833213906,0.17200000000000001,0.17200000000000001,0.004,0.0
2003-08-01T00:00:00,6.093588087182514,6.0280000000000005,6.0280000000000005,0.012,0.0,1.1924380586506695,0.176,0.176,0.004,0.0
2003-09-01T00:00:00,7.914201144155005,6.04,6.04,0.012,0.0,1.1972173631218102,0.18,0.18,0.004,0.0
2003-10-01T00:00:00,5.548820756453955,6.052,6.052,0.012,0.0,1.2020158230963014,0.184,0.184,0.004,0.0
2003-11-01T00:00:00,5.5414867992351,6.064,6.064,0.012,0.0,1.2068335153496053,0.188,0.188,0.004,0.0
2003-12-01T00:00:00,7.92855328528306,6.0760000000000005,6.0760000000000005,0.012,0.0,1.2116705169649005,0.192,0.192,0.004,0.0
2004-01-01T00:00:00,4.773709813880311,6.088,6.088,0.012,0.0,1.2165269053343162,0.196,0.196,0.004,0.0
2004-02-01T00:00:00,6.236923403755768,6.1,6.1,0.012,0.0,1.2214027581601699,0.2,0.2,0.004,0.0
2004-03-01T00:00:00,6.126895217585397,6.112,6.112,0.012,0.0,1.2262981534562105,0.20400000000000001,0.20400000000000001,0.004,0.0
2004-04-01T00:00:00,5.675856314351338,6.124,6.124,0.012,0.0,1.2312131695488677,0.20800000000000002,0.20800000000000002,0.004,0.0
2004-05-01T00:00:00,10.66376286097772,6.136,6.136,0.012,0.0,1.2361478850785035,0.212,0.212,0.004,0.0
2004-06-01T00:00:00,5.18372588711453,6.148,6.148,0.012,0.0,1.2411023790006717,0.216,0.216,0.004,0.0
2004-07-01T00:00:00,6.087915540385829,6.16,6.16,0.012,0.0,1.2460767305873808,0.22,0.22,0.004,0.0
2004-08-01T00:00:00,5.626834178060728,6.172,6.172,0.012,0.0,1.2510710194283623,0.224,0.224,0.004,0.0
2004-09-01T00:00:00,9.074293912030988,6.184,6.184,0.012,0.0,1.256085325432344,0.228,0.228,0.004,0.0
2004-10-01T00:00:00,5.44625307641677,6.196,6.196,0.012,0.0,1.2611197288283293,0.232,0.232,0.004,0.0
2004-11-01T00:00:00,8.00530858489734,6.208,6.208,0.012,0.0,1.2661743101668799,0.23600000000000002,0.23600000000000002,0.004,0.0
2004-12-01T00:00:00,5.176544909974391,6.22,6.22,0.012,0.0,1.2712491503214047,0.24,0.24,0.004,0.0
2005-01-01T00:00:00,5.966828629837581,6.232,6.232,0.012,0.0,1.2763443304894546,0.244,0.244,0.004,0.0
2005-02-01T00:00:00,5.66811708653358,6.244,6.244,0.012,0.0,1.2814599321940212,0.248,0.248,0.004,0.0
2005-03-01T00:00:00,7.996402454185274,6.256,6.256,0.012,0.0,1.2865960372848406,0.252,0.252,0.004,0.0
2005-04-01T00:00:00,5.567254746239666,6.268,6.268,0.012,0.0,1.291752727939704,0.256,0.256,0.004,0.0
2005-05-01T00:00:00,5.603898674846788,6.28,6.28,0.012,0.0,1.2969300866657718,0.26,0.26,0.004,0.0
2005-06-01T00:00:00,6.220931698569764,6.292,6.292,0.012,0.0,1.3021281963008942,0.264,0.264,0.004,0.0
2005-07-01T00:00:00,5.600166717146585,6.304,6.304,0.012,0.0,1.3073471400149361,0.268,0.268,0.004,0.0
2005-08-01T00:00:00,6.426320863084751,6.316,6.316,0.012,0.0,1.3125870013111083,0.272,0.272,0.004,0.0
2005-09-01T00:00:00,10.159700733980264,6.328,6.328,0.012,0.0,1.3178478640273033,0.276,0.276,0.004,0.0
2005-10-01T00:00:00,5.055328460879572,6.34,6.34,0.012,0.0,1.3231298123374369,0.28,0.28,0.004,0.0
2005-11-01T00:00:00,6.7430090690422535,6.352,6.352,0.012,0.0,1.3284329307527947,0.28400000000000003,0.28400000000000003,0.004,0.0
2005-12-01T00:00:00,10.924176099145683,6.364,6.364,0.012,0.0,1.3337573041233846,0.28800000000000003,0.28800000000000003,0.004,0.0
2006-01-01T00:00:00,7.250792879817494,6.376,6.376,0.012,0.0,1.3391030176392937,0.292,0.292,0.004,0.0
2006-02-01T00:00:00,8.732109782903638,6.388,6.388,0.012,0.0,1.3444701568320527,0.296,0.296,0.004,0.0
2006-03-01T00:00:00,13.11037884049023,6.4,6.4,0.012,0.0,1.3498588075760032,0.3,0.3,0.004,0.0
2006-04-01T00:00:00,6.09503929725342,6.412,6.412,0.012,0.0,1.3552690560896716,0.304,0.304,0.004,0.0
2006-05-01T00:00:00,7.542180520602277,6.424,6.424,0.012,0.0,1.3607009889371502,0.308,0.308,0.004,0.0
2006-06-01T00:00:00,7.716113136587387,6.436,6.436,0.012,0.0,1.36615469302948,0.312,0.312,0.004,0.0
2006-07-01T00:00:00,6.068039427424387,6.448,6.448,0.012,0.0,1.3716302556260427,0.316,0.316,0.004,0.0
2006-08-01T00:00:00,13.998872966073652,6.46,6.46,0.012,0.0,1.3771277643359572,0.32,0.32,0.004,0.0
2006-09-01T00:00:00,16.35131450165799,6.4719999999999995,6.4719999999999995,0.012,0.0,1.3826473071194796,0.324,0.324,0.004,0.0
2006-10-01T00:00:00,7.534230329372242,6.484,6.484,0.012,0.0,1.3881889722894125,0.328,0.328,0.004,0.0
2006-11-01T00:00:00,6.465884475688299,6.496,6.496,0.012,0.0,1.3937528485125166,0.332,0.332,0.004,0.0
