date,y,mu,alpha_mu,beta_mu,gamma_mu,sigma,eta,alpha_sig,beta_sig,gamma_sig
2000-01-01T00:00:00,5.282868385212604,5.512,5.512,0.012,0.0,1.2192124051873692,0.19820508075688775,0.0,0.0,0.19820508075688775
2000-02-01T00:00:00,8.66603881692176,5.524,5.524,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2000-03-01T00:00:00,5.36564984200721,5.536,5.536,0.012,0.0,0.951229424500714,-0.04999999999999999,0.0,0.0,-0.04999999999999999
2000-04-01T00:00:00,5.66065277121742,5.548,5.548,0.012,0.0,0.8824969025845955,-0.12499999999999999,0.0,0.0,-0.12499999999999999
2000-05-01T00:00:00,6.85287228966189,5.56,5.56,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2000-06-01T00:00:00,4.791292252488251,5.572,5.572,0.012,0.0,0.8607079764250578,-0.15000000000000002,0.0,0.0,-0.15000000000000002
2000-07-01T00:00:00,6.133785487504957,5.584,5.584,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2000-08-01T00:00:00,5.843879710737066,5.596,5.596,0.012,0.0,0.8824969025845953,-0.12500000000000006,0.0,0.0,-0.12500000000000006
2000-09-01T00:00:00,5.878754912047713,5.608,5.608,0.012,0.0,0.951229424500714,-0.05000000000000004,0.0,0.0,-0.05000000000000004
2000-10-01T00:00:00,7.654359096035796,5.62,5.62,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2000-11-01T00:00:00,5.133815130722678,5.632,5.632,0.012,0.0,1.2192124051873692,0.19820508075688767,0.0,0.0,0.19820508075688767
2000-12-01T00:00:00,6.84148630968024,5.644,5.644,0.012,0.0,1.2840254166877414,0.25,0.0,0.0,0.25
2001-01-01T00:00:00,6.928133856135739,5.656,5.656,0.012,0.0,1.2192124051873692,0.19820508075688775,0.0,0.0,0.19820508075688775
2001-02-01T00:00:00,4.8719965731918355,5.668,5.668,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2001-03-01T00:00:00,6.784112394891025,5.68,5.68,0.012,0.0,0.951229424500714,-0.04999999999999999,0.0,0.0,-0.04999999999999999
2001-04-01T00:00:00,5.50221975225951,5.692,5.692,0.012,0.0,0.8824969025845955,-0.12499999999999999,0.0,0.0,-0.12499999999999999
2001-05-01T00:00:00,5.0813592514319845,5.704,5.704,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2001-06-01T00:00:00,5.174918455415115,5.716,5.716,0.012,0.0,0.8607079764250578,-0.15000000000000002,0.0,0.0,-0.15000000000000002
2001-07-01T00:00:00,5.350204352458849,5.728,5.728,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2001-08-01T00:00:00,5.882032891450955,5.74,5.74,0.012,0.0,0.8824969025845953,-0.12500000000000006,0.0,0.0,-0.12500000000000006
2001-09-01T00:00:00,4.8842619223311585,5.752,5.752,0.012,0.0,0.951229424500714,-0.05000000000000004,0.0,0.0,-0.05000000000000004
2001-10-01T00:00:00,5.794948146642499,5.764,5.764,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2001-11-01T00:00:00,4.873146662663534,5.776,5.776,0.012,0.0,1.2192124051873692,0.19820508075688767,0.0,0.0,0.19820508075688767
2001-12-01T00:00:00,6.630383562419172,5.788,5.788,0.012,0.0,1.2840254166877414,0.25,0.0,0.0,0.25
2002-01-01T00:00:00,7.537178178274658,5.8,5.8,0.012,0.0,1.2192124051873692,0.19820508075688775,0.0,0.0,0.19820508075688775
2002-02-01T00:00:00,6.141983320912942,5.812,5.812,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2002-03-01T00:00:00,5.4873706808388425,5.824,5.824,0.012,0.0,0.951229424500714,-0.04999999999999999,0.0,0.0,-0.04999999999999999
2002-04-01T00:00:00,5.9732030524633375,5.836,5.836,0.012,0.0,0.8824969025845955,-0.12499999999999999,0.0,0.0,-0.12499999999999999
2002-05-01T00:00:00,5.8205169282956835,5.848,5.848,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2002-06-01T00:00:00,10.234300484814343,5.86,5.86,0.012,0.0,0.8607079764250578,-0.15000000000000002,0.0,0.0,-0.15000000000000002
2002-07-01T00:00:00,4.880811136713262,5.872,5.872,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2002-08-01T00:00:00,8.882023708525365,5.884,5.884,0.012,0.0,0.8824969025845953,-0.12500000000000006,0.0,0.0,-0.12500000000000006
2002-09-01T00:00:00,6.436113724123259,5.896,5.896,0.012,0.0,0.951229424500714,-0.05000000000000004,0.0,0.0,-0.05000000000000004
2002-10-01T00:00:00,6.9826981151212975,5.908,5.908,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2002-11-01T00:00:00,7.515669363574567,5.92,5.92,0.012,0.0,1.2192124051873692,0.19820508075688767,0.0,0.0,0.19820508075688767
2002-12-01T00:00:00,5.585814140955478,5.932,5.932,0.012,0.0,1.2840254166877414,0.25,0.0,0.0,0.25
2003-01-01T00:00:00,5.30138345598581,5.944,5.944,0.012,0.0,1.2192124051873692,0.19820508075688775,0.0,0.0,0.19820508075688775
2003-02-01T00:00:00,6.4336609542977135,5.956,5.956,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2003-03-01T00:00:00,6.394696734940078,5.968,5.968,0.012,0.0,0.951229424500714,-0.04999999999999999,0.0,0.0,-0.04999999999999999
2003-04-01T00:00:00,5.31027987550128,5.98,5.98,0.012,0.0,0.8824969025845955,-0.12499999999999999,0.0,0.0,-0.12499999999999999
2003-05-01T00:00:00,5.5212809476239455,5.992,5.992,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2003-06-01T00:00:00,5.729047918649406,6.004,6.004,0.012,0.0,0.8607079764250578,-0.15000000000000002,0.0,0.0,-0.15000000000000002
2003-07-01T00:00:00,5.940693916214408,6.016,6.016,0.012,0.0,0.8622542650511041,-0.14820508075688774,0.0,0.0,-0.14820508075688774
2003-08-01T00:00:00,6.9042820821210364,6.0280000000000005,6.0280000000000005,0.012,0.0,0.8824969025845953,-0.12500000000000006,0.0,0.0,-0.12500000000000006
2003-09-01T00:00:00,5.386895690329969,6.04,6.04,0.012,0.0,0.951229424500714,-0.05000000000000004,0.0,0.0,-0.05000000000000004
2003-10-01T00:00:00,8.248411868017875,6.052,6.052,0.012,0.0,1.0778841508846315,0.07500000000000004,0.0,0.0,0.07500000000000004
2003-11-01T00:00:00,4.6990364159822295,6.064,6.064,0.012,0.0,1.2192124051873692,0.19820508075688767,0.0,0.0,0.19820508075688767
2003-12-01T00:00:00,13.434394040622635,6.0760000000000005,6.0760000000000005,0.012,0.0,1.2840254166877414,0.25,0.0,0.0,0.25
2004-01-01T00:00:00,5.892653121178185,6.088,6.088,0.012,0.0,1.2192124051873692,0.19820508075688775,0.0,0.0,0.19820508075688775
