date,y,mu,alpha_mu,beta_mu,gamma_mu,sigma,eta,alpha_sig,beta_sig,gamma_sig
2000-01-01T00:00:00,4.685381949537107,5.175914017031818,5.175914017031818,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-02-01T00:00:00,4.842202507688139,5.245848470465641,5.245848470465641,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-03-01T00:00:00,5.760552229874946,5.548406279723656,5.548406279723656,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-04-01T00:00:00,4.996371321781838,5.447120950530893,5.447120950530893,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-05-01T00:00:00,9.932212663648938,5.201720537765213,5.201720537765213,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-06-01T00:00:00,7.045540594930366,5.405029713301742,5.405029713301742,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-07-01T00:00:00,5.01211069368009,5.074040755328085,5.074040755328085,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-08-01T00:00:00,4.382144920764011,4.850953555334693,4.850953555334693,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-09-01T00:00:00,3.6716454709343536,4.745002561696378,4.745002561696378,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-10-01T00:00:00,4.62860089810298,4.925312749778856,4.925312749778856,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-11-01T00:00:00,4.881313595286887,4.642894975352995,4.642894975352995,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2000-12-01T00:00:00,7.3234186709405105,4.592932195326146,4.592932195326146,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-01-01T00:00:00,4.3905645166249485,4.584329880223454,4.584329880223454,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-02-01T00:00:00,7.725055299052558,4.75492642230245,4.75492642230245,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-03-01T00:00:00,3.71971513740141,4.538770400569232,4.538770400569232,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-04-01T00:00:00,7.037006356767222,4.726812124378357,4.726812124378357,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-05-01T00:00:00,5.66786953605997,4.295619561783537,4.295619561783537,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-06-01T00:00:00,3.846403253220867,4.141491937084535,4.141491937084535,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-07-01T00:00:00,4.024640456311814,4.145808020094128,4.145808020094128,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-08-01T00:00:00,3.1250440923443668,4.294349372672329,4.294349372672329,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-09-01T00:00:00,5.999977591363216,4.0354963980142395,4.0354963980142395,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-10-01T00:00:00,5.260071179620332,3.7081661036952767,3.7081661036952767,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-11-01T00:00:00,3.411314155249539,4.059685070605617,4.059685070605617,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2001-12-01T00:00:00,4.8395862922455475,3.980977002729501,3.980977002729501,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2002-01-01T00:00:00,4.456212510188224,4.075971983155251,4.075971983155251,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2002-02-01T00:00:00,3.8047871112630682,3.998179436667341,3.998179436667341,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2002-03-01T00:00:00,3.486868876167193,3.91852648276055,3.91852648276055,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2002-04-01T00:00:00,8.301250523259062,4.004216263350218,4.004216263350218,0.012,0.0,1.0,0.0,0.0,0.0,0.0
2002-05-01T00:00:00,4.206424081522949,3.9926725481218135,3.9926725481218135,0.012,0.0,1.0,0.0,0.0,0.0,0.0
