tag,model,T,period,sigma_true,q_true,time_sec,rmse_mu,cov90_mu,mlpd,qalpha_mean,qalpha_median
T500_P12_sig2.0_q1e-08_rep1,IG-hyper,500,12,2.0,1e-08,308.43554425239563,0.21466337827715526,0.964,-2.102677285141242,0.00595941623560606,0.005475005784534357
T500_P12_sig2.0_q1e-08_rep1,PC-hyper,500,12,2.0,1e-08,259.75565004348755,0.004136572523848889,1.0,-2.123847431893001,2.310182322380675e-08,1.963203560133419e-08
T500_P12_sig2.0_q1e-08_rep2,IG-hyper,500,12,2.0,1e-08,218.88893103599548,0.13847728488862604,1.0,-2.087928060275166,0.003142255413132889,0.002880733201519343
T500_P12_sig2.0_q1e-08_rep2,PC-hyper,500,12,2.0,1e-08,219.55399250984192,0.0014659967250076867,1.0,-2.0958081068004355,2.310182322380675e-08,1.963203560133419e-08
T500_P12_sig2.0_q1e-08_rep3,IG-hyper,500,12,2.0,1e-08,211.29038453102112,0.13847728488862604,1.0,-2.087928060275166,0.003142255413132889,0.002880733201519343
T500_P12_sig2.0_q1e-08_rep3,PC-hyper,500,12,2.0,1e-08,241.48442006111145,0.0014659967250076867,1.0,-2.0958081068004355,2.310182322380675e-08,1.963203560133419e-08
T500_P12_sig2.0_q1e-06_rep1,IG-hyper,500,12,2.0,1e-06,226.43111753463745,0.1389306823874319,1.0,-2.087843638460571,0.003142128930406948,0.002881326719894669
T500_P12_sig2.0_q1e-06_rep1,PC-hyper,500,12,2.0,1e-06,211.50069284439087,0.011600500044783668,1.0,-2.0957828909650016,2.004197770473291e-06,1.639075493356974e-06
T500_P12_sig2.0_q1e-06_rep2,IG-hyper,500,12,2.0,1e-06,218.10385847091675,0.1389306823874319,1.0,-2.087843638460571,0.003142128930406948,0.002881326719894669
T500_P12_sig2.0_q1e-06_rep2,PC-hyper,500,12,2.0,1e-06,206.1715567111969,0.011600500044783668,1.0,-2.0957828909650016,2.004197770473291e-06,1.639075493356974e-06
T500_P12_sig2.0_q1e-06_rep3,IG-hyper,500,12,2.0,1e-06,205.42733669281006,0.1389306823874319,1.0,-2.087843638460571,0.003142128930406948,0.002881326719894669
T500_P12_sig2.0_q1e-06_rep3,PC-hyper,500,12,2.0,1e-06,234.38740587234497,0.011600500044783668,1.0,-2.0957828909650016,2.004197770473291e-06,1.639075493356974e-06
T500_P12_sig2.0_q1e-04_rep1,IG-hyper,500,12,2.0,0.0001,214.16855430603027,0.14648507854240533,1.0,-2.087071383541676,0.003170012648094981,0.002909956513834761
T500_P12_sig2.0_q1e-04_rep1,PC-hyper,500,12,2.0,0.0001,239.55297255516052,0.07108359371757747,1.0,-2.0928774328549817,0.0002522751881289953,0.0001625703747017186
T500_P12_sig2.0_q1e-04_rep2,IG-hyper,500,12,2.0,0.0001,241.11016607284546,0.14648507854240533,1.0,-2.087071383541676,0.003170012648094981,0.002909956513834761
T500_P12_sig2.0_q1e-04_rep2,PC-hyper,500,12,2.0,0.0001,216.76653409004211,0.07108359371757747,1.0,-2.0928774328549817,0.0002522751881289953,0.0001625703747017186
T500_P12_sig2.0_q1e-04_rep3,IG-hyper,500,12,2.0,0.0001,251.24374079704285,0.14648507854240533,1.0,-2.087071383541676,0.003170012648094981,0.002909956513834761
T500_P12_sig2.0_q1e-04_rep3,PC-hyper,500,12,2.0,0.0001,242.12418913841248,0.07108359371757747,1.0,-2.0928774328549817,0.0002522751881289953,0.0001625703747017186
T500_P12_sig2.0_q1e-02_rep1,IG-hyper,500,12,2.0,0.01,233.0585458278656,0.31304401434709045,0.902,-2.0826078980000493,0.008507960574834975,0.007912049429979178
T500_P12_sig2.0_q1e-02_rep1,PC-hyper,500,12,2.0,0.01,242.91909956932068,0.31523611489362163,0.91,-2.08167421628364,0.010167943235026733,0.009740305184383864
T500_P12_sig2.0_q1e-02_rep2,IG-hyper,500,12,2.0,0.01,230.5447494983673,0.31304401434709045,0.902,-2.0826078980000493,0.008507960574834975,0.007912049429979178
T500_P12_sig2.0_q1e-02_rep2,PC-hyper,500,12,2.0,0.01,256.3432397842407,0.31523611489362163,0.91,-2.08167421628364,0.010167943235026733,0.009740305184383864
T500_P12_sig2.0_q1e-02_rep3,IG-hyper,500,12,2.0,0.01,233.8940784931183,0.31304401434709045,0.902,-2.0826078980000493,0.008507960574834975,0.007912049429979178
T500_P12_sig2.0_q1e-02_rep3,PC-hyper,500,12,2.0,0.01,226.03447604179382,0.31523611489362163,0.91,-2.08167421628364,0.010167943235026733,0.009740305184383864
