date,y,mu,alpha_mu,beta_mu,gamma_mu,sigma,eta,alpha_sig,beta_sig,gamma_sig
2000-01-01T00:00:00,6.474323463572426,6.572306952130714,5.581281548346276,0.012,0.9910254037844387,1.004008010677342,0.004,0.004,0.004,0.0
2000-02-01T00:00:00,5.433231204208863,6.063247606002656,5.688247606002656,0.012,0.37500000000000017,1.0080320855042735,0.008,0.008,0.004,0.0
2000-03-01T00:00:00,5.557729403382139,5.396289955557451,5.646289955557451,0.012,-0.24999999999999994,1.0120722888660778,0.012,0.012,0.004,0.0
2000-04-01T00:00:00,6.68646700407524,5.082573673733611,5.707573673733611,0.012,-0.6249999999999999,1.016128685406095,0.016,0.016,0.004,0.0
2000-05-01T00:00:00,8.3262950468881,4.903609615646279,5.6446350194307175,0.012,-0.7410254037844387,1.0202013400267558,0.02,0.02,0.004,0.0
2000-06-01T00:00:00,3.3514318424308174,4.705407901648092,5.455407901648092,0.012,-0.75,1.0242903178906215,0.024,0.024,0.004,0.0
2000-07-01T00:00:00,4.134219276049676,5.1439393767299455,5.884964780514384,0.012,-0.7410254037844387,1.028395684421425,0.028,0.028,0.004,0.0
2000-08-01T00:00:00,5.110384174800699,5.165689403773541,5.790689403773541,0.012,-0.6250000000000002,1.0325175053051183,0.032,0.032,0.004,0.0
2000-09-01T00:00:00,6.032130949138099,5.250871526580882,5.500871526580882,0.012,-0.25000000000000017,1.0366558464909237,0.036000000000000004,0.036000000000000004,0.004,0.0
2000-10-01T00:00:00,5.9298624190370015,6.383338347344919,6.008338347344919,0.012,0.37500000000000017,1.0408107741923882,0.04,0.04,0.004,0.0
2000-11-01T00:00:00,7.092980044846539,6.737424418178546,5.7463990143941075,0.012,0.9910254037844386,1.0449823548884438,0.044,0.044,0.004,0.0
2000-12-01T00:00:00,8.02384613843463,6.839978452765037,5.589978452765037,0.012,1.25,1.0491706553244706,0.048,0.048,0.004,0.0
2001-01-01T00:00:00,8.681713660397135,6.4404990128267245,5.449473609042286,0.012,0.9910254037844387,1.0533757425133647,0.052000000000000005,0.052000000000000005,0.004,0.0
2001-02-01T00:00:00,5.0170196525814195,5.822207264445049,5.447207264445049,0.012,0.37500000000000017,1.0575976837366112,0.056,0.056,0.004,0.0
2001-03-01T00:00:00,6.616592297360255,5.284035748869556,5.534035748869556,0.012,-0.24999999999999994,1.0618365465453596,0.06,0.06,0.004,0.0
2001-04-01T00:00:00,4.670996968683824,5.049225903567303,5.674225903567303,0.012,-0.6249999999999999,1.0660923987615052,0.064,0.064,0.004,0.0
2001-05-01T00:00:00,5.657419683125054,5.288081645902833,6.029107049687271,0.012,-0.7410254037844387,1.0703653084787743,0.068,0.068,0.004,0.0
2001-06-01T00:00:00,6.545105419031551,5.590163732211056,6.340163732211056,0.012,-0.75,1.0746553440638136,0.07200000000000001,0.07200000000000001,0.004,0.0
2001-07-01T00:00:00,8.154267872051006,5.731641956150568,6.472667359935007,0.012,-0.7410254037844387,1.078962574157284,0.076,0.076,0.004,0.0
2001-08-01T00:00:00,4.912979967781945,5.567739789549106,6.192739789549106,0.012,-0.6250000000000002,1.0832870676749586,0.08,0.08,0.004,0.0
2001-09-01T00:00:00,5.568547060790479,5.952117009135954,6.202117009135954,0.012,-0.25000000000000017,1.087628893808826,0.084,0.084,0.004,0.0
2001-10-01T00:00:00,5.848811760717375,6.570972780182918,6.195972780182918,0.012,0.37500000000000017,1.0919881220281975,0.088,0.088,0.004,0.0
2001-11-01T00:00:00,6.541838188007649,6.899505164649925,5.908479760865487,0.012,0.9910254037844386,1.0963648220808169,0.092,0.092,0.004,0.0
2001-12-01T00:00:00,6.681608427717332,7.223272906846644,5.973272906846644,0.012,1.25,1.1007590639939788,0.096,0.096,0.004,0.0
2002-01-01T00:00:00,9.509712832092198,7.043301297753352,6.052275893968914,0.012,0.9910254037844387,1.1051709180756477,0.1,0.1,0.004,0.0
2002-02-01T00:00:00,6.755897091725581,6.387042585141037,6.012042585141037,0.012,0.37500000000000017,1.1096004549155825,0.10400000000000001,0.10400000000000001,0.004,0.0
2002-03-01T00:00:00,4.079966682051601,5.3984998445594785,5.6484998445594785,0.012,-0.24999999999999994,1.1140477453864677,0.108,0.108,0.004,0.0
2002-04-01T00:00:00,5.505554604500438,4.9347175400573455,5.5597175400573455,0.012,-0.6249999999999999,1.1185128606450452,0.112,0.112,0.004,0.0
2002-05-01T00:00:00,9.737339370630549,4.960214574046926,5.7012399778313645,0.012,-0.7410254037844387,1.1229958721332547,0.116,0.116,0.004,0.0
2002-06-01T00:00:00,6.230617816066255,5.244215090651918,5.994215090651918,0.012,-0.75,1.1274968515793757,0.12,0.12,0.004,0.0
2002-07-01T00:00:00,5.971211995790569,5.520134414958612,6.26115981874305,0.012,-0.7410254037844387,1.1320158709991752,0.124,0.124,0.004,0.0
2002-08-01T00:00:00,8.453159993774397,5.59064796946795,6.21564796946795,0.012,-0.6250000000000002,1.1365530026970603,0.128,0.128,0.004,0.0
2002-09-01T00:00:00,7.319642515302877,6.02874587663409,6.27874587663409,0.012,-0.25000000000000017,1.141108319267235,0.132,0.132,0.004,0.0
