series,period,start_year,end_year,median_C_per_decade,lower_C_per_decade,upper_C_per_decade,probability_positive
TXm,Early 1892–1949,1892,1949,0.20741530186434431,0.12602037145380152,0.31282742082221443,1.0
TXm,Mid-century 1950–1979,1950,1979,-0.021559755672341134,-0.1912044197457527,0.10662578546751308,0.38166666666666665
TXm,Recent 1980–2022,1980,2022,0.4345340519325398,0.31820526422588696,0.5694395526322078,1.0
TNm,Early 1892–1949,1892,1949,0.08682376960970054,0.009506478029954916,0.156594773055319,0.9741666666666666
TNm,Mid-century 1950–1979,1950,1979,0.16079182152727722,0.05113466607325133,0.24859754589032323,0.9866666666666667
TNm,Recent 1980–2022,1980,2022,0.3190027388569877,0.22330104733797992,0.4265214896287084,1.0
TXx,Early 1892–1949,1892,1949,0.22636410447190633,0.11087422212319009,0.3565083246237244,1.0
TXx,Mid-century 1950–1979,1950,1979,-0.12916106145703826,-0.3202481962058405,0.04804792832925078,0.11833333333333333
TXx,Recent 1980–2022,1980,2022,0.5872839997801946,0.42624144758549065,0.7469777717937194,1.0
TXn,Early 1892–1949,1892,1949,0.1653079446684788,0.06104093062153277,0.2974371533302712,0.9941666666666666
TXn,Mid-century 1950–1979,1950,1979,0.12207425819009206,-0.046770416956188436,0.23174260169470712,0.8941666666666667
TXn,Recent 1980–2022,1980,2022,0.3764474126045532,0.22637474230236287,0.5445418911191912,1.0
TNx,Early 1892–1949,1892,1949,0.050651444861715064,-0.038935381828975636,0.14156521905454977,0.8316666666666667
TNx,Mid-century 1950–1979,1950,1979,0.07792381797163997,-0.06400362599080006,0.19898065187546285,0.8075
TNx,Recent 1980–2022,1980,2022,0.3497710515233352,0.22581403180961654,0.491519193577907,1.0
TNn,Early 1892–1949,1892,1949,0.0987158447953618,-0.004984073706465046,0.2192244131387355,0.9408333333333333
TNn,Mid-century 1950–1979,1950,1979,0.22221204738742084,0.11697159566191431,0.32248407097734644,0.9975
TNn,Recent 1980–2022,1980,2022,0.32481840538915907,0.21049410652571596,0.45963581696253314,1.0
