parameter,lower,median,upper
alpha0,10.169491559879125,10.675380538280628,11.110850916325921
s_level,-0.03187209694806439,-0.001523190142410679,0.028352140994715676
q_level,8.085183876939366e-07,0.00012677220296784326,0.0017379978000576356
sigma,2.253911133235571,2.362884354864318,2.498859160839218
sigma2,5.080115396523256,5.583222474462565,6.24429710571008
xi,-0.3196387624191432,-0.29681434937011886,-0.26895006056967086
beta0,-0.005163028177273115,-0.0006459125656431362,0.0015445757754627197
s_trend,-0.0002373746377250753,2.858196785108614e-05,0.00024944086538256115
q_trend,4.854143078937472e-10,1.1370772652589283e-08,8.595880261240956e-08
s_season,-0.033481201776638346,-0.001128140071733656,0.01747640639803375
q_season,3.543022171877252e-07,4.846960964342233e-05,0.0011209908724079708
lambda2_level,0.550231039286915,1.8697239008919568,5.124329809615356
lambda2_trend,0.41190229424467445,1.7115498664016846,4.80854889367339
lambda2_season,0.5111979366197553,1.9579846099566531,5.064528412357132
tau_level,0.03788669192621442,0.6783318059182393,3.525887674585451
tau_trend,0.08798690124776148,0.8009973531872517,4.745490631955121
tau_season,0.027017426862466474,0.4677203374219152,3.087519383940214
