parameter,lower,median,upper
alpha0,-7.275993910163713,-6.738856278846367,-6.102440413659995
s_level,-0.027263837146131353,-0.00025804817953909267,0.02532229100159336
q_level,7.49353906090086e-07,0.00012071519843646154,0.0010717290952197095
sigma,2.808954522418148,2.9356727754012364,3.078310154974786
sigma2,7.890225509013365,8.618174644497866,9.47599364325784
xi,-0.24441083796328375,-0.22380514380958477,-0.20322075200130502
beta0,-0.0033179285490617305,-8.503141709039895e-05,0.0037294266902609618
s_trend,-0.00016470133942574707,8.102732493528018e-06,0.00017424254041194403
q_trend,1.4145871614181523e-10,6.431101443045995e-09,3.8707292307762795e-08
s_season,-0.015967675343420973,2.2079384027120803e-05,0.015879908532980963
q_season,2.751105224336789e-07,3.5864310084625085e-05,0.00035694162521684737
lambda2_level,0.5253439976619889,1.9293141658738633,5.020047372364003
lambda2_trend,0.47126980276809943,1.9668677919952078,5.091427523472811
lambda2_season,0.5031024474741277,2.0333678653686977,5.012095210613195
tau_level,0.03856509423672358,0.5523362568766641,4.020235062972299
tau_trend,0.05676935364615201,0.5567522319258165,4.140639539201355
tau_season,0.023178601437857077,0.4036407290741293,3.3124805751478403
