date,y,mu,alpha,beta,gamma
2000-01-01T00:00:00,10.8235130645478,17.40430484541326,5.512,0.012,11.892304845413262
2000-02-01T00:00:00,43.60057865834364,10.024000000000008,5.524,0.012,4.500000000000007
2000-03-01T00:00:00,7.303957827464247,2.536,5.536,0.012,-2.9999999999999996
2000-04-01T00:00:00,3.398517567581516,-1.9519999999999955,5.548,0.012,-7.499999999999996
2000-05-01T00:00:00,-8.04409978651988,-3.3323048454132698,5.56,0.012,-8.89230484541327
2000-06-01T00:00:00,37.77009485380661,-3.428,5.572,0.012,-9.0
2000-07-01T00:00:00,8.03302099559152,-3.3083048454132626,5.584,0.012,-8.892304845413262
2000-08-01T00:00:00,4.802387020097685,-1.9040000000000035,5.596,0.012,-7.5000000000000036
2000-09-01T00:00:00,-0.7113978681583424,2.607999999999997,5.608,0.012,-3.0000000000000027
2000-10-01T00:00:00,12.616270223262788,10.11999999999999,5.62,0.012,4.499999999999991
2000-11-01T00:00:00,11.843610344612722,17.52430484541325,5.632,0.012,11.892304845413252
2000-12-01T00:00:00,20.326032469203373,20.644,5.644,0.012,15.0
2001-01-01T00:00:00,14.278351773319189,17.54830484541327,5.656,0.012,11.892304845413271
2001-02-01T00:00:00,31.07123756274705,10.168000000000013,5.668,0.012,4.500000000000012
2001-03-01T00:00:00,0.2767935598256446,2.6800000000000135,5.68,0.012,-2.9999999999999862
2001-04-01T00:00:00,12.298343316590106,-1.8079999999999927,5.692,0.012,-7.499999999999993
2001-05-01T00:00:00,-6.106981066301573,-3.1883048454132696,5.704,0.012,-8.89230484541327
2001-06-01T00:00:00,-7.427985780672721,-3.283999999999998,5.716,0.012,-8.999999999999998
2001-07-01T00:00:00,-8.470492113779802,-3.1643048454132625,5.728,0.012,-8.892304845413262
2001-08-01T00:00:00,-9.828420014571757,-1.7600000000000087,5.74,0.012,-7.500000000000009
2001-09-01T00:00:00,24.752035409047053,2.751999999999994,5.752,0.012,-3.0000000000000058
