parameter,lower,median,upper
alpha0,5.013627449660692,5.412737703193923,5.801414060242135
s_level,-0.02568558231091479,0.00017813390804686103,0.02580643695656957
q_level,9.924276290946296e-07,0.000122038486279927,0.0009306559458989933
sigma,2.1502918137635754,2.291551772539088,2.424286452878083
sigma2,4.623754884461463,5.2512095262406255,5.877164805623367
beta0,-0.0014995146729722415,0.0009875615216706083,0.0034726220182405977
s_trend,-0.0001837717775884326,-2.876227048326728e-06,0.00018566020566541613
q_trend,2.2380088578177905e-10,5.878629426732106e-09,5.5426388556326026e-08
s_season,-0.015498406934605463,-7.761815160467833e-05,0.015325719815896312
q_season,3.22035077245947e-07,3.79738768587718e-05,0.0003457940660333807
lambda2,0.5991726406464136,2.178880558768978,5.483753848999908
tau_level,0.0023407210330565957,0.2163373026360585,2.4717194863228404
tau_trend,0.0016791234554001994,0.21627217720026073,2.5405758361316764
tau_season,0.0020990656238965015,0.21466663878653297,2.535560144795807
