parameter,lower,median,upper
alpha0,11.891511661823513,12.389398954574139,12.83812298857333
s_level,-0.054908980873025516,-0.00014189943646161643,0.05512948044913667
q_level,1.149520569206165e-05,0.0007805816981088375,0.004100782938120662
sigma,1.961600558735261,2.079306816484128,2.1946710385374
sigma2,3.8478767520559596,4.323516837105793,4.816580967443672
beta0,-0.0016920319315256354,0.002207568335721391,0.007025041822146313
s_trend,-0.00030109332568953675,1.130517818474161e-06,0.00029774916061465535
q_trend,1.8913301183421905e-10,1.5792949595917362e-08,1.3592780522301994e-07
s_season,-0.01620186299052596,-8.940502985633862e-05,0.016419603916028903
q_season,4.048375121890006e-07,4.442116274212483e-05,0.0003851088013520944
lambda2,0.5794044239205955,2.2078084312287682,5.490559991246757
tau_level,0.003216708629722403,0.20800802579814923,2.5630831854794627
tau_trend,0.0018543004594410123,0.2079623542215063,2.561385972440752
tau_season,0.001986872118113677,0.21328783929272016,2.5957801456312457
