parameter,lower,median,upper
alpha0,5.073655241211153,5.434403025701746,5.782415101679203
s_level,-0.020544943838755592,-0.00013995695687248132,0.020084876799265683
q_level,3.8215912491972714e-07,6.531644653419799e-05,0.0006148405164278696
sigma,2.1712430418125157,2.298514606454117,2.421412634099929
sigma2,4.7142963466374335,5.283169396332214,5.863239145015758
beta0,-0.001201249780892699,0.0007198491414178285,0.0026663980412200963
s_trend,-0.00012694277125706923,2.970404261079038e-06,0.00013636661015342782
q_trend,1.6202209058643637e-10,3.688081186982499e-09,2.5605013125670074e-08
s_season,-0.013422976034745406,2.9497934775451156e-05,0.013032211176840955
q_season,1.508740373756822e-07,2.389757163407825e-05,0.00026005535975591167
lambda2_level,0.47964303294739286,1.951474955230943,5.087286301784918
lambda2_trend,0.49718770128987055,1.9632343565744392,5.008187785805679
lambda2_season,0.5250390239334837,2.0715466614628752,5.331202602119529
tau_level,0.029567646055529067,0.4832756653297814,3.5775817192139527
tau_trend,0.04403024439703028,0.46881346503537136,3.399528708209876
tau_season,0.02065848872783873,0.37679978446849155,3.035775417947006
