parameter,lower,median,upper
alpha0,-7.309117871387951,-6.759816542294345,-6.060377981158074
s_level,-0.026806499145444956,-0.00011045089333636116,0.027765334322583535
q_level,7.568076733426577e-07,0.00012718169213536782,0.0010702171203726839
sigma,2.813377450752333,2.9387151922306236,3.0801647098671707
sigma2,7.91509270942112,8.636046981047071,9.487414639911112
xi,-0.24445872504303254,-0.22524156675292095,-0.20322478792464743
beta0,-0.0031249655844216287,0.0001620594830753366,0.004533160665814485
s_trend,-0.00016863665970131457,3.0254788917558616e-06,0.00016574202201109585
q_trend,1.3192275793832942e-10,5.524039916038635e-09,4.176355134986946e-08
s_season,-0.015867461463326786,3.792993820951324e-06,0.015974811809973982
q_season,2.049041540939631e-07,3.52650910370316e-05,0.00038434343789835114
lambda2_level,0.46980011375812963,1.9088050187056527,4.959515232012762
lambda2_trend,0.4722807117175443,1.8947512337962773,5.009783325919366
lambda2_season,0.507701020684275,2.006919810274222,5.120184860781886
tau_level,0.0388079307279599,0.5602019648428156,4.021447817573093
tau_trend,0.04975939405962068,0.5618939008409561,3.9355882586485174
tau_season,0.021803395009052078,0.42378126423805407,3.406854908894978
