parameter,lower,median,upper
alpha0,12.015737854166154,12.465919237460746,12.886797535415969
s_level,-0.04074256910318735,-0.0005233065080305394,0.03969086759395353
q_level,3.015747802519327e-06,0.00042474763755245165,0.0022012994399208596
sigma,1.9807409872403627,2.0895843188915855,2.195081506619287
sigma2,3.9233348640598598,4.366362625761973,4.818382834704913
beta0,-0.001316685997121806,0.0015187722431525424,0.00422844501214762
s_trend,-0.0001939958481580124,-1.935081103425946e-06,0.00019484926409112492
q_trend,7.797632561727675e-11,8.211316217360627e-09,5.394123564841572e-08
s_season,-0.01424158340289914,0.00015419018949356544,0.013798303220066395
q_season,1.955108523051845e-07,2.9500802749696996e-05,0.00028922752514987923
lambda2_level,0.4019481170488057,1.7229067505267772,4.523145654115074
lambda2_trend,0.48224238234454403,1.8495016018069428,4.993338231514517
lambda2_season,0.5278943779012626,2.0100160275449106,5.284715863145064
tau_level,0.08168804965623895,0.82792420450753,5.126906226478387
tau_trend,0.05131013386253581,0.6105037231730797,4.222947418827583
tau_season,0.0216312677249742,0.39188770706091414,3.2774725384766086
