parameter,lower,median,upper
alpha0,-0.7175947870523737,-0.1511359366756243,0.5081861584474127
s_level,-0.02480992900743873,2.008028491842567e-05,0.024733237003137915
q_level,6.010581513449177e-07,9.73533528625638e-05,0.0009041924341279512
sigma,2.7262701077314646,2.8688293997836336,3.014197204878012
sigma2,7.432548700310131,8.230182125062923,9.085384789894421
xi,-0.19786407137978512,-0.17216129043283984,-0.141737184459804
beta0,-0.002650020300088909,0.0011594556350409844,0.005575713956695093
s_trend,-0.00014570527664810881,-5.094490410148341e-06,0.0001450061251926403
q_trend,1.2772395301617265e-10,3.6165962888869014e-09,3.364443754757369e-08
s_season,-0.01588330571988866,0.00013357295979676657,0.01683953938898894
q_season,2.181380870063346e-07,3.545954016567934e-05,0.00040670690560609923
lambda2_level,0.47863045643094243,1.9049609562427434,5.116384040618108
lambda2_trend,0.4718887097898667,1.871273322204051,5.071984023295779
lambda2_season,0.509076215883819,2.007650179733716,5.145944693448055
tau_level,0.037663562540936564,0.525379521143625,3.624318400516793
tau_trend,0.043772743297584994,0.5059754391980973,3.76849902766187
tau_season,0.02142082290536942,0.400434978928726,3.430696145654006
