parameter,lower,median,upper
alpha0,10.215200268487452,10.702654430581164,11.123428489548616
s_level,-0.025950730546158776,0.00044305302518752356,0.029322384215774565
q_level,7.918117378430717e-07,0.00010981163724941775,0.001490541162868982
sigma,2.229003196886368,2.3438153792997816,2.4872155340012303
sigma2,4.968455290785651,5.493470532242179,6.186241112577025
xi,-0.3172647714161229,-0.2914384298620891,-0.2651444084143447
beta0,-0.005729810517331904,-0.000923009518805584,0.0021553648639458384
s_trend,-0.00024643634238408186,8.347703265505635e-06,0.00024241013511990274
q_trend,6.708978765884809e-10,1.2553725139673172e-08,9.582944391563221e-08
s_season,-0.01922597158940258,-0.00033623901112205695,0.017389395165609247
q_season,3.530368680121188e-07,4.6640715408388035e-05,0.0004813594566082501
lambda2_level,0.4880361290922092,1.9114291969250226,4.892920528462314
lambda2_trend,0.4384938634635427,1.789421135866657,4.762068870352619
lambda2_season,0.5122117000747921,1.9889766289512343,5.041507992087672
tau_level,0.03823859352286475,0.573936667302237,4.164055552500746
tau_trend,0.07879144452195937,0.7334791286965068,4.875540852998422
tau_season,0.02564818286272019,0.42851868413049377,3.5686043288241014
