,lower,median,upper
alpha0,-0.7317458164549498,-0.1655559753519668,0.5029691739538052
s_level,-0.0236317666338361,5.0259858729994646e-05,0.02404478677957654
q_level,5.51282062593443e-07,8.915368298523222e-05,0.0008315008190886873
sigma,2.7272822607527654,2.868963446195913,3.0141949232158645
sigma2,7.438068529887055,8.230951255722273,9.085371035140566
xi,-0.19650611157098716,-0.17115693085930322,-0.14221449378367698
beta0,-0.002588270194755807,0.0012307164042474374,0.0055790214017972795
s_trend,-0.00014570273353357115,-1.7322183901606425e-06,0.00014634461184582728
q_trend,1.508180949703787e-10,3.7038073207033607e-09,3.3244758089157715e-08
s_season,-0.016438015273561916,-3.978942811241074e-05,0.01681052033058755
q_season,2.3611813058704724e-07,3.57331690190161e-05,0.0004092598792250458
lambda2_level,0.4824074886507858,1.9194792671864265,5.116069423130004
lambda2_trend,0.4693529036067675,1.9045872285320353,5.044258278966003
lambda2_season,0.5039849458922867,2.0022962626026124,5.207672608779824
tau_level,0.035573290081257,0.5147409999021764,3.688739219522483
tau_trend,0.04373928243568081,0.5084960954035943,3.9330376894995123
tau_season,0.02201313526558351,0.40688621010823167,3.351300787123236
