,lower,median,upper
alpha0,12.021343654036249,12.455294116615518,12.860519257468756
s_level,-0.03923891525749084,-6.190308000202571e-05,0.03910198420279569
q_level,2.541805748232538e-06,0.00037557221093535676,0.002098773912172201
sigma,1.9826087012495919,2.090447343111233,2.1948564828302604
sigma2,3.930737262293555,4.36997009439535,4.8173949802789835
beta0,-0.0011086952034898877,0.0016823765669366827,0.0043632250553841114
s_trend,-0.0001980868196215812,-4.5142747161387045e-07,0.00019613026917344873
q_trend,7.702411409900618e-11,8.487832126525992e-09,5.578530955624957e-08
s_season,-0.01401226678234093,1.548923075656321e-05,0.014076707763007625
q_season,2.181122694767926e-07,2.954494680867297e-05,0.00028748914863204367
lambda2_level,0.4232095996710031,1.752040614537142,4.710300785710475
lambda2_trend,0.4706881889630446,1.8682548906147496,4.932236890962861
lambda2_season,0.5234957636113159,2.026782590553143,5.2483390392629055
tau_level,0.06789930261960933,0.7780195262443788,4.92069156523235
tau_trend,0.05437056770941157,0.6074627801405712,4.162940037305331
tau_season,0.022160994846659794,0.39181878204480186,3.2984337103475254
