,lower,median,upper
alpha0,-7.317171188847425,-6.748511357763709,-6.064893509637202
s_level,-0.02676507601794118,1.5678462230172847e-05,0.0276716405702859
q_level,8.208181995222871e-07,0.00012993972060932376,0.0010763616828776198
sigma,2.8130942785724025,2.9428137898505544,3.0793705762169075
sigma2,7.913499420148646,8.660153001734583,9.482523161038765
xi,-0.24445532346146395,-0.2248512787556411,-0.2030972040601726
beta0,-0.003034926752386843,0.00016988651842473593,0.0045341137272241604
s_trend,-0.00016681659704743325,1.3121483924075354e-06,0.0001657401535486498
q_trend,1.34493288740807e-10,5.609856227204717e-09,4.075561276945941e-08
s_season,-0.016031004113422086,3.449627301866888e-05,0.015754233707594878
q_season,2.5734339268289747e-07,3.514397496031089e-05,0.00037938987491912163
lambda2_level,0.4783857749681306,1.9087301686040674,5.004090182774484
lambda2_trend,0.4749359271156006,1.8696118093987992,4.993908996083774
lambda2_season,0.5034067845197678,2.0020210567289647,5.192129169043709
tau_level,0.04029732526352256,0.5604122731131858,4.00258139859891
tau_trend,0.05071687342715352,0.5525741335127279,3.9258564402569682
tau_season,0.0231745042214492,0.41718601818998235,3.4155982005360075
