date,y,mu,alpha,beta,gamma
2000-01-01T00:00:00,7.0935102784411805,5.491745830154909,5.491745830154909,0.012,0.0
2000-02-01T00:00:00,14.476752697154478,4.8510449878367465,4.8510449878367465,0.012,0.0
2000-03-01T00:00:00,9.677216079405087,5.0952221566598705,5.0952221566598705,0.012,0.0
2000-04-01T00:00:00,7.941736327441133,5.15334961266492,5.15334961266492,0.012,0.0
2000-05-01T00:00:00,11.05398872198754,5.049647582341574,5.049647582341574,0.012,0.0
2000-06-01T00:00:00,21.442278577393687,5.1852088665946505,5.1852088665946505,0.012,0.0
2000-07-01T00:00:00,10.914508735007075,4.621958076275194,4.621958076275194,0.012,0.0
2000-08-01T00:00:00,17.93243794009892,4.8194494229902105,4.8194494229902105,0.012,0.0
2000-09-01T00:00:00,3.0594681460879825,4.849225739604971,4.849225739604971,0.012,0.0
2000-10-01T00:00:00,4.937736271542799,5.173675776923763,5.173675776923763,0.012,0.0
2000-11-01T00:00:00,24.713839044892048,5.563943527758333,5.563943527758333,0.012,0.0
2000-12-01T00:00:00,8.079015312522372,5.847128284627548,5.847128284627548,0.012,0.0
2001-01-01T00:00:00,-1.1957698105299839,5.884186984706594,5.884186984706594,0.012,0.0
2001-02-01T00:00:00,2.4870035771233416,5.7059695091218545,5.7059695091218545,0.012,0.0
2001-03-01T00:00:00,7.530425356526722,5.5866775386756915,5.5866775386756915,0.012,0.0
2001-04-01T00:00:00,47.91580229201859,6.003986580020198,6.003986580020198,0.012,0.0
2001-05-01T00:00:00,-0.22370951808725525,5.869918831702875,5.869918831702875,0.012,0.0
2001-06-01T00:00:00,5.088802432877601,5.843703147633889,5.843703147633889,0.012,0.0
2001-07-01T00:00:00,6.711271899194321,5.854619027056528,5.854619027056528,0.012,0.0
2001-08-01T00:00:00,13.882796886367238,6.268331114404957,6.268331114404957,0.012,0.0
2001-09-01T00:00:00,14.17498750328557,6.265680142163399,6.265680142163399,0.012,0.0
2001-10-01T00:00:00,-2.735807349020998,6.223347282651016,6.223347282651016,0.012,0.0
2001-11-01T00:00:00,-2.4756424935739716,5.996608048833165,5.996608048833165,0.012,0.0
2001-12-01T00:00:00,10.63969290259117,5.760319041399579,5.760319041399579,0.012,0.0
2002-01-01T00:00:00,0.7317186360130856,6.031963105044455,6.031963105044455,0.012,0.0
2002-02-01T00:00:00,6.668880440788584,5.598192243474069,5.598192243474069,0.012,0.0
2002-03-01T00:00:00,-4.674124644801367,5.395906739711361,5.395906739711361,0.012,0.0
2002-04-01T00:00:00,20.562022755246154,5.518529202377393,5.518529202377393,0.012,0.0
2002-05-01T00:00:00,5.337249322766401,5.674469948600038,5.674469948600038,0.012,0.0
2002-06-01T00:00:00,18.359340765193082,5.983035660997645,5.983035660997645,0.012,0.0
2002-07-01T00:00:00,29.629327155952588,5.760067483264869,5.760067483264869,0.012,0.0
2002-08-01T00:00:00,8.13576876794034,5.861079872968579,5.861079872968579,0.012,0.0
2002-09-01T00:00:00,24.68917483672319,6.052152795335854,6.052152795335854,0.012,0.0
2002-10-01T00:00:00,3.5376677476458576,6.48088674676005,6.48088674676005,0.012,0.0
2002-11-01T00:00:00,9.199254300109683,6.358440908944828,6.358440908944828,0.012,0.0
2002-12-01T00:00:00,6.924439306513328,6.406815169929176,6.406815169929176,0.012,0.0
2003-01-01T00:00:00,16.745237255321957,6.522846227949837,6.522846227949837,0.012,0.0
2003-02-01T00:00:00,8.136174761798124,6.5929891612531755,6.5929891612531755,0.012,0.0
2003-03-01T00:00:00,-3.097245207911689,6.209571242542333,6.209571242542333,0.012,0.0
2003-04-01T00:00:00,36.52242733529909,6.13771144051393,6.13771144051393,0.012,0.0
2003-05-01T00:00:00,-4.609470775401171,6.261032999341465,6.261032999341465,0.012,0.0
2003-06-01T00:00:00,-1.3135942920020316,6.281376963836888,6.281376963836888,0.012,0.0
2003-07-01T00:00:00,21.212879436560947,5.907675787308804,5.907675787308804,0.012,0.0
2003-08-01T00:00:00,-2.0218356204793526,6.072366114338092,6.072366114338092,0.012,0.0
2003-09-01T00:00:00,5.848383175670839,6.008601758791392,6.008601758791392,0.012,0.0
2003-10-01T00:00:00,18.928582545149197,5.8073471776328836,5.8073471776328836,0.012,0.0
2003-11-01T00:00:00,14.880391771052041,5.644818588625247,5.644818588625247,0.012,0.0
2003-12-01T00:00:00,27.127836566956297,5.734799298767745,5.734799298767745,0.012,0.0
2004-01-01T00:00:00,-2.22142504446093,5.732963632405265,5.732963632405265,0.012,0.0
2004-02-01T00:00:00,-1.1225723110356283,5.709188661753826,5.709188661753826,0.012,0.0
2004-03-01T00:00:00,20.49202998177046,5.24959093690692,5.24959093690692,0.012,0.0
2004-04-01T00:00:00,4.004040359042703,5.133790270447183,5.133790270447183,0.012,0.0
2004-05-01T00:00:00,-2.3755670206511157,5.020711840367408,5.020711840367408,0.012,0.0
2004-06-01T00:00:00,2.1024057867792774,4.9146992979930655,4.9146992979930655,0.012,0.0
2004-07-01T00:00:00,8.448053616296258,4.864135595753632,4.864135595753632,0.012,0.0
2004-08-01T00:00:00,0.7277874598638174,5.031657798241368,5.031657798241368,0.012,0.0
2004-09-01T00:00:00,1.9132939138581233,5.247776929298201,5.247776929298201,0.012,0.0
2004-10-01T00:00:00,-1.0428293993639954,5.291333346921364,5.291333346921364,0.012,0.0
2004-11-01T00:00:00,26.97698615848298,5.0512871069546925,5.0512871069546925,0.012,0.0
2004-12-01T00:00:00,5.145201137155812,5.3460917199634865,5.3460917199634865,0.012,0.0
2005-01-01T00:00:00,-4.682658180887638,5.104139213137807,5.104139213137807,0.012,0.0
2005-02-01T00:00:00,9.707101564850532,4.993195265049125,4.993195265049125,0.012,0.0
2005-03-01T00:00:00,3.4639438271222858,4.901676229588077,4.901676229588077,0.012,0.0
2005-04-01T00:00:00,-6.431119799885075,4.90031300592013,4.90031300592013,0.012,0.0
2005-05-01T00:00:00,-1.5196180251815612,4.751761304871179,4.751761304871179,0.012,0.0
2005-06-01T00:00:00,13.323945769320758,4.881166348139334,4.881166348139334,0.012,0.0
2005-07-01T00:00:00,6.878681208028427,4.873327567490431,4.873327567490431,0.012,0.0
2005-08-01T00:00:00,0.43401870404217924,4.874460131207089,4.874460131207089,0.012,0.0
2005-09-01T00:00:00,19.933697781495074,5.037596409847977,5.037596409847977,0.012,0.0
2005-10-01T00:00:00,-0.5891091700445621,4.959650249824737,4.959650249824737,0.012,0.0
2005-11-01T00:00:00,4.632842244544857,4.718346100815597,4.718346100815597,0.012,0.0
2005-12-01T00:00:00,-2.6276747261776823,4.9319723367838275,4.9319723367838275,0.012,0.0
2006-01-01T00:00:00,6.002792155212122,5.0002130066081865,5.0002130066081865,0.012,0.0
2006-02-01T00:00:00,-2.3078946678566803,5.407889847242225,5.407889847242225,0.012,0.0
2006-03-01T00:00:00,7.398071427076218,5.661101954625832,5.661101954625832,0.012,0.0
2006-04-01T00:00:00,34.901950759302295,5.924240114922127,5.924240114922127,0.012,0.0
2006-05-01T00:00:00,7.916874946213489,6.4350634626848375,6.4350634626848375,0.012,0.0
2006-06-01T00:00:00,16.312298095117868,6.313315659290911,6.313315659290911,0.012,0.0
2006-07-01T00:00:00,-1.7182973955757275,6.8591988679543645,6.8591988679543645,0.012,0.0
2006-08-01T00:00:00,67.67897303859907,7.071931935751697,7.071931935751697,0.012,0.0
2006-09-01T00:00:00,2.2818131145234624,7.467519702384524,7.467519702384524,0.012,0.0
2006-10-01T00:00:00,20.09762790364721,7.262566130677578,7.262566130677578,0.012,0.0
2006-11-01T00:00:00,6.562672165194625,7.674770985942635,7.674770985942635,0.012,0.0
2006-12-01T00:00:00,13.269408648662914,7.894543743517675,7.894543743517675,0.012,0.0
2007-01-01T00:00:00,6.031993836090643,7.872932468505986,7.872932468505986,0.012,0.0
2007-02-01T00:00:00,5.516145282293971,7.087511522802515,7.087511522802515,0.012,0.0
2007-03-01T00:00:00,0.19995849853839243,6.900308232838355,6.900308232838355,0.012,0.0
2007-04-01T00:00:00,11.879486651639589,7.0167859492940226,7.0167859492940226,0.012,0.0
2007-05-01T00:00:00,-4.8313695535564465,6.998187003318349,6.998187003318349,0.012,0.0
2007-06-01T00:00:00,7.863785408617615,7.160290323032214,7.160290323032214,0.012,0.0
2007-07-01T00:00:00,10.56006781522774,7.0983916085748335,7.0983916085748335,0.012,0.0
2007-08-01T00:00:00,35.59140840346754,7.061899890902679,7.061899890902679,0.012,0.0
2007-09-01T00:00:00,19.08387763700601,7.2669846836366325,7.2669846836366325,0.012,0.0
2007-10-01T00:00:00,14.317983772509528,7.269363429485924,7.269363429485924,0.012,0.0
2007-11-01T00:00:00,12.55014535989546,7.022672555929903,7.022672555929903,0.012,0.0
2007-12-01T00:00:00,8.587664758823692,6.866129993208941,6.866129993208941,0.012,0.0
2008-01-01T00:00:00,20.855805324580587,6.8967793768013586,6.8967793768013586,0.012,0.0
2008-02-01T00:00:00,7.496788452151157,6.3789406150902455,6.3789406150902455,0.012,0.0
2008-03-01T00:00:00,12.321999591777416,6.516982543223302,6.516982543223302,0.012,0.0
2008-04-01T00:00:00,11.812452566038763,6.59184378936631,6.59184378936631,0.012,0.0
2008-05-01T00:00:00,29.510953931523602,6.336576933017951,6.336576933017951,0.012,0.0
2008-06-01T00:00:00,21.85644417356805,6.298034006354893,6.298034006354893,0.012,0.0
2008-07-01T00:00:00,8.046326869020342,6.231698115646792,6.231698115646792,0.012,0.0
2008-08-01T00:00:00,7.217377297276479,6.379693624522568,6.379693624522568,0.012,0.0
2008-09-01T00:00:00,5.906029710627324,6.588812241390679,6.588812241390679,0.012,0.0
2008-10-01T00:00:00,10.203918911714542,6.275776633435117,6.275776633435117,0.012,0.0
2008-11-01T00:00:00,7.002049042553565,6.33035522439385,6.33035522439385,0.012,0.0
2008-12-01T00:00:00,3.515297026734686,6.239429513913785,6.239429513913785,0.012,0.0
2009-01-01T00:00:00,11.113932590240017,6.341605025181396,6.341605025181396,0.012,0.0
2009-02-01T00:00:00,12.09290263960362,6.186790320895524,6.186790320895524,0.012,0.0
2009-03-01T00:00:00,5.173292983928556,6.1939346821472165,6.1939346821472165,0.012,0.0
2009-04-01T00:00:00,24.62318738865631,6.174743778208622,6.174743778208622,0.012,0.0
2009-05-01T00:00:00,-6.693070045887248,6.126652305029333,6.126652305029333,0.012,0.0
2009-06-01T00:00:00,6.526969328522879,6.0626553654544155,6.0626553654544155,0.012,0.0
2009-07-01T00:00:00,18.651571599752803,5.989041073314724,5.989041073314724,0.012,0.0
2009-08-01T00:00:00,10.27729546527697,6.175767311450067,6.175767311450067,0.012,0.0
2009-09-01T00:00:00,-1.1950843388184387,6.102115384982091,6.102115384982091,0.012,0.0
2009-10-01T00:00:00,11.21990480864294,6.487669156877538,6.487669156877538,0.012,0.0
2009-11-01T00:00:00,12.124195334334495,6.4658620384004095,6.4658620384004095,0.012,0.0
2009-12-01T00:00:00,8.486303648999582,7.043208199115367,7.043208199115367,0.012,0.0
2010-01-01T00:00:00,20.42969667072798,7.5194814839300514,7.5194814839300514,0.012,0.0
2010-02-01T00:00:00,4.690795923692457,7.602825038780068,7.602825038780068,0.012,0.0
