date,y,mu,alpha,beta,gamma
2000-01-01T00:00:00,16.318045089023883,6.503025403784438,5.512,0.012,0.9910254037844387
2000-02-01T00:00:00,3.999982520590086,5.899,5.524,0.012,0.37500000000000017
2000-03-01T00:00:00,4.830980955159343,5.286,5.536,0.012,-0.24999999999999994
2000-04-01T00:00:00,16.09894613623665,4.923,5.548,0.012,-0.6249999999999999
2000-05-01T00:00:00,5.548239868792712,4.818974596215561,5.56,0.012,-0.7410254037844387
2000-06-01T00:00:00,5.1389439144373075,4.822,5.572,0.012,-0.75
2000-07-01T00:00:00,-0.4928808258087862,4.842974596215561,5.584,0.012,-0.7410254037844387
2000-08-01T00:00:00,1.9041528507601844,4.971,5.596,0.012,-0.6250000000000002
2000-09-01T00:00:00,4.651643829330352,5.358,5.608,0.012,-0.25000000000000017
2000-10-01T00:00:00,0.4085510349935806,5.995,5.62,0.012,0.37500000000000017
2000-11-01T00:00:00,34.261031142481535,6.623025403784438,5.632,0.012,0.9910254037844386
2000-12-01T00:00:00,27.586640205417375,6.894,5.644,0.012,1.25
2001-01-01T00:00:00,18.224893162719745,6.647025403784438,5.656,0.012,0.9910254037844387
2001-02-01T00:00:00,6.6023386379250635,6.043,5.668,0.012,0.37500000000000017
2001-03-01T00:00:00,12.612913028847773,5.43,5.68,0.012,-0.24999999999999994
2001-04-01T00:00:00,28.622089185829637,5.067,5.692,0.012,-0.6249999999999999
2001-05-01T00:00:00,-0.3808667166499955,4.962974596215561,5.704,0.012,-0.7410254037844387
2001-06-01T00:00:00,10.271475537818397,4.966,5.716,0.012,-0.75
2001-07-01T00:00:00,-0.11884043698019209,4.986974596215561,5.728,0.012,-0.7410254037844387
2001-08-01T00:00:00,16.087120122946473,5.115,5.74,0.012,-0.6250000000000002
2001-09-01T00:00:00,9.647018901017685,5.502,5.752,0.012,-0.25000000000000017
2001-10-01T00:00:00,-1.3985513711442659,6.139,5.764,0.012,0.37500000000000017
2001-11-01T00:00:00,16.22314761931177,6.767025403784438,5.776,0.012,0.9910254037844386
2001-12-01T00:00:00,6.0486664606258165,7.038,5.788,0.012,1.25
2002-01-01T00:00:00,13.136723929830236,6.791025403784438,5.8,0.012,0.9910254037844387
2002-02-01T00:00:00,20.352362155238932,6.187,5.812,0.012,0.37500000000000017
2002-03-01T00:00:00,4.200344900913314,5.574,5.824,0.012,-0.24999999999999994
2002-04-01T00:00:00,22.902406237363273,5.211,5.836,0.012,-0.6249999999999999
2002-05-01T00:00:00,3.640937208380678,5.1069745962155615,5.848,0.012,-0.7410254037844387
2002-06-01T00:00:00,9.930478943572673,5.11,5.86,0.012,-0.75
2002-07-01T00:00:00,4.018028333604793,5.1309745962155615,5.872,0.012,-0.7410254037844387
2002-08-01T00:00:00,14.552216760649012,5.259,5.884,0.012,-0.6250000000000002
2002-09-01T00:00:00,39.4021382407951,5.646,5.896,0.012,-0.25000000000000017
2002-10-01T00:00:00,29.507473707980992,6.283,5.908,0.012,0.37500000000000017
2002-11-01T00:00:00,6.357259058187451,6.911025403784438,5.92,0.012,0.9910254037844386
2002-12-01T00:00:00,-2.084606333264384,7.182,5.932,0.012,1.25
2003-01-01T00:00:00,35.37145005757734,6.935025403784438,5.944,0.012,0.9910254037844387
2003-02-01T00:00:00,10.433453063384171,6.331,5.956,0.012,0.37500000000000017
2003-03-01T00:00:00,-0.3909381388836266,5.718,5.968,0.012,-0.24999999999999994
2003-04-01T00:00:00,20.689877409485348,5.355,5.98,0.012,-0.6249999999999999
2003-05-01T00:00:00,14.534307545220459,5.250974596215562,5.992,0.012,-0.7410254037844387
2003-06-01T00:00:00,-6.100451060865673,5.254,6.004,0.012,-0.75
2003-07-01T00:00:00,9.279818577643486,5.274974596215562,6.016,0.012,-0.7410254037844387
2003-08-01T00:00:00,-1.0795872858372482,5.4030000000000005,6.0280000000000005,0.012,-0.6250000000000002
2003-09-01T00:00:00,16.81184992136023,5.79,6.04,0.012,-0.25000000000000017
2003-10-01T00:00:00,5.28846284584226,6.427,6.052,0.012,0.37500000000000017
2003-11-01T00:00:00,23.085428439076082,7.055025403784438,6.064,0.012,0.9910254037844386
2003-12-01T00:00:00,11.058271982832245,7.3260000000000005,6.0760000000000005,0.012,1.25
2004-01-01T00:00:00,21.31553317991213,7.0790254037844385,6.088,0.012,0.9910254037844387
2004-02-01T00:00:00,16.06785423636134,6.475,6.1,0.012,0.37500000000000017
2004-03-01T00:00:00,12.84805373093603,5.862,6.112,0.012,-0.24999999999999994
2004-04-01T00:00:00,19.946808268722936,5.499,6.124,0.012,-0.6249999999999999
2004-05-01T00:00:00,3.022948943376962,5.394974596215562,6.136,0.012,-0.7410254037844387
2004-06-01T00:00:00,3.865545708610573,5.398,6.148,0.012,-0.75
2004-07-01T00:00:00,-2.9522473704205394,5.418974596215562,6.16,0.012,-0.7410254037844387
2004-08-01T00:00:00,14.209019027120362,5.547,6.172,0.012,-0.6250000000000002
2004-09-01T00:00:00,6.27761592621415,5.934,6.184,0.012,-0.25000000000000017
2004-10-01T00:00:00,13.556333927823424,6.571,6.196,0.012,0.37500000000000017
2004-11-01T00:00:00,13.31340699260041,7.199025403784439,6.208,0.012,0.9910254037844386
2004-12-01T00:00:00,2.712431621035985,7.47,6.22,0.012,1.25
2005-01-01T00:00:00,8.165546350659417,7.223025403784439,6.232,0.012,0.9910254037844387
