date,y,mu,alpha,beta,gamma
2000-01-01T00:00:00,19.368592420159942,5.512,5.512,0.012,0.0
2000-02-01T00:00:00,2.7311204231166255,5.524,5.524,0.012,0.0
2000-03-01T00:00:00,8.922250771734534,5.536,5.536,0.012,0.0
2000-04-01T00:00:00,11.566663062135632,5.548,5.548,0.012,0.0
2000-05-01T00:00:00,7.074031362430269,5.56,5.56,0.012,0.0
2000-06-01T00:00:00,3.8009859481946147,5.572,5.572,0.012,0.0
2000-07-01T00:00:00,21.12688828785938,5.584,5.584,0.012,0.0
2000-08-01T00:00:00,5.785391382219348,5.596,5.596,0.012,0.0
2000-09-01T00:00:00,0.01967714266574827,5.608,5.608,0.012,0.0
2000-10-01T00:00:00,10.083848107573797,5.62,5.62,0.012,0.0
2000-11-01T00:00:00,24.769089475112445,5.632,5.632,0.012,0.0
2000-12-01T00:00:00,31.579863997488395,5.644,5.644,0.012,0.0
2001-01-01T00:00:00,10.275716728732728,5.656,5.656,0.012,0.0
2001-02-01T00:00:00,-5.1320362490897,5.668,5.668,0.012,0.0
2001-03-01T00:00:00,3.1401174508914,5.68,5.68,0.012,0.0
2001-04-01T00:00:00,-0.4134880009417774,5.692,5.692,0.012,0.0
2001-05-01T00:00:00,9.342547353920143,5.704,5.704,0.012,0.0
2001-06-01T00:00:00,19.48025231078858,5.716,5.716,0.012,0.0
2001-07-01T00:00:00,8.729608347675716,5.728,5.728,0.012,0.0
2001-08-01T00:00:00,6.0840895511712345,5.74,5.74,0.012,0.0
2001-09-01T00:00:00,19.086329169138992,5.752,5.752,0.012,0.0
2001-10-01T00:00:00,4.945758436764182,5.764,5.764,0.012,0.0
2001-11-01T00:00:00,11.78986387321945,5.776,5.776,0.012,0.0
2001-12-01T00:00:00,26.104541103569918,5.788,5.788,0.012,0.0
2002-01-01T00:00:00,22.806722495368586,5.8,5.8,0.012,0.0
2002-02-01T00:00:00,5.0156421371360995,5.812,5.812,0.012,0.0
2002-03-01T00:00:00,3.8380047485924385,5.824,5.824,0.012,0.0
2002-04-01T00:00:00,9.775022631997917,5.836,5.836,0.012,0.0
2002-05-01T00:00:00,11.680553027191255,5.848,5.848,0.012,0.0
2002-06-01T00:00:00,7.557544400940445,5.86,5.86,0.012,0.0
2002-07-01T00:00:00,-1.4250076660321644,5.872,5.872,0.012,0.0
